stage,2sls_iv,std_error,p_value,r_squared,f_stat,f_p_value,causal_effect,grid_id,instrument,control_vars,significant
1,-0.19056086399306868,0.275826638886174,0.49003893309913615,0.023979176999682772,33.05172383540664,3.836079279987626e-19,-0.0939140043601826,1,team_better,"['team_size', 'foreigners']",False
2,0.14550684872702668,0.21288962656124583,0.49488442681707223,0.019810289921188273,22.676338566094664,3.9563991299415385e-13,0.07171005913514046,1,team_better,"['team_size', 'foreigners']",False
3,-0.2873773383426879,0.3001248930211375,0.3399408403455306,0.008873601794335717,10.755580691227665,2.0754324757060903e-06,-0.14162801343677017,1,team_better,"['team_size', 'foreigners']",False
4,0.8066538597830132,0.27423310437681603,0.004481404287852325,0.1627264443370401,18.31114351925797,8.760451082082312e-09,0.3975427719910817,1,team_better,"['team_size', 'foreigners']",True
5,0.19729096085915268,0.4788175008041008,0.6829759782678517,0.033082582180950615,3.706617149824325,0.021072052361081887,0.09723079424653017,1,team_better,"['team_size', 'foreigners']",False
6,0.26368114336867027,0.39717608339905314,0.5162141806827549,0.09029033398082575,4.467330828069614,0.0184237086559302,0.12994983087883122,1,team_better,"['team_size', 'foreigners']",False
1,-0.14060490110235332,0.16156342707118557,0.38466088746093774,0.02438084512669958,30.143755854740093,1.2744507690560808e-17,-0.06929423502020726,2,team_better,"['team_size', 'mean_age']",False
2,0.24765678736580746,0.1822303184410493,0.17526646836336388,0.02029967961516843,23.27379480580558,1.9559402067747318e-13,0.1220525564438417,2,team_better,"['team_size', 'mean_age']",False
3,-0.2439750137858755,0.26420853710380343,0.3573667463238366,0.025216782087729483,10.620946964134227,2.4349545445400854e-06,-0.1202380700231068,2,team_better,"['team_size', 'mean_age']",False
4,0.7775798164104949,0.240844619857179,0.0019279036494185553,0.15778332223734826,16.50816460492629,3.89765212167036e-08,0.3832142274051685,2,team_better,"['team_size', 'mean_age']",True
5,0.23963033860118949,0.47613092004582325,0.6181057448195022,0.061332400273716114,3.7327857580341335,0.02050685054339674,0.11809688617408194,2,team_better,"['team_size', 'mean_age']",False
6,0.33079091699721513,0.4692593980620918,0.4909943852911519,0.0701046507685591,4.322500920215744,0.02060614785342211,0.16302350320113596,2,team_better,"['team_size', 'mean_age']",False
1,-0.45182865883637724,0.19539356014369325,0.021252443007347983,0.06388297055783398,35.2509996898023,2.8161044035165496e-20,-0.22267446603075025,3,team_better,"['team_size', 'total_value']",True
2,-0.009778742653604032,0.22196115490541304,0.9648921306799215,0.05292568284558996,24.221214165659305,6.445691940472398e-14,-0.0048192522901296065,3,team_better,"['team_size', 'total_value']",False
3,-0.6230941940049072,0.3637210031672706,0.08889015587184676,0.03501399927988458,11.920686063131326,5.277189834613801e-07,-0.30707916424387005,3,team_better,"['team_size', 'total_value']",True
4,0.5155206692241636,0.28118998268455525,0.07119246543794103,0.2599654860549163,17.795811503019806,1.3333817896842357e-08,0.25406376400058384,3,team_better,"['team_size', 'total_value']",True
5,-0.2911933639163624,0.9674433997996247,0.7653084652963302,0.023061122382261434,4.860878035280518,0.006568459898308914,-0.14350866319273303,3,team_better,"['team_size', 'total_value']",False
6,0.2164009741678803,0.4960607703084831,0.6684925426638286,0.06781489432769228,3.6990129909346683,0.0339445306509894,0.10664877145125291,3,team_better,"['team_size', 'total_value']",False
1,0.023446719346932737,0.22842431116608555,0.918294788566997,0.02673602023272159,30.138338104375332,1.282865143336312e-17,0.01155523362373038,4,team_better,"['team_size', 'distance']",False
2,0.2540596764040731,0.17512446525709616,0.14800937066132042,0.009454338215435953,23.355540786849406,1.7766911999392514e-13,0.12520808867883051,4,team_better,"['team_size', 'distance']",False
3,-0.19559398240592551,0.2524158183899781,0.43970340225166826,0.007467112563222078,12.592199156622744,2.422564681955833e-07,-0.09639447330152591,4,team_better,"['team_size', 'distance']",False
4,0.8069790243060198,0.2515617259548086,0.0020519082774724928,0.1556060629683922,16.907770788954572,2.783990887891912e-08,0.39770302264166923,4,team_better,"['team_size', 'distance']",True
5,0.14320408864769138,0.45160539425314355,0.7531652490748144,0.014298339116405212,5.325978528067606,0.004186256790393121,0.07057519116907679,4,team_better,"['team_size', 'distance']",False
6,0.4362662133434127,0.5609977453337105,0.4481157190168329,0.06376577029178787,6.5461661163442875,0.004268532711973306,0.21500483469482948,4,team_better,"['team_size', 'distance']",False
1,0.47363485321992904,0.705644036246395,0.502467011616442,0.02610407472717491,30.179875180309814,1.2197528472008083e-17,0.23342120065140332,5,team_better,"['team_size', 'team_home']",False
2,0.20325920114912038,0.17459013616290933,0.24536369728962795,0.012952607131470284,23.22453463143144,2.072639856262067e-13,0.10017211878122073,5,team_better,"['team_size', 'team_home']",False
3,-0.18447334175750088,0.2510811321270123,0.463732605649538,0.008618195750616953,12.900209295206288,1.6994455467655685e-07,-0.09091389417074404,5,team_better,"['team_size', 'team_home']",False
4,0.8255381063177551,0.24919936639912443,0.001491988607965041,0.1520171312073506,16.56753850265352,3.7068020651567665e-08,0.4068494846824506,5,team_better,"['team_size', 'team_home']",True
5,0.11500198949957971,0.4602082740306663,0.8042205985543167,0.006590104196193547,5.053215324822355,0.0054448768834067995,0.05667636636915146,5,team_better,"['team_size', 'team_home']",False
