stage,2sls_iv,std_error,p_value,r_squared,f_stat,f_p_value,causal_effect,grid_id,instrument,control_vars,significant
1,0.5724260164972754,1.3295368494892592,0.6670262706127525,0.039831132610296804,33.05172383540664,3.836079279987626e-19,0.2821083945713138,1,team_better,"['team_size', 'foreigners']",False
2,-2.021641280592035,0.8952147019915768,0.02472396338783558,0.08136716464868532,22.676338566094664,3.9563991299415385e-13,-0.9963243452084232,1,team_better,"['team_size', 'foreigners']",True
3,0.6017930591125696,1.1500181978380748,0.6015938543252912,0.06886498731042967,10.755580691227665,2.0754324757060903e-06,0.29658133781069124,1,team_better,"['team_size', 'foreigners']",False
4,-1.577696359072673,1.0297666333172053,0.13020843045264086,0.0736139471697057,18.31114351925797,8.760451082082312e-09,-0.777535217044275,1,team_better,"['team_size', 'foreigners']",False
5,-0.5240403287144599,1.1653643506608766,0.6558815501832109,0.19004269389486572,3.706617149824325,0.021072052361081887,-0.25826250303730475,1,team_better,"['team_size', 'foreigners']",False
6,0.6830192404728127,1.006381951860767,0.5070344200908271,0.07401848009235124,4.467330828069614,0.0184237086559302,0.336611991485227,1,team_better,"['team_size', 'foreigners']",False
1,0.13828900250969356,0.7776501868548469,0.8589452770743053,0.04297571068258377,30.143755854740093,1.2744507690560808e-17,0.06815289200794689,2,team_better,"['team_size', 'mean_age']",False
2,-1.5383771064508924,0.76795233100404,0.046149370575757256,0.07783863733824625,23.27379480580558,1.9559402067747318e-13,-0.7581575316959586,2,team_better,"['team_size', 'mean_age']",True
3,-0.07812714102704651,1.0299465407324233,0.9396415593243692,0.05218856847384534,10.620946964134227,2.4349545445400854e-06,-0.03850335535490396,2,team_better,"['team_size', 'mean_age']",False
4,-1.0680651606730702,0.8962823057491882,0.23759807535533362,0.08477822113253042,16.50816460492629,3.89765212167036e-08,-0.5263739576666608,2,team_better,"['team_size', 'mean_age']",False
5,-0.3269103655460384,1.167347637824215,0.7811906775303947,0.20209940021478345,3.7327857580341335,0.02050685054339674,-0.16111105319293814,2,team_better,"['team_size', 'mean_age']",False
6,0.5483529524213392,1.141489833650617,0.6374567696354396,0.12764707488806393,4.322500920215744,0.02060614785342211,0.2702444798239884,2,team_better,"['team_size', 'mean_age']",False
1,0.6208562899322031,0.9589758190819909,0.5177268446964657,0.045259906396925564,35.2509996898023,2.8161044035165496e-20,0.3059762592273959,3,team_better,"['team_size', 'total_value']",False
2,-1.5881401175343566,0.9514482985630999,0.09623612574162915,0.07766877958864993,24.221214165659305,6.445691940472398e-14,-0.7826822087043408,3,team_better,"['team_size', 'total_value']",True
3,0.17596163511226176,1.4244006830875469,0.9018603284755395,0.05305048904986054,11.920686063131326,5.277189834613801e-07,0.0867190745302188,3,team_better,"['team_size', 'total_value']",False
4,-1.8431855363367609,1.1202642939345109,0.1045891585187095,0.07832027333234803,17.795811503019806,1.3333817896842357e-08,-0.9083761002597696,3,team_better,"['team_size', 'total_value']",False
5,-2.7788050224651726,2.2760307058808738,0.2307758347158288,0.23535155109398898,4.860878035280518,0.006568459898308914,-1.3694769299817187,3,team_better,"['team_size', 'total_value']",False
6,0.5589900705653462,1.2410848739015083,0.6584620758391457,0.07492836091926969,3.6990129909346683,0.0339445306509894,0.2754867648284917,3,team_better,"['team_size', 'total_value']",False
1,-0.47243381057951817,1.1023675556231143,0.6684675318204714,0.04024796332705294,30.138338104375332,1.282865143336312e-17,-0.2328292914765351,4,team_better,"['team_size', 'distance']",False
2,-1.467800538479277,0.7340806172753485,0.04655155263203462,0.07752461986870696,23.355540786849406,1.7766911999392514e-13,-0.723375321050366,4,team_better,"['team_size', 'distance']",True
3,-0.08161812261212525,0.9752820636529216,0.9334242403057191,0.05190802657823068,12.592199156622744,2.422564681955833e-07,-0.04022381386318575,4,team_better,"['team_size', 'distance']",False
4,-1.3934476253040686,0.9415669383748897,0.1435805095095069,0.07179236194555405,16.907770788954572,2.783990887891912e-08,-0.6867320163034754,4,team_better,"['team_size', 'distance']",False
