stage,model,instrument,first_stage_coefficient,first_stage_std_error,first_stage_t_value,first_stage_p_value,first_stage_r_squared,first_stage_f_stat,first_stage_f_p_value,first_stage_nobs,second_stage_coefficient,second_stage_std_error,second_stage_t_value,second_stage_p_value,second_stage_r_squared,second_stage_nobs
1,Model 1,distance,0.0022539601327121244,0.0011872454250642565,1.8984786844641957,0.09418832550577222,0.3105957062877309,3.604221315364904,0.0941883255057723,10.0,1.7259796806966623,1.4625072636951322,1.1801511852569182,0.2718391832838812,0.14827987637115492,10.0
1,Model 2,distance,0.002564061642713514,0.00109888297163317,2.333334585122183,0.052356210060558,0.49887047410447827,3.4842222801489844,0.08908918181763725,10.0,1.1446202090829085,1.1370650210126672,1.0066444644155115,0.3476276425816137,0.43468561334708355,10.0
1,Model 3,distance,0.0025640616427135138,0.0010988829716331691,2.3333345851221843,0.052356210060557885,0.4988704741044784,3.4842222801489853,0.0890891818176372,10.0,1.1446202090829105,1.1370650210126678,1.0066444644155126,0.3476276425816131,0.43468561334708355,10.0
1,Model 4,distance,0.0025138202142242533,0.001270158506174703,1.9791389830510584,0.09513739758968978,0.49988515592858174,1.9990814584067662,0.21568666784188278,10.0,1.1403831903797514,1.3415632820856012,0.850040550160933,0.42791339452597105,0.4349848817333489,10.0
1,Model 5,distance,0.00272205103773548,0.0014845774222971928,1.8335527651521575,0.12618965225844872,0.5131124698899188,1.317328022792831,0.37760341371785133,10.0,1.057517018683104,1.4676142890412651,0.7205687669979953,0.5034451899789378,0.4349918011687942,10.0
1,Model 6,distance,0.0028813747648121185,0.002233793478893589,1.2899020397531469,0.32611149457787636,0.5807279985146124,0.39573900642557447,0.8507533204153807,10.0,1.2741260684516895,1.5897606126362351,0.8014578159279329,0.5069547715235443,0.7174546288907889,10.0
1,Model 7,distance,0.004518275792394924,0.008862280665386302,0.5098321710845947,0.6998449997675757,0.5964152795209736,0.184724312287229,0.9515885840986827,10.0,-2.2964370842020294,2.407094997731077,-0.9540284394120906,0.5149747086575878,0.902592799945772,10.0
2,Model 1,distance,0.00030461238660108015,0.00024050210049014615,1.266568508051599,0.20754002277504688,0.012007076395733063,1.604195785588029,0.207540022775054,134.0,0.08689360451313455,2.155058320546111,0.040320767045930773,0.9678983191724322,1.2316244180743396e-05,134.0
2,Model 2,distance,0.0002923281475301451,0.00023063851682430148,1.2674732371472814,0.2072345300873276,0.0984723421161805,7.154454277919701,0.0011249367344978848,134.0,-0.05795933123828334,2.082508077297932,-0.027831503690245448,0.977838893409291,0.14671240746362424,134.0
2,Model 3,distance,0.00022915537202863596,0.0002217339638610434,1.0334698755137188,0.30330280399088794,0.17840870584325086,9.409841577994156,1.132857103065398e-05,134.0,0.05361289487610588,2.6717564820572104,0.020066534969094486,0.9840210622453534,0.14903713805644614,134.0
2,Model 4,distance,0.0002025803106414951,0.00022180075234813268,0.9133436586523852,0.3627656995213874,0.1903780148814569,7.583404468726258,1.6120768841529146e-05,134.0,0.03597237027634925,3.045317404183039,0.011812355003435016,0.9905935721930418,0.14909466165007734,134.0
2,Model 5,distance,0.00019826814755194793,0.00022296999890540248,0.8892144617001385,0.37555592965474627,0.19104390099833302,6.045722223484028,4.664619935945314e-05,134.0,0.36459892100387226,3.091213590780045,0.11794685494762865,0.9062946530816419,0.16964958474315606,134.0
2,Model 6,distance,0.00018823803990929375,0.00020714412293381063,0.9087298120905029,0.36524150454744253,0.32237612737288446,7.433514658615285,4.529551739461865e-08,134.0,0.5871776164102691,3.272295794517588,0.1794390401362945,0.8578835216719187,0.1859918582370016,134.0
2,Model 7,distance,0.00023055585105028498,0.00020837035799399625,1.1064714447384496,0.2706644783701869,0.333442469599461,6.892272667078224,5.242230636746114e-08,134.0,0.42308661533664393,2.7094733960922084,0.15615086531089362,0.8761680391826254,0.18613338700294335,134.0
3,Model 1,distance,0.0001951963931643181,0.00017637840287102738,1.106691011977532,0.2697182006653478,0.005910321558408316,1.2247649959919025,0.2697182006653303,208.0,2.287914966900371,2.4310020114396647,0.9411407132260842,0.3477350740756797,0.004281328510509219,208.0
3,Model 2,distance,0.00015883408877169234,0.000168852302689425,0.9406687752659231,0.3479817312578738,0.09543143107735996,10.813687343878891,3.4296756941168035e-05,208.0,2.354238450145906,2.9228233501881493,0.8054672376947987,0.42148337359397936,0.05374590815909086,208.0
3,Model 3,distance,0.0001226054423954976,0.00016618339573917594,0.7377719166836996,0.4615008545026589,0.13279037461848475,10.412413803738012,2.097762674244389e-06,208.0,3.10947344816766,3.805639421755673,0.8170699069364675,0.4148416637485428,0.05395610408426488,208.0
3,Model 4,distance,0.00012257104297981497,0.00016658852557726084,0.7357712216677773,0.4627192232028817,0.13283249957079835,7.773872233313008,7.556093020198437e-06,208.0,3.115699059384838,3.811800705362704,0.8173824657205866,0.4146681828330441,0.056076835599591646,208.0
3,Model 5,distance,0.00012746802538398435,0.0001675248921088057,0.7608900610495256,0.4476100265975298,0.13336655518817753,6.2171715872012125,2.1907935441120586e-05,208.0,3.5763334210991893,3.6540135257273416,0.9787411556959987,0.32887860704392924,0.07294125857669342,208.0
3,Model 6,distance,8.890588302633489e-05,0.00016393864300893644,0.5423119369207451,0.5882104098649634,0.1989262320571652,6.177071601195031,4.034790278611438e-07,208.0,4.843985174215769,5.02682788125811,0.9636266227208521,0.33640265993474927,0.1761530217626538,208.0
3,Model 7,distance,9.634014860248686e-05,0.0001631087608227637,0.5906497487720567,0.5554287002332219,0.2115191797442274,5.901756688087219,2.7060120596135903e-07,208.0,4.577062147966501,4.6427043048525665,0.9858612238523449,0.3254043853312656,0.17949560140260978,208.0
4,Model 1,distance,-0.00024269873524405847,0.00019563022875477998,-1.240599353120822,0.21563507048136066,0.0046422482791632635,1.539086754963573,0.21563507048138472,332.0,0.6007766075472072,2.2349150359313934,0.2688140702838108,0.788240743479061,0.00021892480198881792,332.0
4,Model 2,distance,-0.0002808396325548571,0.0001918104663896486,-1.4641517631491099,0.14410731038693947,0.04851820544489582,8.388226491939605,0.00027982045253481346,332.0,0.6967390950992877,1.9273346648542327,0.36150395040603034,0.7179548000312744,0.010017514561053154,332.0
4,Model 3,distance,-0.0003484363339718808,0.00018380360390999803,-1.8956991406028003,0.05887867717744528,0.13265511538904384,16.721867167877132,3.9269202351984285e-10,332.0,0.7025051015666393,1.5545397860680537,0.4519055143281392,0.6516357389876142,0.015819163506373357,332.0
4,Model 4,distance,-0.00034052879568779255,0.00018383817984998703,-1.8523290209121193,0.06487960921092804,0.136175174946513,12.887243141209948,9.38199463397686e-10,332.0,0.5821110983985488,1.5812129427960553,0.3681421285163547,0.713005453137138,0.031759516366802965,332.0
4,Model 5,distance,-0.000341928860754597,0.00018434600568867086,-1.8548210983863511,0.064524496755268,0.1362357904949345,10.283562854913173,3.617479957230692e-09,332.0,0.6320328393373409,1.5780896318752193,0.40050503252233277,0.6890469135907444,0.033051896863764196,332.0
4,Model 6,distance,-0.0003513810105180882,0.00018108261504908623,-1.940445859050793,0.053195478071168964,0.18655189081763845,9.25938914448149,1.692189817214049e-11,332.0,0.4040507305468527,1.5280186310912796,0.26442788217725327,0.7916188749158375,0.06560439670528084,332.0
4,Model 7,distance,-0.0003431436422755215,0.0001805513681868972,-1.9005319412496362,0.058256237716253115,0.19435918250893913,8.631314960593508,1.3116183050073567e-11,332.0,0.42475840852166513,1.5674703923602145,0.2709833695053635,0.7865774499707119,0.06581890715235872,332.0
5,Model 1,distance,-0.00018073519830268217,8.56291921361398e-05,-2.110672701610166,0.035402490200284006,0.010697289990868275,4.454939253322241,0.035402490200285824,414.0,-0.20983631769917754,1.2233877119655023,-0.17152070079407059,0.8638985656760134,7.140109278391815e-05,414.0
5,Model 2,distance,-0.00017867215857096826,8.452026898064837e-05,-2.1139563411928655,0.03512080192608076,0.03854245082511554,8.2379858074426,0.0003105548967907646,414.0,-0.22258430572885735,1.236956180317197,-0.17994518259472966,0.8572842887589471,0.003446663590305765,414.0
5,Model 3,distance,-0.00022137956217760285,8.056149841081581e-05,-2.747957356114437,0.006261483720731572,0.1340402168488416,21.154365355568352,9.256205990222057e-13,414.0,0.047729807190496215,0.9924982735377493,0.04809056948821063,0.9616674785854198,0.023556773070166348,414.0
5,Model 4,distance,-0.00022196212183372315,8.074397540087308e-05,-2.7489620213983557,0.006243329082606653,0.13409171120875474,15.834098886193487,4.6414513679707635e-12,414.0,-0.04541048855402352,0.9871714439774206,-0.04600060995591581,0.9633322152600976,0.033360982412362405,414.0
5,Model 5,distance,-0.00022056208725621784,8.076446867639914e-05,-2.7309297129155774,0.006589470102066692,0.13605099153252564,12.850018693518816,1.2850861001956016e-11,414.0,-0.07098110227934862,0.9923883159762982,-0.07152553202877884,0.9430145520897785,0.03807277349083649,414.0
5,Model 6,distance,-0.0002021904902149941,8.043760253914983e-05,-2.5136314836905522,0.012336609872114435,0.1572804290950508,9.448364554280678,5.364003380911647e-12,414.0,-0.21116568220083892,1.0888686593296706,-0.19393127021475368,0.8463269287511722,0.04301073371883346,414.0
5,Model 7,distance,-0.00019978740775937207,7.99925439135054e-05,-2.497575373717316,0.012901484442854407,0.1687722683112285,9.114228641477865,1.3690586085296591e-12,414.0,-0.21960793292037323,1.1031760581888956,-0.1990687989375944,0.842309074170281,0.043430204729101085,414.0
6,Model 1,distance,3.1540799095429048e-06,5.2439751190874685e-05,0.06014673673912783,0.952065528066014,8.057017356843943e-06,0.0036176299405178093,0.9520655280652675,451.0,-65.96945689811028,42.68023599266506,-1.5456675757239875,0.12288937324798599,0.005292747026478306,451.0
6,Model 2,distance,5.938098207481558e-06,5.1690973978021995e-05,0.11487688759755857,0.9085941731683422,0.03072365802630428,7.1002448939158365,0.0009210118776961946,451.0,-34.94885673354895,22.695624177030176,-1.5398940545076547,0.12429217346874416,0.005469248197350618,451.0
6,Model 3,distance,-4.210021079300052e-05,5.059901325251053e-05,-0.8320362016330758,0.4058327831107409,0.09826365007304871,16.236767944499892,4.930860797201095e-10,451.0,5.387289630060794,3.2460699418770997,1.6596344892511756,0.09768936089366473,0.0071107951258616575,451.0
6,Model 4,distance,-4.3819978080241136e-05,5.074926807270819e-05,-0.8634602969536527,0.38834853591536345,0.09880548819973567,12.224677125765979,1.935959638488859e-09,451.0,5.054582655367568,3.127644400007493,1.6160988939009366,0.10678002688307524,0.0078917894955286,451.0
6,Model 5,distance,-4.368824662295714e-05,5.092495856042228e-05,-0.8578945934952739,0.3914124819760776,0.09880839642885275,9.75813272928883,7.3504243790989005e-09,451.0,5.036340594082779,3.14785460202459,1.5999279607271506,0.11032424981486125,0.007945920639648274,451.0
6,Model 6,distance,-4.734970172551988e-05,5.0907330410529685e-05,-0.9301155912847878,0.35281894195637353,0.1137230382858383,7.089429305642943,7.82743089754301e-09,451.0,4.864632266925058,2.9098976767104787,1.6717537203659778,0.09528063399659553,0.020014240716862086,451.0
6,Model 7,distance,-5.0726137824283875e-05,4.9905650246197474e-05,-1.0164407752236215,0.30997684870588993,0.15038904053868274,8.673455661480277,5.063700200601525e-12,451.0,4.523759364479578,2.719108529789036,1.6636920942727347,0.09688437088459664,0.020378364685844752,451.0
7,Model 1,distance,4.262076228496752e-06,5.397743500521463e-05,0.07896033274061658,0.9371680298207462,4.101630539965484e-05,0.006234734146506641,0.9371680298206693,154.0,-27.80548757878782,33.07793995000095,-0.840605177372511,0.40188953193533494,0.004627285168189332,154.0
