stage,model,instrument,first_stage_coefficient,first_stage_std_error,first_stage_t_value,first_stage_p_value,first_stage_r_squared,first_stage_f_stat,first_stage_f_p_value,first_stage_nobs,second_stage_coefficient,second_stage_std_error,second_stage_t_value,second_stage_p_value,second_stage_r_squared,second_stage_nobs
1,Model 1,opponent_league_rank_prev,-0.003243744207599611,0.039287033503050565,-0.0825652618273594,0.9360043729521322,0.0007568736484396821,0.006817022460618469,0.9360043729521417,11.0,-38.14285714285748,27.359163172944868,-1.3941529169494655,0.19672927906315432,0.17760620646357161,11.0
1,Model 1,opponent_division,0.5625579240037073,0.26540234340574115,2.119641887048757,0.0630742701051185,0.0007568736484396821,0.006817022460618469,0.9360043729521417,11.0,-38.14285714285748,27.359163172944868,-1.3941529169494655,0.19672927906315432,0.17760620646357161,11.0
1,Model 2,opponent_league_rank_prev,0.013335772432086331,0.04552804665114821,0.29291334491614973,0.777042320803897,0.07053873593707116,0.3035682654647792,0.7463201714827086,11.0,3.711385459533603,6.811532263778729,0.5448679263063043,0.6006994314237387,0.4032292093877764,11.0
1,Model 2,opponent_division,0.3341809201500045,0.400681936512567,0.8340304109005504,0.42846289642297797,0.07053873593707116,0.3035682654647792,0.7463201714827086,11.0,3.711385459533603,6.811532263778729,0.5448679263063043,0.6006994314237387,0.4032292093877764,11.0
1,Model 3,opponent_league_rank_prev,0.051891418138283435,0.05007351061963049,1.0363047746434673,0.3475549392030675,0.4545552253033829,0.8333661745246563,0.5768311785949429,11.0,2.019916292729538,2.2724407435916487,0.8888752318078097,0.41478219252415927,0.5121130193832175,11.0
1,Model 3,opponent_division,-0.548868306857597,0.9913903284158961,-0.5536349217110199,0.603673578250876,0.4545552253033829,0.8333661745246563,0.5768311785949429,11.0,2.019916292729538,2.2724407435916487,0.8888752318078097,0.41478219252415927,0.5121130193832175,11.0
1,Model 4,opponent_league_rank_prev,0.10888020334079285,0.07334548730468299,1.4844840131540176,0.275964200364438,0.7764851756873019,0.8684940451656534,0.6364763459483918,11.0,1.8736501507091865,2.0899571489646207,0.8965017065720251,0.46459285314342336,0.652991225784423,11.0
1,Model 4,opponent_division,7.544109788377954,7.018362570385446,1.0749102390650123,0.39487821882639496,0.7764851756873019,0.8684940451656534,0.6364763459483918,11.0,1.8736501507091865,2.0899571489646207,0.8965017065720251,0.46459285314342336,0.652991225784423,11.0
1,Model 5,opponent_league_rank_prev,0.11825869769706449,0.08991178807364487,1.3152746734410536,0.4138403984698432,0.8369805898593939,0.5704709840226926,0.781853030900937,11.0,1.4942799134261509,2.410873055455427,0.6198086249480578,0.6467667582314984,0.7356196158033057,11.0
1,Model 5,opponent_division,40.07601380654462,54.07181675998209,0.7411627019013795,0.5939504095141357,0.8369805898593939,0.5704709840226926,0.781853030900937,11.0,1.4942799134261509,2.410873055455427,0.6198086249480578,0.6467667582314984,0.7356196158033057,11.0
2,Model 1,opponent_league_rank_prev,0.04375663858266907,0.008898638760839248,4.917228326565119,3.927291311345366e-06,0.3122041045538264,20.42638637121915,4.849322741885937e-08,93.0,0.08903701991250917,0.5231094622930461,0.17020724404834145,0.8652249980083273,0.00031825588892775425,93.0
2,Model 1,opponent_division,0.3568940714234152,0.0884198135876564,4.036358559720357,0.00011380931536884978,0.3122041045538264,20.42638637121915,4.849322741885937e-08,93.0,0.08903701991250917,0.5231094622930461,0.17020724404834145,0.8652249980083273,0.00031825588892775425,93.0
2,Model 2,opponent_league_rank_prev,0.048323363507113457,0.008352001057172192,5.7858425994350515,1.0601911759485604e-07,0.41261625662320456,20.83978163256055,2.580533970513697e-10,93.0,0.2957256533774545,0.4585036947876986,0.6449798698228258,0.52058098843065,0.15540637732553253,93.0
2,Model 2,opponent_division,0.35431451081949755,0.0821714751586332,4.311891810819854,4.172122539875716e-05,0.41261625662320456,20.83978163256055,2.580533970513697e-10,93.0,0.2957256533774545,0.4585036947876986,0.6449798698228258,0.52058098843065,0.15540637732553253,93.0
