model,instrument,first_stage_coefficient,first_stage_std_error,first_stage_t_value,first_stage_p_value,first_stage_r_squared,first_stage_f_stat,first_stage_f_p_value,first_stage_nobs,second_stage_coefficient,second_stage_std_error,second_stage_t_value,second_stage_p_value,second_stage_r_squared,second_stage_nobs
Model 1,opponent_league_rank_prev,0.014741141436980208,0.0026907789340766537,5.478391870210869,5.380788218809947e-08,0.0762083969415499,42.98001267287478,1.1589358283430406e-18,1045.0,-0.7008999805536534,0.3028482355411098,-2.314360456158281,0.02084149224044533,0.005109202380259137,1045.0
Model 1,opponent_division,0.07964767162757966,0.012429645283922089,6.407879694733122,2.2307956526712034e-10,0.0762083969415499,42.98001267287478,1.1589358283430406e-18,1045.0,-0.7008999805536534,0.3028482355411098,-2.314360456158281,0.02084149224044533,0.005109202380259137,1045.0
Model 2,opponent_league_rank_prev,0.01664803344625204,0.0026205189949310708,6.352952784717343,3.151627557918534e-10,0.13163767448233066,52.602780778332225,1.16747040211997e-31,1045.0,-0.29303376794469005,0.2554918611875732,-1.1469397364855973,0.2516698156420915,0.026350323935866893,1045.0
Model 2,opponent_division,0.10079197033504864,0.012332627669525758,8.17278953325642,8.685543056458174e-16,0.13163767448233066,52.602780778332225,1.16747040211997e-31,1045.0,-0.29303376794469005,0.2554918611875732,-1.1469397364855973,0.2516698156420915,0.026350323935866893,1045.0
Model 3,opponent_league_rank_prev,0.016648887943212492,0.0026216857849315272,6.3504513160593445,3.2025622395830734e-10,0.13170035640590716,39.4358018204406,8.914352541071914e-31,1045.0,-0.291791580133589,0.2556039215291217,-1.1415770868771447,0.253892376435029,0.02682196157400396,1045.0
Model 3,opponent_division,0.10075958815210151,0.012338676062809284,8.166158803358718,9.15481294359995e-16,0.13170035640590716,39.4358018204406,8.914352541071914e-31,1045.0,-0.291791580133589,0.2556039215291217,-1.1415770868771447,0.253892376435029,0.02682196157400396,1045.0
Model 4,opponent_league_rank_prev,0.016625307940510415,0.0026197313160946792,6.346188190510436,3.2903581257756735e-10,0.13385531561967579,32.11372774938718,1.6887677764403487e-30,1045.0,-0.29988557474018673,0.25886960698012,-1.158442577475758,0.24694941307148513,0.02689693682792249,1045.0
Model 4,opponent_division,0.09921367604537093,0.012366719439779732,8.022634986464775,2.777822841180057e-15,0.13385531561967579,32.11372774938718,1.6887677764403487e-30,1045.0,-0.29988557474018673,0.25886960698012,-1.158442577475758,0.24694941307148513,0.02689693682792249,1045.0
Model 5,opponent_league_rank_prev,0.016614655781850757,0.002620122453872949,6.341175297853621,3.39638135451535e-10,0.13445058053779113,26.873047234541446,7.147737552364797e-30,1045.0,-0.2998690017683557,0.2589547082612352,-1.157997874538917,0.24713101825820824,0.02719323745747093,1045.0
Model 5,opponent_division,0.09925597350537343,0.01236852397198289,8.024884273192784,2.7328140944325613e-15,0.13445058053779113,26.873047234541446,7.147737552364797e-30,1045.0,-0.2998690017683557,0.2589547082612352,-1.157997874538917,0.24713101825820824,0.02719323745747093,1045.0
Model 6,opponent_league_rank_prev,0.01662816848562221,0.0025859610133458747,6.430169828472266,1.9431130185796346e-10,0.16419453293201236,22.591825527800058,2.49956712342481e-35,1045.0,-0.13223269297550388,0.24140404832891363,-0.5477650184032394,0.583971252939866,0.04714561010283169,1045.0
Model 6,opponent_division,0.11369323338198112,0.012480143763742724,9.10992978400476,4.157547566473652e-19,0.16419453293201236,22.591825527800058,2.49956712342481e-35,1045.0,-0.13223269297550388,0.24140404832891363,-0.5477650184032394,0.583971252939866,0.04714561010283169,1045.0
Model 7,opponent_league_rank_prev,0.018975925356496615,0.002584116649508857,7.343292865708373,4.2165830842538654e-13,0.18845687386605559,24.01158993309485,5.147947830893605e-41,1045.0,-0.08636611680681118,0.2202416767988317,-0.39214247758246873,0.6950336767361285,0.04723370612851696,1045.0
Model 7,opponent_division,0.13444399212516173,0.012857220470386468,10.45669182035272,2.139719113615473e-24,0.18845687386605559,24.01158993309485,5.147947830893605e-41,1045.0,-0.08636611680681118,0.2202416767988317,-0.39214247758246873,0.6950336767361285,0.04723370612851696,1045.0
