stage,model,instrument,first_stage_coefficient,first_stage_std_error,first_stage_t_value,first_stage_p_value,first_stage_r_squared,first_stage_f_stat,first_stage_f_p_value,first_stage_nobs,second_stage_coefficient,second_stage_std_error,second_stage_t_value,second_stage_p_value,second_stage_r_squared,second_stage_nobs
1,Model 1,opponent_league_rank_prev,0.06779661016949151,0.1070042605035562,0.6335879510819884,0.5464859541069665,0.054237288135593364,0.4014336917562737,0.5464859541069658,9.0,1.3125000000000009,4.043223497408968,0.324617227032118,0.7549562996098835,0.014830508474576343,9.0
1,Model 1,opponent_division,0.3220338983050846,0.41134444405124065,0.7828813612588122,0.45935822279082017,0.054237288135593364,0.4014336917562737,0.5464859541069658,9.0,1.3125000000000009,4.043223497408968,0.324617227032118,0.7549562996098835,0.014830508474576343,9.0
1,Model 2,opponent_league_rank_prev,0.14314547430523197,0.11842825500428966,1.2087104914283084,0.27224212345263604,0.25523986958546807,1.0281425891181988,0.4130943527323046,9.0,-1.080802603036877,1.9421166820486697,-0.5565075533447232,0.597991280161988,0.34856499656220197,9.0
1,Model 2,opponent_division,-0.20757646328209906,0.5732904710555276,-0.36207903979271566,0.7297036745070637,0.25523986958546807,1.0281425891181988,0.4130943527323046,9.0,-1.080802603036877,1.9421166820486697,-0.5565075533447232,0.597991280161988,0.34856499656220197,9.0
1,Model 3,opponent_league_rank_prev,0.19789698649049067,0.07351602190791269,2.6918892148214915,0.04320093759634936,0.7725080361571126,5.659599450661838,0.04600031557546127,9.0,-0.44943285179540704,1.427168241576191,-0.31491231286021687,0.7655461132006636,0.4670453926033721,9.0
1,Model 3,opponent_division,-0.8443078038495418,0.3951345747742846,-2.1367601261718026,0.08566785669669108,0.7725080361571126,5.659599450661838,0.04600031557546127,9.0,-0.44943285179540704,1.427168241576191,-0.31491231286021687,0.7655461132006636,0.4670453926033721,9.0
1,Model 4,opponent_league_rank_prev,0.19761032602430678,0.08247797185718139,2.39591640743165,0.07468648359812918,0.7726021203521602,3.3975783835304543,0.1316119912209961,9.0,-0.4284327877579198,1.5987873461877684,-0.26797359184728176,0.8019709394213267,0.4703724240925793,9.0
1,Model 4,opponent_division,-0.8223413929944974,0.6975983492617056,-1.1788178596821681,0.30380304557851684,0.7726021203521602,3.3975783835304543,0.1316119912209961,9.0,-0.4284327877579198,1.5987873461877684,-0.26797359184728176,0.8019709394213267,0.4703724240925793,9.0
1,Model 5,opponent_league_rank_prev,0.19983638631038586,0.09066297576377244,2.2041675185146246,0.11472442194640606,0.7943142890642814,2.3170718630401765,0.2603102815832162,9.0,-0.42412158845853787,1.827285832443567,-0.23210467729144188,0.831388813709828,0.470378334098287,9.0
1,Model 5,opponent_division,-0.9511897857043847,0.7995806828336139,-1.1896107623979697,0.31976840958051,0.7943142890642814,2.3170718630401765,0.2603102815832162,9.0,-0.42412158845853787,1.827285832443567,-0.23210467729144188,0.831388813709828,0.470378334098287,9.0
