team_name,opponent_name,team_city,opponent_city,distance
AFC Fylde,Accrington ST,Wesham,Accrington,35
AFC Fylde,Kidderminster Harriers,Wesham,Forest Green,237
AFC Sudbury,Colchester,Sudbury,Colchester,20
AFC Telford United,Basingstoke Town,Telford,Basingstoke,187
AFC Totton,Bradford (Park Avenue),Totton,Bradford,315
AFC Totton,Bristol Rovers,Totton,Bristol,95
AFC Wimbledon,Bury,London,Bury,63
AFC Wimbledon,Charlton,London,London,17
AFC Wimbledon,Cheltenham,London,Cheltenham,140
AFC Wimbledon,Chesterfield,London,Chesterfield,218
AFC Wimbledon,Coventry,London,Ipswich,116
AFC Wimbledon,Crawley Town,London,Crawley,35
AFC Wimbledon,Forest Green,London,Forest Green,117
AFC Wimbledon,Guiseley AFC,London,Guiseley,291
AFC Wimbledon,Lincoln,London,Harrogate,301
AFC Wimbledon,Liverpool,London,Liverpool,291
AFC Wimbledon,Millwall,London,London,13
AFC Wimbledon,Sutton Utd,London,Sutton,8
AFC Wimbledon,West Ham,London,Coventry,142
AFC Wimbledon,Weymouth,London,Weymouth,183
AFC Wimbledon,York,London,York,288
Accrington ST,Barnet,Accrington,London,277
Accrington ST,Boreham Wood,Accrington,Borehamwood,272
Accrington ST,Cheltenham,Accrington,Cheltenham,208
Accrington ST,Colchester,Accrington,Colchester,301
Accrington ST,Crewe,Accrington,Crewe,74
Accrington ST,Derby,Accrington,Derby,110
Accrington ST,Guiseley AFC,Accrington,Guiseley,45
Accrington ST,Ipswich,Accrington,Cardiff,197
Accrington ST,Leeds,Accrington,Reading,272
Accrington ST,Luton,Accrington,Luton,246
Accrington ST,Tranmere,Accrington,Birkenhead,60
Accrington ST,York,Accrington,York,88
Aldershot Town,Hendon,Aldershot,London,53
Aldershot Town,Maidenhead,Aldershot,Maidenhead,30
Aldershot Town,Portsmouth,Aldershot,Portsmouth,52
Aldershot Town,Rotherham,Aldershot,Rotherham,245
Alfreton Town,Carlisle,Alfreton,Carlisle,224
Alfreton Town,Fleetwood Town,Alfreton,Fleetwood,139
Alfreton Town,Leyton Orient,Alfreton,London,195
Altrincham,Barnsley,Portsmouth,Leeds,335
Altrincham,Burton Albion,Portsmouth,Burton upon Trent,226
Altrincham,Gateshead,Portsmouth,Gateshead,464
Arsenal,Aston Villa,London,Birmingham,162
Arsenal,Blackburn,London,Barnsley,239
Arsenal,Burnley,London,Burnley,287
Arsenal,Chelsea,London,London,9
Arsenal,Coventry,London,Ipswich,103
Arsenal,Everton,London,Liverpool,284
Arsenal,Hull City,London,Hull,244
Arsenal,Leeds,London,Reading,61
Arsenal,Lincoln,London,Harrogate,289
Arsenal,Liverpool,London,Liverpool,284
Arsenal,Manchester City,London,Blackburn,264
Arsenal,Middlesbrough,London,Middlesbrough,344
Arsenal,Newcastle,London,Newcastle upon Tyne,393
Arsenal,Swansea,London,Swansea,174
Arsenal,Tottenham,London,London,5
Arsenal,Watford,London,Watford,24
Aston Villa,Blackpool,Birmingham,Blackpool,165
Aston Villa,Bournemouth,Birmingham,Bournemouth,199
Aston Villa,Ipswich,Birmingham,Cardiff,61
Aston Villa,Leicester,Birmingham,Leicester,53
Aston Villa,Liverpool,Birmingham,Liverpool,124
Aston Villa,Manchester City,Birmingham,Blackburn,114
Aston Villa,Peterborough,Birmingham,Bristol,128
Aston Villa,Sheffield Utd,Birmingham,Sheffield,100
Aston Villa,Stevenage,Birmingham,Stevenage,133
Aston Villa,Swansea,Birmingham,Swansea,64
Aston Villa,West Brom,Birmingham,West Bromwich,10
