team_name,opponent_name,team_city,opponent_city,distance
1.FC Köln,VfL Osnabruck,Cologne,Osnabrück,173
1860 Rosenheim,VfR Aalen,Rosenheim,Aalen,188
1899 Hoffenheim,1.FC Köln,Sinsheim,Cologne,229
1899 Hoffenheim,Energie Cottbus,Sinsheim,Cottbus,477
1899 Hoffenheim,FC Augsburg,Sinsheim,Augsburg,181
1899 Hoffenheim,FSV Frankfurt,Sinsheim,Frankfurt am Main,96
1899 Hoffenheim,Holstein Kiel,Sinsheim,Kiel,572
1899 Hoffenheim,SC Freiburg,Sinsheim,Freiburg,159
1899 Hoffenheim,SpVgg Greuther Furth,Sinsheim,Fürth,159
1899 Hoffenheim,VfL Wolfsburg,Sinsheim,Wolfsburg,377
Alemannia Aachen,Bayer Leverkusen,Aachen,Leverkusen,71
Alemannia Aachen,Borussia Monchengladbach,Aachen,Mönchengladbach,50
Alemannia Waldalgesheim,Bayer Leverkusen,Waldalgesheim,Leverkusen,133
Altglienicke,1.FC Köln,Berlin,Cologne,489
Anker Wismar,Hannover 96,Wismar,Hannover,201
Arminia Bielefeld,Bayer Leverkusen,Bielefeld,Leverkusen,153
Arminia Bielefeld,Borussia Monchengladbach,Bielefeld,Mönchengladbach,174
Arminia Bielefeld,Eintracht Braunschweig,Bielefeld,Braunschweig,141
Arminia Bielefeld,FC Nurnberg,Bielefeld,Nuremberg,342
Arminia Bielefeld,FC Schalke 04,Bielefeld,Gelsenkirchen,112
Arminia Bielefeld,Fortuna Dusseldorf,Bielefeld,Düsseldorf,147
Arminia Bielefeld,Hertha Berlin,Bielefeld,Berlin,328
Arminia Bielefeld,MSV Duisburg,Bielefeld,Duisburg,137
Arminia Bielefeld,SC Paderborn 07,Bielefeld,Paderborn,38
Arminia Bielefeld,SV Sandhausen,Bielefeld,Sandhausen,299
Arminia Bielefeld,VfL Wolfsburg,Bielefeld,Wolfsburg,163
Arminia Bielefeld,Werder Bremen,Bielefeld,Bremen,119
Atlas Delmenhorst,Werder Bremen,Delmenhorst,Bremen,13
Aumund-Vegesack,1899 Hoffenheim,Bremen,Sinsheim,436
BAK '07,1899 Hoffenheim,Berlin,Sinsheim,482
BAK '07,TSV 1860 Munich,Berlin,Munich,508
BFC Dynamo,1.FC Köln,Berlin,Cologne,489
BFC Dynamo,FC Kaiserslautern,Berlin,Kaiserslautern,528
BFC Dynamo,FC Schalke 04,Berlin,Gelsenkirchen,453
BFC Dynamo,FSV Frankfurt,Berlin,Frankfurt am Main,426
BFC Dynamo,VfB Stuttgart,Berlin,Stuttgart,513
BFC Preussen,1.FC Köln,Berlin,Cologne,477
BSC Hastedt,Borussia Monchengladbach,Bremen,Mönchengladbach,269
BSG Chemie Leipzig,Jahn Regensburg,Leipzig,Regensburg,262
BSG Chemie Leipzig,SC Paderborn 07,Leipzig,Paderborn,255
BW Lohne,FC Augsburg,Lohne,Augsburg,454
Bahlinger SC,SV Sandhausen,Bahlingen,Sandhausen,150
Bahlinger SC,Vfl Bochum,Bahlingen,Bochum,378
Barmbek-Uhlenhorst,SC Freiburg,Hamburg,Freiburg,639
Baunatal,Vfl Bochum,Baunatal,Bochum,154
Bayer Leverkusen,Bayern Munich,Leverkusen,Munich,456
Bayer Leverkusen,Eintracht Frankfurt,Leverkusen,Frankfurt am Main,150
Bayer Leverkusen,FC Kaiserslautern,Leverkusen,Kaiserslautern,184
Bayer Leverkusen,SC Paderborn 07,Leverkusen,Paderborn,145
Bayer Leverkusen,Union Berlin,Leverkusen,Berlin,481
Bayer Leverkusen,VfB Stuttgart,Leverkusen,Stuttgart,294
Bayer Leverkusen,Werder Bremen,Leverkusen,Bremen,261
Bayern Munich,1899 Hoffenheim,Munich,Sinsheim,232
Bayern Munich,Eintracht Frankfurt,Munich,Frankfurt am Main,306
Bayern Munich,FC Heidenheim,Munich,Heidenheim an der Brenz,117
Bayern Munich,FC Ingolstadt 04,Munich,Ingolstadt,66
Bayern Munich,FC Kaiserslautern,Munich,Kaiserslautern,310
Bayern Munich,FC Schalke 04,Munich,Gelsenkirchen,489
Bayern Munich,Hannover 96,Munich,Hannover,484
Bayern Munich,SC Freiburg,Munich,Freiburg,272
Bayern Munich,SV Darmstadt 98,Munich,Darmstadt,283
Bayern Munich,VfL Wolfsburg,Munich,Wolfsburg,475
Bayern Munich,Werder Bremen,Munich,Bremen,576
Bayreuth,Arminia Bielefeld,Bayreuth,Bielefeld,316
Bayreuth,Hamburger SV,Bayreuth,Hamburg,426
Bonner SC,Hannover 96,Bonn,Hannover,263
Borussia Dortmund,1899 Hoffenheim,Dortmund,Sinsheim,267
Borussia Dortmund,Bayern Munich,Dortmund,Munich,473
Borussia Dortmund,Borussia Monchengladbach,Dortmund,Mönchengladbach,77
Borussia Dortmund,Dynamo Dresden,Dortmund,Dresden,447
Borussia Dortmund,FC Ingolstadt 04,Dortmund,Ingolstadt,418
Borussia Dortmund,Hannover 96,Dortmund,Hannover,193
Borussia Dortmund,SC Paderborn 07,Dortmund,Paderborn,99
Borussia Dortmund,Union Berlin,Dortmund,Berlin,439
Borussia Dortmund,VfL Wolfsburg,Dortmund,Wolfsburg,258
Borussia Dortmund,Werder Bremen,Dortmund,Bremen,203
Borussia Monchengladbach,Bayer Leverkusen,Mönchengladbach,Leverkusen,46
Borussia Monchengladbach,Bayern Munich,Mönchengladbach,Munich,499
Borussia Monchengladbach,FC Schalke 04,Mönchengladbach,Gelsenkirchen,62
Borussia Monchengladbach,VfB Stuttgart,Mönchengladbach,Stuttgart,333
Borussia Monchengladbach,Werder Bremen,Mönchengladbach,Bremen,269
Bremer Sv,Bayern Munich,Bremen,Munich,579
Bremer Sv,Eintracht Braunschweig,Bremen,Braunschweig,147
Bremer Sv,Eintracht Frankfurt,Bremen,Frankfurt am Main,334
Bremer Sv,FC Schalke 04,Bremen,Gelsenkirchen,210
Bremer Sv,SV Darmstadt 98,Bremen,Darmstadt,358
CFR Pforzheim,Bayer Leverkusen,Pforzheim,Leverkusen,267
Carl Zeiss Jena,1.FC Köln,Jena,Cologne,329
Carl Zeiss Jena,Bayer Leverkusen,Jena,Leverkusen,323
Carl Zeiss Jena,Bayern Munich,Jena,Munich,306
Carl Zeiss Jena,Erzgebirge AUE,Jena,Aue,87
Carl Zeiss Jena,Hamburger SV,Jena,Hamburg,320
Carl Zeiss Jena,Union Berlin,Jena,Berlin,218
Carl Zeiss Jena,VfB Stuttgart,Jena,Stuttgart,291
Carl Zeiss Jena,VfL Wolfsburg,Jena,Wolfsburg,175
Carl Zeiss Jena,Werder Bremen,Jena,Bremen,303
Chemnitzer FC,1899 Hoffenheim,Chemnitz,Sinsheim,329
Chemnitzer FC,Bayern Munich,Chemnitz,Munich,306
Chemnitzer FC,Borussia Dortmund,Chemnitz,Dortmund,385
Chemnitzer FC,Dynamo Dresden,Chemnitz,Dresden,73
Chemnitzer FC,FSV Mainz 05,Chemnitz,Mainz,334
Chemnitzer FC,Hamburger SV,Chemnitz,Hamburg,367
Chemnitzer FC,Union Berlin,Chemnitz,Berlin,191
Chemnitzer FC,Werder Bremen,Chemnitz,Bremen,369
Dynamo Dresden,Arminia Bielefeld,Dresden,Bielefeld,379
Dynamo Dresden,Bayer Leverkusen,Dresden,Leverkusen,474
Dynamo Dresden,FC Schalke 04,Dresden,Gelsenkirchen,467
Dynamo Dresden,FC St. Pauli,Dresden,Hamburg,380
Dynamo Dresden,Hamburger SV,Dresden,Hamburg,385
Dynamo Dresden,RB Leipzig,Dresden,Leipzig,104
Dynamo Dresden,SC Paderborn 07,Dresden,Paderborn,356
Dynamo Dresden,SV Darmstadt 98,Dresden,Darmstadt,384
Dynamo Dresden,VfB Stuttgart,Dresden,Stuttgart,410
Dynamo Dresden,Vfl Bochum,Dresden,Bochum,457
Düren Merzenich,Bayern Munich,Düren,Munich,469
Eichstätt,Hertha Berlin,Eichstätt,Berlin,440
Eimsbütteler TV,SpVgg Greuther Furth,Hamburg,Fürth,456
Einheit Wernigerode,SC Paderborn 07,Wernigerode,Paderborn,141
Eintracht Braunschweig,Bayern Munich,Braunschweig,Munich,463
Eintracht Braunschweig,Borussia Dortmund,Braunschweig,Dortmund,235
Eintracht Braunschweig,Hamburger SV,Braunschweig,Hamburg,155
Eintracht Braunschweig,Hertha Berlin,Braunschweig,Berlin,187
