year,round,stage,fixture_id,fixture_date,team_name,team_id,opponent_name,opponent_id,team_win,team_home,fixture_length,fixture_location
2011,Quarter-finals,3,559998,2012-02-07T19:30:00+00:00,Holstein Kiel,191,Borussia Dortmund,165,0,home,90,Holstein-Stadion
2011,Quarter-finals,3,559998,2012-02-07T19:30:00+00:00,Borussia Dortmund,165,Holstein Kiel,191,1,away,90,Holstein-Stadion
2011,Quarter-finals,3,559999,2012-02-08T18:00:00+00:00,1899 Hoffenheim,167,SpVgg Greuther Furth,178,0,home,90,Wirsol Rhein-Neckar-Arena
2011,Quarter-finals,3,559999,2012-02-08T18:00:00+00:00,SpVgg Greuther Furth,178,1899 Hoffenheim,167,1,away,90,Wirsol Rhein-Neckar-Arena
2011,Quarter-finals,3,560000,2012-02-08T18:00:00+00:00,Hertha Berlin,159,Borussia Monchengladbach,163,0,home,120,Olympiastadion Berlin
2011,Quarter-finals,3,560000,2012-02-08T18:00:00+00:00,Borussia Monchengladbach,163,Hertha Berlin,159,1,away,120,Olympiastadion Berlin
2011,Quarter-finals,3,560001,2012-02-08T19:30:00+00:00,VfB Stuttgart,172,Bayern Munich,157,0,home,90,Mercedes-Benz-Arena
2011,Quarter-finals,3,560001,2012-02-08T19:30:00+00:00,Bayern Munich,157,VfB Stuttgart,172,1,away,90,Mercedes-Benz-Arena
2011,Semi-finals,2,560002,2012-03-20T19:30:00+00:00,SpVgg Greuther Furth,178,Borussia Dortmund,165,0,home,120,Trolli ARENA
2011,Semi-finals,2,560002,2012-03-20T19:30:00+00:00,Borussia Dortmund,165,SpVgg Greuther Furth,178,1,away,120,Trolli ARENA
2011,Semi-finals,2,560003,2012-03-21T19:30:00+00:00,Borussia Monchengladbach,163,Bayern Munich,157,0,home,120,Stadion im BORUSSIA-PARK
2011,Semi-finals,2,560003,2012-03-21T19:30:00+00:00,Bayern Munich,157,Borussia Monchengladbach,163,1,away,120,Stadion im BORUSSIA-PARK
2011,Final,1,560004,2012-05-12T18:00:00+00:00,Borussia Dortmund,165,Bayern Munich,157,1,home,90,Olympiastadion Berlin
2011,Final,1,560004,2012-05-12T18:00:00+00:00,Bayern Munich,157,Borussia Dortmund,165,0,away,90,Olympiastadion Berlin
2011,3rd Round,4,560005,2011-12-20T18:00:00+00:00,Vfl Bochum,176,Bayern Munich,157,0,home,90,rewirpowerSTADION
2011,3rd Round,4,560005,2011-12-20T18:00:00+00:00,Bayern Munich,157,Vfl Bochum,176,1,away,90,rewirpowerSTADION
2011,3rd Round,4,560006,2011-12-20T18:00:00+00:00,FC Nurnberg,171,SpVgg Greuther Furth,178,0,home,90,easyCredit-Stadion
2011,3rd Round,4,560006,2011-12-20T18:00:00+00:00,SpVgg Greuther Furth,178,FC Nurnberg,171,1,away,90,easyCredit-Stadion
2011,3rd Round,4,560007,2011-12-20T19:30:00+00:00,1899 Hoffenheim,167,FC Augsburg,170,1,home,90,Wirsol Rhein-Neckar-Arena
2011,3rd Round,4,560007,2011-12-20T19:30:00+00:00,FC Augsburg,170,1899 Hoffenheim,167,0,away,90,Wirsol Rhein-Neckar-Arena
