year,round,stage,fixture_id,fixture_date,team_name,team_id,opponent_name,opponent_id,team_win,team_home,fixture_length,fixture_location,opponent_rank_prev,opponent_league_rank_prev,opponent_division,team_division,team_rank_prev,team_league_rank_prev,team_rank,team_league_rank,rank_diff,team_rank_diff,team_better,team_max_stage,next_fixture_date_round,next_fixture_days_round,next_team_points_round,next_fixture_date_round_plus,next_fixture_days_round_plus,next_team_points_round_plus,distance,city,league,team_size,mean_age,foreigners,mean_value,total_value,extra_time
2012,8th Finals,4,559935,2012-12-18 18:00:00+00:00,Karlsruher SC,785,SC Freiburg,160,0,1,90,Wildparkstadion,12.0,12.0,1.0,2.0,34.0,16.0,37.0,1.0,-22.0,3.0,0,4,2013-07-21 11:30:00+00:00,214.0,3.0,2013-07-21 11:30:00+00:00,144.0,3.0,0.0,Karlsruhe,Bundesliga_3,32.0,24.3,9.0,0.352,11.25,0
2012,8th Finals,4,559935,2012-12-18 18:00:00+00:00,SC Freiburg,160,Karlsruher SC,785,1,0,90,Wildparkstadion,34.0,16.0,2.0,1.0,12.0,12.0,5.0,5.0,22.0,-7.0,1,4,2013-01-19 14:30:00+00:00,31.0,1.0,2013-03-02 14:30:00+00:00,3.0,1.0,121.0,Freiburg,Bundesliga,32.0,24.1,15.0,2.06,65.8,0
2012,8th Finals,4,559936,2012-12-18 18:00:00+00:00,FC Schalke 04,174,FSV Mainz 05,164,0,1,90,Veltins-Arena,13.0,13.0,1.0,1.0,3.0,3.0,4.0,4.0,10.0,1.0,1,4,2013-01-18 19:30:00+00:00,31.0,3.0,2013-03-02 14:30:00+00:00,3.0,3.0,0.0,Gelsenkirchen,Bundesliga,34.0,24.8,22.0,5.4,183.55,0
2012,8th Finals,4,559936,2012-12-18 18:00:00+00:00,FSV Mainz 05,164,FC Schalke 04,174,1,0,90,Veltins-Arena,3.0,3.0,1.0,1.0,13.0,13.0,13.0,13.0,-10.0,0.0,0,4,2013-01-19 14:30:00+00:00,31.0,1.0,2013-03-03 16:30:00+00:00,4.0,1.0,187.0,Mainz,Bundesliga,32.0,26.4,18.0,1.64,52.43,0
2012,8th Finals,4,559937,2012-12-18 19:30:00+00:00,Kickers Offenbach,1628,Fortuna Dusseldorf,158,1,1,90,Sparda-Bank-Hessen-Stadion,21.0,3.0,2.0,3.0,44.0,8.0,51.0,15.0,-23.0,7.0,0,4,2013-02-05 17:30:00+00:00,48.0,0.0,2013-04-17 16:00:00+00:00,49.0,1.0,0.0,Offenbach am Main,Bundesliga_3,29.0,24.8,3.0,0.223,6.48,0
2012,8th Finals,4,559937,2012-12-18 19:30:00+00:00,Fortuna Dusseldorf,158,Kickers Offenbach,1628,0,0,90,Sparda-Bank-Hessen-Stadion,44.0,8.0,3.0,2.0,21.0,3.0,17.0,17.0,23.0,-4.0,1,4,2013-01-20 16:30:00+00:00,32.0,0.0,2013-03-03 16:30:00+00:00,4.0,1.0,186.0,Düsseldorf,Bundesliga,35.0,25.7,20.0,0.89,31.15,0
2012,8th Finals,4,559938,2012-12-18 19:30:00+00:00,FC Augsburg,170,Bayern Munich,157,0,1,90,SGL Arena,2.0,2.0,1.0,1.0,14.0,14.0,15.0,15.0,-12.0,1.0,0,4,2013-01-20 16:30:00+00:00,32.0,3.0,2013-03-02 14:30:00+00:00,2.0,3.0,0.0,Augsburg,Bundesliga,33.0,26.2,18.0,1.17,38.45,0
2012,8th Finals,4,559938,2012-12-18 19:30:00+00:00,Bayern Munich,157,FC Augsburg,170,1,0,90,SGL Arena,14.0,14.0,1.0,1.0,2.0,2.0,1.0,1.0,12.0,-1.0,1,4,2013-01-19 14:30:00+00:00,31.0,3.0,2013-03-03 14:30:00+00:00,3.0,3.0,52.0,Munich,Bundesliga,29.0,25.3,13.0,15.94,462.4,0
2012,8th Finals,4,559939,2012-12-19 18:00:00+00:00,VfL Wolfsburg,161,Bayer Leverkusen,168,1,1,90,VOLKSWAGEN ARENA,5.0,5.0,1.0,1.0,8.0,8.0,11.0,11.0,-3.0,3.0,0,4,2013-01-19 14:30:00+00:00,30.0,3.0,2013-03-02 14:30:00+00:00,3.0,0.0,0.0,Wolfsburg,Bundesliga,36.0,25.8,26.0,3.03,109.0,0
2012,8th Finals,4,559939,2012-12-19 18:00:00+00:00,Bayer Leverkusen,168,VfL Wolfsburg,161,0,0,90,VOLKSWAGEN ARENA,8.0,8.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,-2.0,1,4,2013-01-19 14:30:00+00:00,30.0,3.0,2013-03-02 17:30:00+00:00,3.0,3.0,306.0,Leverkusen,Bundesliga,33.0,23.6,11.0,4.71,155.3,0
2012,8th Finals,4,559940,2012-12-19 18:00:00+00:00,Vfl Bochum,176,TSV 1860 Munich,786,1,1,90,rewirpowerSTADION,24.0,6.0,2.0,2.0,29.0,11.0,32.0,14.0,-5.0,3.0,0,4,2021-08-14 13:30:00+00:00,3159.0,0.0,2021-08-14 13:30:00+00:00,3089.0,0.0,0.0,Bochum,Bundesliga_2,33.0,25.0,12.0,0.56,18.48,0
2012,8th Finals,4,559940,2012-12-19 18:00:00+00:00,TSV 1860 Munich,786,Vfl Bochum,176,0,0,90,rewirpowerSTADION,29.0,11.0,2.0,2.0,24.0,6.0,24.0,6.0,5.0,0.0,1,4,2013-02-04 19:15:00+00:00,47.0,0.0,2013-03-03 12:30:00+00:00,3.0,1.0,489.0,Munich,Bundesliga_2,33.0,25.5,11.0,0.525,17.33,0
2012,8th Finals,4,559941,2012-12-19 19:30:00+00:00,Borussia Dortmund,165,Hannover 96,166,1,1,90,Signal-Iduna-Park,7.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1,4,2013-01-19 17:30:00+00:00,30.0,3.0,2013-03-02 14:30:00+00:00,2.0,3.0,0.0,Dortmund,Bundesliga,31.0,24.2,10.0,9.75,302.3,0
2012,8th Finals,4,559941,2012-12-19 19:30:00+00:00,Hannover 96,166,Borussia Dortmund,165,0,0,90,Signal-Iduna-Park,1.0,1.0,1.0,1.0,7.0,7.0,9.0,9.0,-6.0,2.0,0,4,2013-01-18 19:30:00+00:00,30.0,0.0,2013-03-02 14:30:00+00:00,2.0,0.0,193.0,Hannover,Bundesliga,35.0,25.6,20.0,2.38,83.15,0
2012,8th Finals,4,559942,2012-12-19 19:30:00+00:00,VfB Stuttgart,172,1.FC Köln,192,1,1,90,Mercedes-Benz-Arena,17.0,17.0,1.0,1.0,6.0,6.0,12.0,12.0,11.0,6.0,1,4,2013-01-19 14:30:00+00:00,30.0,0.0,2013-03-02 17:30:00+00:00,2.0,0.0,0.0,Stuttgart,Bundesliga,34.0,25.4,19.0,2.74,93.13,0
2012,8th Finals,4,559942,2012-12-19 19:30:00+00:00,1.FC Köln,192,VfB Stuttgart,172,0,0,90,Mercedes-Benz-Arena,6.0,6.0,1.0,1.0,17.0,17.0,23.0,5.0,-11.0,6.0,0,4,2014-08-23 13:30:00+00:00,611.0,1.0,2014-08-23 13:30:00+00:00,541.0,1.0,287.0,Cologne,Bundesliga_2,31.0,24.0,14.0,0.785,24.35,0
2012,Quarter-finals,3,559943,2013-02-26 18:00:00+00:00,FSV Mainz 05,164,SC Freiburg,160,0,1,120,Coface Arena,12.0,12.0,1.0,1.0,13.0,13.0,13.0,13.0,-1.0,0.0,0,4,2013-03-03 16:30:00+00:00,4.0,1.0,2013-04-20 13:30:00+00:00,2.0,0.0,0.0,Mainz,Bundesliga,32.0,26.4,18.0,1.64,52.43,1
