year,fixture_date,league,round,fixture_location,team_name,team_id,opponent_name,opponent_id,team_win,team_goals,opponent_goals,team_points_match
2010,2010-08-20T18:30:00+00:00,Bundesliga,Regular Season - 1,,Bayern Munich,157,VfL Wolfsburg,161,1.0,2.0,1.0,3
2010,2010-08-20T18:30:00+00:00,Bundesliga,Regular Season - 1,,VfL Wolfsburg,161,Bayern Munich,157,0.0,1.0,2.0,0
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,1899 Hoffenheim,167,Werder Bremen,162,1.0,4.0,1.0,3
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,Werder Bremen,162,1899 Hoffenheim,167,0.0,1.0,4.0,0
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,Borussia Monchengladbach,163,FC Nurnberg,171,,1.0,1.0,1
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,FC Nurnberg,171,Borussia Monchengladbach,163,,1.0,1.0,1
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,1.FC Köln,192,FC Kaiserslautern,745,0.0,1.0,3.0,0
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,FC Kaiserslautern,745,1.FC Köln,192,1.0,3.0,1.0,3
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,SC Freiburg,160,FC St. Pauli,186,0.0,1.0,3.0,0
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,FC St. Pauli,186,SC Freiburg,160,1.0,3.0,1.0,3
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,Hannover 96,166,Eintracht Frankfurt,169,1.0,2.0,1.0,3
2010,2010-08-21T13:30:00+00:00,Bundesliga,Regular Season - 1,,Eintracht Frankfurt,169,Hannover 96,166,0.0,1.0,2.0,0
2010,2010-08-21T16:30:00+00:00,Bundesliga,Regular Season - 1,,Hamburger SV,175,FC Schalke 04,174,1.0,2.0,1.0,3
2010,2010-08-21T16:30:00+00:00,Bundesliga,Regular Season - 1,,FC Schalke 04,174,Hamburger SV,175,0.0,1.0,2.0,0
2010,2010-08-22T13:30:00+00:00,Bundesliga,Regular Season - 1,,FSV Mainz 05,164,VfB Stuttgart,172,1.0,2.0,0.0,3
2010,2010-08-22T13:30:00+00:00,Bundesliga,Regular Season - 1,,VfB Stuttgart,172,FSV Mainz 05,164,0.0,0.0,2.0,0
2010,2010-08-22T15:30:00+00:00,Bundesliga,Regular Season - 1,,Borussia Dortmund,165,Bayer Leverkusen,168,0.0,0.0,2.0,0
2010,2010-08-22T15:30:00+00:00,Bundesliga,Regular Season - 1,,Bayer Leverkusen,168,Borussia Dortmund,165,1.0,2.0,0.0,3
2010,2010-08-27T18:30:00+00:00,Bundesliga,Regular Season - 2,,FC Kaiserslautern,745,Bayern Munich,157,1.0,2.0,0.0,3
2010,2010-08-27T18:30:00+00:00,Bundesliga,Regular Season - 2,,Bayern Munich,157,FC Kaiserslautern,745,0.0,0.0,2.0,0
2010,2010-08-28T13:30:00+00:00,Bundesliga,Regular Season - 2,,FC Schalke 04,174,Hannover 96,166,0.0,1.0,2.0,0
2010,2010-08-28T13:30:00+00:00,Bundesliga,Regular Season - 2,,Hannover 96,166,FC Schalke 04,174,1.0,2.0,1.0,3
2010,2010-08-28T13:30:00+00:00,Bundesliga,Regular Season - 2,,Werder Bremen,162,1.FC Köln,192,1.0,4.0,2.0,3
2010,2010-08-28T13:30:00+00:00,Bundesliga,Regular Season - 2,,1.FC Köln,192,Werder Bremen,162,0.0,2.0,4.0,0
