team_name,opponent_name,team_city,opponent_city,distance
ACV,MVV,Assen,Maastricht,245
ADO '20,Barendrecht,Heemskerk,Barendrecht,74
ADO '20,Emmen,Heemskerk,Emmen,156
ADO Den Haag,GO Ahead Eagles,The Hague,Deventer,129
ADO Den Haag,Gemert,The Hague,Gemert,106
ADO Den Haag,Sparta Rotterdam,The Hague,Rotterdam,16
AFC Amsterdam,FC OSS,Amsterdam,Oss,78
AFC Amsterdam,HSV ODIN 59,Amsterdam,Heemskerk,26
AFC Amsterdam,Heerenveen,Amsterdam,Heerenveen,99
AFC Amsterdam,Telstar,Amsterdam,Velsen,21
ASV De Dijk,Ajax,Amsterdam,Amsterdam,5
ASV De Dijk,HHC,Amsterdam,Hardenberg,117
ASWH,Heracles,Hendrik-Ido-Ambacht,Almelo,151
AZ Alkmaar,Ajax,Alkmaar,Amsterdam,33
AZ Alkmaar,Feyenoord,Alkmaar,Rotterdam,81
AZ Alkmaar,Groene Ster,Alkmaar,Heerlerheide,207
AZ Alkmaar,Heracles,Alkmaar,Almelo,135
AZ Alkmaar,NAC Breda,Alkmaar,Breda,113
AZ Alkmaar,PEC Zwolle,Alkmaar,Zwolle,94
AZ Alkmaar,Twente,Alkmaar,Enschede,151
AZ Alkmaar,Utrecht,Alkmaar,Utrecht,64
AZ Alkmaar,VVV Venlo,Alkmaar,Venlo,170
AZ Alkmaar,Vitesse,Alkmaar,Arnhem,99
Achilles 29,NAC Breda,Groesbeek,Breda,86
Achilles Veen,DVS 33 Ermelo,Veen,Ermelo,67
Achilles Veen,GVV Unitas,Veen,Gorinchem,13
Achilles Veen,Roda,Veen,Kerkrade,120
Ajax,Barendrecht,Amsterdam,Barendrecht,62
Ajax,Excelsior Maassluis,Amsterdam,Maassluis,66
Ajax,GO Ahead Eagles,Amsterdam,Deventer,88
Ajax,Heerenveen,Amsterdam,Heerenveen,95
Ajax,PSV Eindhoven,Amsterdam,Eindhoven,107
Ajax,Spakenburg,Amsterdam,Bunschoten-Spakenburg,31
Ajax Amateurs,Cambuur,Amsterdam,Leeuwarden,111
Ajax Amateurs,OFC Oostzaan,Amsterdam,Oostzaan,8
Ajax Amateurs,Utrecht,Amsterdam,Utrecht,35
Alcides,AZ Alkmaar,Meppel,Alkmaar,99
Almere City FC,AZ Alkmaar,Almere,Alkmaar,42
Almere City FC,Dordrecht,Almere,Dordrecht,76
Almere City FC,GO Ahead Eagles,Almere,Deventer,69
Almere City FC,NEC Nijmegen,Almere,Nijmegen,74
Almere City FC,VVV Venlo,Almere,Venlo,131
Avv Swift,Vitesse,Amsterdam,Arnhem,75
Barendrecht,GO Ahead Eagles,Barendrecht,Deventer,126
Blauw Geel,Utrecht,Veghel,Utrecht,59
Blauw Geel,VVV Venlo,Veghel,Venlo,53
Cambuur,Feyenoord,Leeuwarden,Rotterdam,170
Cambuur,GO Ahead Eagles,Leeuwarden,Deventer,108
Cambuur,GVVV Veenendaal,Leeuwarden,Veenendaal,132
Cambuur,Koninklijke HFC,Leeuwarden,Haarlem,123
Cambuur,NEC Nijmegen,Leeuwarden,Nijmegen,151
Capelle,NEC Nijmegen,Capelle aan den IJssel,Nijmegen,88
Capelle,Roda,Capelle aan den IJssel,Kerkrade,155
Csv Apeldoorn,Willem II,Apeldoorn,Tilburg,94
DEM,Blauw Geel,Beverwijk,Veghel,113
DVS 33 Ermelo,FC Eindhoven,Ermelo,Eindhoven,95
DVS 33 Ermelo,Roda,Ermelo,Kerkrade,162
De Graafschap,Ajax,Doetinchem,Amsterdam,101
De Graafschap,De Treffers,Doetinchem,Groesbeek,34
De Graafschap,PEC Zwolle,Doetinchem,Zwolle,61
De Graafschap,PSV Eindhoven,Doetinchem,Eindhoven,83
De Treffers,Cambuur,Groesbeek,Leeuwarden,160
De Treffers,Rijnsburgse Boys,Groesbeek,Rijnsburg,114
De Treffers,Twente,Groesbeek,Enschede,86
Den Bosch,Ajax,Den Bosch,Amsterdam,77
Den Bosch,Cambuur,Den Bosch,Leeuwarden,172
Den Bosch,Heracles,Den Bosch,Almelo,120
Dongen,VVV Venlo,Dongen,Venlo,90
Dordrecht,Groningen,Dordrecht,Groningen,203
Dordrecht,MVV,Dordrecht,Maastricht,128
Dordrecht,Utrecht,Dordrecht,Utrecht,44
Dovo,URK,Veenendaal,Urk,71
Eemdijk,ASWH,Bunschoten-Spakenburg,Hendrik-Ido-Ambacht,68
Emmen,Excelsior Maassluis,Emmen,Maassluis,204
Emmen,FC Eindhoven,Emmen,Eindhoven,179
Emmen,Groningen,Emmen,Groningen,53
Emmen,HSV ODIN 59,Emmen,Heemskerk,156
Emmen,Heerenveen,Emmen,Heerenveen,68
Emmen,NEC Nijmegen,Emmen,Nijmegen,126
Excelsior,AZ Alkmaar,Noordwijk,Alkmaar,46
Excelsior,FC Eindhoven,Noordwijk,Eindhoven,114
Excelsior,Groningen,Noordwijk,Groningen,180
Excelsior,Heerenveen,Noordwijk,Heerenveen,128
Excelsior,Helmond Sport,Noordwijk,Helmond,120
Excelsior,NEC Nijmegen,Noordwijk,Nijmegen,107
Excelsior,PEC Zwolle,Noordwijk,Zwolle,118
Excelsior,PSV Eindhoven,Noordwijk,Eindhoven,114
Excelsior,Vitesse,Noordwijk,Arnhem,97
Excelsior '31,ADO Den Haag,Rijssen,The Hague,148
Excelsior '31,Utrecht,Rijssen,Utrecht,98
FC 's-Gravenzande,SteDoCo,Gravenzande,Hoornaar,56
FC Eindhoven,Utrecht,Eindhoven,Utrecht,77
FC Eindhoven,Willem II,Eindhoven,Tilburg,31
FC Lisse,Hoek,Lisse,Hoek,106
FC OSS,AZ Alkmaar,Oss,Alkmaar,109
FC OSS,Almere City FC,Oss,Almere,73
FC Volendam,Emmen,Volendam,Emmen,128
FC Volendam,PSV Eindhoven,Volendam,Eindhoven,121
FC Volendam,Willem II,Volendam,Tilburg,106
Feyenoord,ADO Den Haag,Rotterdam,The Hague,21
Feyenoord,Ajax,Rotterdam,Amsterdam,58
Feyenoord,Avv Swift,Rotterdam,Amsterdam,56
Feyenoord,Fortuna Sittard,Rotterdam,Sittard,136
Feyenoord,Heracles,Rotterdam,Almelo,156
Feyenoord,NAC Breda,Rotterdam,Breda,37
Feyenoord,NEC Nijmegen,Rotterdam,Nijmegen,92
Feyenoord,PEC Zwolle,Rotterdam,Zwolle,129
Feyenoord,PSV Eindhoven,Rotterdam,Eindhoven,83
Feyenoord,Utrecht,Rotterdam,Utrecht,46
