year,league,team_name,team_size,mean_age,foreigners,mean_value,total_value
2011,Eredivisie,Ajax Amsterdam,35,23.3,18,3.13,109.4
2011,Eredivisie,PSV Eindhoven,32,24.1,20,2.9,92.9
2011,Eredivisie,Twente Enschede FC,36,24.3,17,2.28,82.05
2011,Eredivisie,AZ Alkmaar,31,23.1,18,1.76,54.63
2011,Eredivisie,Feyenoord Rotterdam,31,22.7,14,1.76,54.6
2011,Eredivisie,Vitesse Arnhem,36,22.4,18,1.28,46.08
2011,Eredivisie,SC Heerenveen,31,23.7,15,1.45,44.95
2011,Eredivisie,FC Groningen,33,23.5,15,1.22,40.2
2011,Eredivisie,FC Utrecht,37,24.0,17,0.846,31.3
2011,Eredivisie,Roda JC Kerkrade,27,24.9,18,0.792,21.38
2011,Eredivisie,NEC Nijmegen,32,24.3,11,0.645,20.63
2011,Eredivisie,ADO Den Haag,36,24.3,15,0.569,20.5
2011,Eredivisie,VVV-Venlo,28,24.3,10,0.637,17.83
2011,Eredivisie,NAC Breda,30,25.5,9,0.572,17.15
2011,Eredivisie,Heracles Almelo,26,24.0,6,0.539,14.03
2011,Eredivisie,De Graafschap Doetinchem,32,24.0,14,0.4,12.8
2011,Eredivisie,RKC Waalwijk,25,24.0,5,0.381,9.53
2011,Eredivisie,Excelsior Rotterdam,32,22.6,7,0.288,9.23
2012,Eredivisie,Ajax Amsterdam,39,22.9,21,3.41,133.05
2012,Eredivisie,PSV Eindhoven,31,24.0,16,3.25,100.85
2012,Eredivisie,Twente Enschede FC,42,24.3,21,2.03,85.05
2012,Eredivisie,Vitesse Arnhem,28,23.3,16,2.35,65.85
2012,Eredivisie,AZ Alkmaar,36,22.7,19,1.63,58.83
2012,Eredivisie,Feyenoord Rotterdam,30,23.4,11,1.91,57.4
2012,Eredivisie,SC Heerenveen,35,23.7,19,1.18,41.45
2012,Eredivisie,FC Utrecht,32,23.5,13,0.93,29.75
2012,Eredivisie,FC Groningen,38,22.7,15,0.67,25.48
2012,Eredivisie,NEC Nijmegen,33,24.7,11,0.643,21.23
2012,Eredivisie,Heracles Almelo,27,24.1,10,0.713,19.25
2012,Eredivisie,ADO Den Haag,31,23.2,8,0.562,17.43
2012,Eredivisie,VVV-Venlo,29,24.6,14,0.54,15.65
2012,Eredivisie,Roda JC Kerkrade,32,24.1,21,0.475,15.2
2012,Eredivisie,NAC Breda,29,24.7,7,0.491,14.25
2012,Eredivisie,RKC Waalwijk,34,24.4,12,0.365,12.4
2012,Eredivisie,PEC Zwolle,39,23.6,9,0.296,11.53
2012,Eredivisie,Willem II Tilburg,33,24.7,10,0.233,7.7
2013,Eredivisie,Ajax Amsterdam,35,22.7,17,3.34,116.8
2013,Eredivisie,PSV Eindhoven,33,22.9,18,2.83,93.25
2013,Eredivisie,Vitesse Arnhem,36,22.8,24,1.81,65.08
2013,Eredivisie,Feyenoord Rotterdam,33,24.0,8,1.85,61.05
2013,Eredivisie,Twente Enschede FC,36,23.5,21,1.69,60.8
2013,Eredivisie,AZ Alkmaar,34,24.0,18,1.45,49.4
2013,Eredivisie,SC Heerenveen,34,23.5,17,1.1,37.43
2013,Eredivisie,FC Utrecht,40,23.8,18,0.706,28.25
2013,Eredivisie,FC Groningen,32,23.8,13,0.752,24.08
2013,Eredivisie,ADO Den Haag,33,23.3,10,0.553,18.25
2013,Eredivisie,Heracles Almelo,31,24.5,13,0.558,17.3
2013,Eredivisie,PEC Zwolle,37,23.7,17,0.464,17.18
2013,Eredivisie,NEC Nijmegen,35,24.1,20,0.469,16.4
2013,Eredivisie,Roda JC Kerkrade,32,24.5,15,0.501,16.03
2013,Eredivisie,NAC Breda,27,26.0,8,0.451,12.18
2013,Eredivisie,RKC Waalwijk,36,25.4,12,0.312,11.23
