year,round,stage,fixture_id,fixture_date,team_name,team_id,opponent_name,opponent_id,team_win,team_home,fixture_length,fixture_location
2016,Final,1,44902,2017-04-30T16:00:00+00:00,AZ Alkmaar,201,Vitesse,200,0.0,home,90.0,Stadion Feijenoord (Rotterdam)
2016,Final,1,44902,2017-04-30T16:00:00+00:00,Vitesse,200,AZ Alkmaar,201,1.0,away,90.0,Stadion Feijenoord (Rotterdam)
2016,Semi-finals,2,44903,2017-03-02T19:45:00+00:00,AZ Alkmaar,201,Cambuur,420,1.0,home,120.0,AFAS Stadion (Alkmaar)
2016,Semi-finals,2,44903,2017-03-02T19:45:00+00:00,Cambuur,420,AZ Alkmaar,201,0.0,away,120.0,AFAS Stadion (Alkmaar)
2016,Semi-finals,2,44904,2017-03-01T19:45:00+00:00,Sparta Rotterdam,426,Vitesse,200,0.0,home,90.0,Sparta-Stadion Het Kasteel (Rotterdam)
2016,Semi-finals,2,44904,2017-03-01T19:45:00+00:00,Vitesse,200,Sparta Rotterdam,426,1.0,away,90.0,Sparta-Stadion Het Kasteel (Rotterdam)
2016,Quarter-finals,3,44905,2017-01-26T19:45:00+00:00,Vitesse,200,Feyenoord,209,1.0,home,90.0,GelreDome (Arnhem)
2016,Quarter-finals,3,44905,2017-01-26T19:45:00+00:00,Feyenoord,209,Vitesse,200,0.0,away,90.0,GelreDome (Arnhem)
2016,Quarter-finals,3,44906,2017-01-25T19:45:00+00:00,AZ Alkmaar,201,Heerenveen,210,1.0,home,90.0,AFAS Stadion (Alkmaar)
2016,Quarter-finals,3,44906,2017-01-25T19:45:00+00:00,Heerenveen,210,AZ Alkmaar,201,0.0,away,90.0,AFAS Stadion (Alkmaar)
2016,Quarter-finals,3,44907,2017-01-25T17:30:00+00:00,Utrecht,207,Cambuur,420,0.0,home,120.0,Stadion Galgenwaard (Utrecht)
2016,Quarter-finals,3,44907,2017-01-25T17:30:00+00:00,Cambuur,420,Utrecht,207,1.0,away,120.0,Stadion Galgenwaard (Utrecht)
2016,Quarter-finals,3,44908,2017-01-24T19:45:00+00:00,FC Volendam,416,Sparta Rotterdam,426,0.0,home,120.0,Kras Stadion (Volendam)
2016,Quarter-finals,3,44908,2017-01-24T19:45:00+00:00,Sparta Rotterdam,426,FC Volendam,416,1.0,away,120.0,Kras Stadion (Volendam)
2016,8th Finals,4,44909,2016-12-15T19:45:00+00:00,Heracles,206,Sparta Rotterdam,426,0.0,home,90.0,Polman Stadion (Almelo)
2016,8th Finals,4,44909,2016-12-15T19:45:00+00:00,Sparta Rotterdam,426,Heracles,206,1.0,away,90.0,Polman Stadion (Almelo)
2016,8th Finals,4,44910,2016-12-15T17:30:00+00:00,Cambuur,420,Ajax,194,1.0,home,90.0,Cambuurstadion (Leeuwarden)
2016,8th Finals,4,44910,2016-12-15T17:30:00+00:00,Ajax,194,Cambuur,420,0.0,away,90.0,Cambuurstadion (Leeuwarden)
2016,8th Finals,4,44911,2016-12-14T19:45:00+00:00,Feyenoord,209,ADO Den Haag,198,1.0,home,90.0,Stadion Feijenoord (Rotterdam)
2016,8th Finals,4,44911,2016-12-14T19:45:00+00:00,ADO Den Haag,198,Feyenoord,209,0.0,away,90.0,Stadion Feijenoord (Rotterdam)
2016,8th Finals,4,44912,2016-12-14T19:00:00+00:00,AZ Alkmaar,201,ASWH,1254,1.0,home,90.0,AFAS Stadion (Alkmaar)
2016,8th Finals,4,44912,2016-12-14T19:00:00+00:00,ASWH,1254,AZ Alkmaar,201,0.0,away,90.0,AFAS Stadion (Alkmaar)
2016,8th Finals,4,44913,2016-12-14T19:00:00+00:00,Vitesse,200,Jodan Boys,1289,1.0,home,90.0,GelreDome (Arnhem)
2016,8th Finals,4,44913,2016-12-14T19:00:00+00:00,Jodan Boys,1289,Vitesse,200,0.0,away,90.0,GelreDome (Arnhem)
2016,8th Finals,4,44914,2016-12-14T17:30:00+00:00,PEC Zwolle,193,Utrecht,207,0.0,home,90.0,MAC³PARK Stadion (Zwolle)
2016,8th Finals,4,44914,2016-12-14T17:30:00+00:00,Utrecht,207,PEC Zwolle,193,1.0,away,90.0,MAC³PARK Stadion (Zwolle)
2016,8th Finals,4,44915,2016-12-13T19:45:00+00:00,Ijsselmeervogels,1280,Heerenveen,210,0.0,home,90.0,Sportpark De Westmaat (IJsselmeervogels) (Bunschoten)
2016,8th Finals,4,44915,2016-12-13T19:45:00+00:00,Heerenveen,210,Ijsselmeervogels,1280,1.0,away,90.0,Sportpark De Westmaat (IJsselmeervogels) (Bunschoten)
2016,8th Finals,4,44916,2016-12-13T17:30:00+00:00,FC Volendam,416,Vvsb,1251,1.0,home,90.0,Kras Stadion (Volendam)
2016,8th Finals,4,44916,2016-12-13T17:30:00+00:00,Vvsb,1251,FC Volendam,416,0.0,away,90.0,Kras Stadion (Volendam)
2016,2nd Round,5,44917,2016-10-27T18:45:00+00:00,FC Eindhoven,422,Heerenveen,210,0.0,home,90.0,Jan Louwers Stadion (Eindhoven)
2016,2nd Round,5,44917,2016-10-27T18:45:00+00:00,Heerenveen,210,FC Eindhoven,422,1.0,away,90.0,Jan Louwers Stadion (Eindhoven)
2016,2nd Round,5,44918,2016-10-27T16:30:00+00:00,PEC Zwolle,193,VVV Venlo,204,1.0,home,90.0,MAC³PARK Stadion (Zwolle)
2016,2nd Round,5,44918,2016-10-27T16:30:00+00:00,VVV Venlo,204,PEC Zwolle,193,0.0,away,90.0,MAC³PARK Stadion (Zwolle)
2016,2nd Round,5,44919,2016-10-26T18:45:00+00:00,Feyenoord,209,Excelsior,196,1.0,home,90.0,Stadion Feijenoord (Rotterdam)
2016,2nd Round,5,44919,2016-10-26T18:45:00+00:00,Excelsior,196,Feyenoord,209,0.0,away,90.0,Stadion Feijenoord (Rotterdam)
2016,2nd Round,5,44920,2016-10-26T18:00:00+00:00,AZ Alkmaar,201,Emmen,208,1.0,home,90.0,AFAS Stadion (Alkmaar)
2016,2nd Round,5,44920,2016-10-26T18:00:00+00:00,Emmen,208,AZ Alkmaar,201,0.0,away,90.0,AFAS Stadion (Alkmaar)
2016,2nd Round,5,44921,2016-10-26T18:00:00+00:00,Heracles,206,UNA,1284,1.0,home,90.0,Polman Stadion (Almelo)
2016,2nd Round,5,44921,2016-10-26T18:00:00+00:00,UNA,1284,Heracles,206,0.0,away,90.0,Polman Stadion (Almelo)
2016,2nd Round,5,44922,2016-10-26T18:00:00+00:00,Ijsselmeervogels,1280,Koninklijke HFC,1246,1.0,home,90.0,Sportpark De Westmaat (IJsselmeervogels) (Bunschoten)
2016,2nd Round,5,44922,2016-10-26T18:00:00+00:00,Koninklijke HFC,1246,Ijsselmeervogels,1280,0.0,away,90.0,Sportpark De Westmaat (IJsselmeervogels) (Bunschoten)
2016,2nd Round,5,44923,2016-10-26T18:00:00+00:00,Utrecht,207,Groningen,202,1.0,home,90.0,Stadion Galgenwaard (Utrecht)
2016,2nd Round,5,44923,2016-10-26T18:00:00+00:00,Groningen,202,Utrecht,207,0.0,away,90.0,Stadion Galgenwaard (Utrecht)
2016,2nd Round,5,44924,2016-10-26T18:00:00+00:00,Vitesse,200,Waalwijk,417,1.0,home,90.0,GelreDome (Arnhem)
2016,2nd Round,5,44924,2016-10-26T18:00:00+00:00,Waalwijk,417,Vitesse,200,0.0,away,90.0,GelreDome (Arnhem)
2016,2nd Round,5,44925,2016-10-26T16:30:00+00:00,Kozakken Boys,1242,Ajax,194,0.0,home,90.0,Sportpark De Zwaaier (Werkendam)
2016,2nd Round,5,44925,2016-10-26T16:30:00+00:00,Ajax,194,Kozakken Boys,1242,1.0,away,90.0,Sportpark De Zwaaier (Werkendam)
2016,2nd Round,5,44926,2016-10-25T18:45:00+00:00,Sparta Rotterdam,426,PSV Eindhoven,197,1.0,home,90.0,Sparta-Stadion Het Kasteel (Rotterdam)
2016,2nd Round,5,44926,2016-10-25T18:45:00+00:00,PSV Eindhoven,197,Sparta Rotterdam,426,0.0,away,90.0,Sparta-Stadion Het Kasteel (Rotterdam)
2016,2nd Round,5,44927,2016-10-25T18:00:00+00:00,ADO Den Haag,198,Telstar,427,1.0,home,90.0,Kyocera Stadion (Den Haag)
2016,2nd Round,5,44927,2016-10-25T18:00:00+00:00,Telstar,427,ADO Den Haag,198,0.0,away,90.0,Kyocera Stadion (Den Haag)
2016,2nd Round,5,44928,2016-10-25T18:00:00+00:00,FC Volendam,416,Almere City FC,419,1.0,home,120.0,Kras Stadion (Volendam)
2016,2nd Round,5,44928,2016-10-25T18:00:00+00:00,Almere City FC,419,FC Volendam,416,0.0,away,120.0,Kras Stadion (Volendam)
2016,2nd Round,5,44929,2016-10-25T18:00:00+00:00,GO Ahead Eagles,410,Jodan Boys,1289,0.0,home,90.0,De Adelaarshorst (Deventer)
2016,2nd Round,5,44929,2016-10-25T18:00:00+00:00,Jodan Boys,1289,GO Ahead Eagles,410,1.0,away,90.0,De Adelaarshorst (Deventer)
2016,2nd Round,5,44930,2016-10-25T18:00:00+00:00,Spakenburg,1249,ASWH,1254,0.0,home,120.0,Sportpark De Westmaat (Spakenburg) (Bunschoten)
2016,2nd Round,5,44930,2016-10-25T18:00:00+00:00,ASWH,1254,Spakenburg,1249,1.0,away,120.0,Sportpark De Westmaat (Spakenburg) (Bunschoten)
2016,2nd Round,5,44931,2016-10-25T18:00:00+00:00,TEC,1255,Cambuur,420,0.0,home,90.0,Sportpark De Lok (Tiel)
2016,2nd Round,5,44931,2016-10-25T18:00:00+00:00,Cambuur,420,TEC,1255,1.0,away,90.0,Sportpark De Lok (Tiel)
2016,2nd Round,5,44932,2016-10-25T16:30:00+00:00,Vvsb,1251,Katwijk,1237,1.0,home,90.0,Sportpark De Boekhorst (Noordwijkerhout)
2016,2nd Round,5,44932,2016-10-25T16:30:00+00:00,Katwijk,1237,Vvsb,1251,0.0,away,90.0,Sportpark De Boekhorst (Noordwijkerhout)
2016,1st Round,6,44933,2016-09-22T18:45:00+00:00,Feyenoord,209,FC OSS,423,1.0,home,90.0,Stadion Feijenoord (Rotterdam)
2016,1st Round,6,44933,2016-09-22T18:45:00+00:00,FC OSS,423,Feyenoord,209,0.0,away,90.0,Stadion Feijenoord (Rotterdam)
2016,1st Round,6,44934,2016-09-22T18:00:00+00:00,ASV De Dijk,1260,Vitesse,200,0.0,home,90.0,Sportpark Schellingwoude (Amsterdam)
2016,1st Round,6,44934,2016-09-22T18:00:00+00:00,Vitesse,200,ASV De Dijk,1260,1.0,away,90.0,Sportpark Schellingwoude (Amsterdam)
2016,1st Round,6,44935,2016-09-22T18:00:00+00:00,Hsc 21,1281,TEC,1255,0.0,home,90.0,Sportpark Groot Scholtenhagen (Haaksbergen)
2016,1st Round,6,44935,2016-09-22T18:00:00+00:00,TEC,1255,Hsc 21,1281,1.0,away,90.0,Sportpark Groot Scholtenhagen (Haaksbergen)
2016,1st Round,6,44936,2016-09-22T16:30:00+00:00,Twente,415,Utrecht,207,0.0,home,90.0,De Grolsch Veste (Enschede)
2016,1st Round,6,44936,2016-09-22T16:30:00+00:00,Utrecht,207,Twente,415,1.0,away,90.0,De Grolsch Veste (Enschede)
2016,1st Round,6,44937,2016-09-21T18:45:00+00:00,Ajax,194,Willem II,195,1.0,home,90.0,Amsterdam ArenA (Amsterdam)
2016,1st Round,6,44937,2016-09-21T18:45:00+00:00,Willem II,195,Ajax,194,0.0,away,90.0,Amsterdam ArenA (Amsterdam)
2016,1st Round,6,44938,2016-09-21T18:00:00+00:00,Achilles Veen,1282,Vvsb,1251,0.0,home,90.0,Sportpark De Hanen Weide (Veen)
2016,1st Round,6,44938,2016-09-21T18:00:00+00:00,Vvsb,1251,Achilles Veen,1282,1.0,away,90.0,Sportpark De Hanen Weide (Veen)
2016,1st Round,6,44939,2016-09-21T18:00:00+00:00,De Treffers,1277,ASWH,1254,0.0,home,90.0,Sportpark Zuid (Groesbeek)
2016,1st Round,6,44939,2016-09-21T18:00:00+00:00,ASWH,1254,De Treffers,1277,1.0,away,90.0,Sportpark Zuid (Groesbeek)
2016,1st Round,6,44940,2016-09-21T18:00:00+00:00,DVS 33 Ermelo,1244,PEC Zwolle,193,0.0,home,90.0,Sportpark Zuid DVS '33 (Ermelo)
2016,1st Round,6,44940,2016-09-21T18:00:00+00:00,PEC Zwolle,193,DVS 33 Ermelo,1244,1.0,away,90.0,Sportpark Zuid DVS '33 (Ermelo)
