year,round,stage,fixture_id,fixture_date,team_name,team_id,opponent_name,opponent_id,team_win,team_home,fixture_length,fixture_location,opponent_rank_prev,opponent_league_rank_prev,opponent_division,team_division,team_rank_prev,team_league_rank_prev,team_rank,team_league_rank,rank_diff,team_rank_diff,team_better,team_max_stage,next_fixture_date_round,next_fixture_days_round,next_team_points_round,next_fixture_date_round_plus,next_fixture_days_round_plus,next_team_points_round_plus,distance,city,league,team_size,mean_age,foreigners,mean_value,total_value,extra_time
2016,Final,1,44902,2017-04-30 16:00:00+00:00,AZ Alkmaar,201,Vitesse,200,0.0,1,90.0,Stadion Feijenoord (Rotterdam),9.0,9.0,1.0,1.0,4.0,4.0,6.0,6.0,5.0,2.0,1,6,2017-05-14 12:30:00+00:00,13.0,0.0,2018-05-06 12:30:00+00:00,227.0,3.0,0,Alkmaar,Eredivisie,34.0,23.6,14.0,1.64,55.63,0
2016,Final,1,44902,2017-04-30 16:00:00+00:00,Vitesse,200,AZ Alkmaar,201,1.0,0,90.0,Stadion Feijenoord (Rotterdam),4.0,4.0,1.0,1.0,9.0,9.0,5.0,5.0,-5.0,-4.0,0,6,2017-05-14 12:30:00+00:00,13.0,3.0,2018-05-06 12:30:00+00:00,227.0,1.0,99,Arnhem,Eredivisie,31.0,24.0,18.0,1.36,42.25,0
2016,Semi-finals,2,44903,2017-03-02 19:45:00+00:00,AZ Alkmaar,201,Cambuur,420,1.0,1,120.0,AFAS Stadion (Alkmaar),18.0,18.0,1.0,1.0,4.0,4.0,6.0,6.0,14.0,2.0,1,6,2017-05-14 12:30:00+00:00,72.0,0.0,2017-05-14 12:30:00+00:00,13.0,0.0,0,Alkmaar,Eredivisie,34.0,23.6,14.0,1.64,55.63,1
2016,Semi-finals,2,44903,2017-03-02 19:45:00+00:00,Cambuur,420,AZ Alkmaar,201,0.0,0,120.0,AFAS Stadion (Alkmaar),4.0,4.0,1.0,1.0,18.0,18.0,21.0,3.0,-14.0,3.0,0,6,2021-08-15 10:15:00+00:00,1626.0,0.0,2021-08-15 10:15:00+00:00,1567.0,0.0,97,Leeuwarden,Eerste_Divisie,35.0,24.2,11.0,0.226,7.9,1
2016,Semi-finals,2,44904,2017-03-01 19:45:00+00:00,Sparta Rotterdam,426,Vitesse,200,0.0,1,90.0,Sparta-Stadion Het Kasteel (Rotterdam),9.0,9.0,1.0,3.0,88.0,8.0,15.0,15.0,-79.0,-73.0,0,6,2017-05-14 12:30:00+00:00,73.0,3.0,2017-05-14 12:30:00+00:00,13.0,3.0,0,Rotterdam,Eredivisie,43.0,23.0,17.0,0.295,12.68,0
2016,Semi-finals,2,44904,2017-03-01 19:45:00+00:00,Vitesse,200,Sparta Rotterdam,426,1.0,0,90.0,Sparta-Stadion Het Kasteel (Rotterdam),88.0,8.0,3.0,1.0,9.0,9.0,5.0,5.0,79.0,-4.0,1,6,2017-05-14 12:30:00+00:00,73.0,3.0,2017-05-14 12:30:00+00:00,13.0,3.0,96,Arnhem,Eredivisie,31.0,24.0,18.0,1.36,42.25,0
2016,Quarter-finals,3,44905,2017-01-26 19:45:00+00:00,Vitesse,200,Feyenoord,209,1.0,1,90.0,GelreDome (Arnhem),3.0,3.0,1.0,1.0,9.0,9.0,5.0,5.0,-6.0,-4.0,0,6,2017-05-14 12:30:00+00:00,107.0,3.0,2017-05-14 12:30:00+00:00,73.0,3.0,0,Arnhem,Eredivisie,31.0,24.0,18.0,1.36,42.25,0
2016,Quarter-finals,3,44905,2017-01-26 19:45:00+00:00,Feyenoord,209,Vitesse,200,0.0,0,90.0,GelreDome (Arnhem),9.0,9.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,-2.0,1,6,2017-05-14 12:30:00+00:00,107.0,3.0,2017-05-14 12:30:00+00:00,73.0,3.0,90,Rotterdam,Eredivisie,33.0,24.6,14.0,3.33,109.8,0
2016,Quarter-finals,3,44906,2017-01-25 19:45:00+00:00,AZ Alkmaar,201,Heerenveen,210,1.0,1,90.0,AFAS Stadion (Alkmaar),12.0,12.0,1.0,1.0,4.0,4.0,6.0,6.0,8.0,2.0,1,6,2017-05-14 12:30:00+00:00,108.0,0.0,2017-05-14 12:30:00+00:00,72.0,0.0,0,Alkmaar,Eredivisie,34.0,23.6,14.0,1.64,55.63,0
2016,Quarter-finals,3,44906,2017-01-25 19:45:00+00:00,Heerenveen,210,AZ Alkmaar,201,0.0,0,90.0,AFAS Stadion (Alkmaar),4.0,4.0,1.0,1.0,12.0,12.0,9.0,9.0,-8.0,-3.0,0,6,2017-05-14 12:30:00+00:00,108.0,0.0,2017-05-14 12:30:00+00:00,72.0,0.0,89,Heerenveen,Eredivisie,38.0,22.6,19.0,1.2,45.6,0
2016,Quarter-finals,3,44907,2017-01-25 17:30:00+00:00,Utrecht,207,Cambuur,420,0.0,1,120.0,Stadion Galgenwaard (Utrecht),18.0,18.0,1.0,1.0,5.0,5.0,4.0,4.0,13.0,-1.0,1,6,2017-05-14 12:30:00+00:00,108.0,3.0,2017-05-14 12:30:00+00:00,72.0,3.0,0,Utrecht,Eredivisie,36.0,23.1,17.0,1.36,49.13,1
2016,Quarter-finals,3,44907,2017-01-25 17:30:00+00:00,Cambuur,420,Utrecht,207,1.0,0,120.0,Stadion Galgenwaard (Utrecht),5.0,5.0,1.0,1.0,18.0,18.0,21.0,3.0,-13.0,3.0,0,6,2021-08-15 10:15:00+00:00,1662.0,0.0,2021-08-15 10:15:00+00:00,1626.0,0.0,132,Leeuwarden,Eerste_Divisie,35.0,24.2,11.0,0.226,7.9,1
2016,Quarter-finals,3,44908,2017-01-24 19:45:00+00:00,FC Volendam,416,Sparta Rotterdam,426,0.0,1,120.0,Kras Stadion (Volendam),88.0,8.0,3.0,3.0,88.0,8.0,24.0,6.0,0.0,-64.0,1,6,2021-05-15 14:30:00+00:00,1571.0,0.0,2021-05-15 14:30:00+00:00,1535.0,0.0,0,Volendam,Eerste_Divisie,32.0,23.5,1.0,0.143,4.58,1
2016,Quarter-finals,3,44908,2017-01-24 19:45:00+00:00,Sparta Rotterdam,426,FC Volendam,416,1.0,0,120.0,Kras Stadion (Volendam),88.0,8.0,3.0,3.0,88.0,8.0,15.0,15.0,0.0,-73.0,1,6,2017-05-14 12:30:00+00:00,109.0,3.0,2017-05-14 12:30:00+00:00,73.0,3.0,77,Rotterdam,Eredivisie,43.0,23.0,17.0,0.295,12.68,1
2016,8th Finals,4,44909,2016-12-15 19:45:00+00:00,Heracles,206,Sparta Rotterdam,426,0.0,1,90.0,Polman Stadion (Almelo),88.0,8.0,3.0,1.0,6.0,6.0,10.0,10.0,82.0,4.0,1,6,2017-05-14 12:30:00+00:00,149.0,0.0,2017-05-14 12:30:00+00:00,109.0,0.0,0,Almelo,Eredivisie,31.0,24.7,9.0,0.731,22.65,0
2016,8th Finals,4,44909,2016-12-15 19:45:00+00:00,Sparta Rotterdam,426,Heracles,206,1.0,0,90.0,Polman Stadion (Almelo),6.0,6.0,1.0,3.0,88.0,8.0,15.0,15.0,-82.0,-73.0,0,6,2017-05-14 12:30:00+00:00,149.0,3.0,2017-05-14 12:30:00+00:00,109.0,3.0,161,Rotterdam,Eredivisie,43.0,23.0,17.0,0.295,12.68,0
2016,8th Finals,4,44910,2016-12-15 17:30:00+00:00,Cambuur,420,Ajax,194,1.0,1,90.0,Cambuurstadion (Leeuwarden),2.0,2.0,1.0,1.0,18.0,18.0,21.0,3.0,-16.0,3.0,0,6,2021-08-15 10:15:00+00:00,1703.0,0.0,2021-08-15 10:15:00+00:00,1662.0,0.0,0,Leeuwarden,Eerste_Divisie,35.0,24.2,11.0,0.226,7.9,0
2016,8th Finals,4,44910,2016-12-15 17:30:00+00:00,Ajax,194,Cambuur,420,0.0,0,90.0,Cambuurstadion (Leeuwarden),18.0,18.0,1.0,1.0,2.0,2.0,2.0,2.0,16.0,0.0,1,6,2017-05-14 12:30:00+00:00,149.0,3.0,2017-05-14 12:30:00+00:00,108.0,3.0,112,Amsterdam,Eredivisie,34.0,22.4,14.0,5.25,178.5,0
2016,8th Finals,4,44911,2016-12-14 19:45:00+00:00,Feyenoord,209,ADO Den Haag,198,1.0,1,90.0,Stadion Feijenoord (Rotterdam),11.0,11.0,1.0,1.0,3.0,3.0,1.0,1.0,8.0,-2.0,1,6,2017-05-14 12:30:00+00:00,150.0,3.0,2017-05-14 12:30:00+00:00,107.0,3.0,0,Rotterdam,Eredivisie,33.0,24.6,14.0,3.33,109.8,0
2016,8th Finals,4,44911,2016-12-14 19:45:00+00:00,ADO Den Haag,198,Feyenoord,209,0.0,0,90.0,Stadion Feijenoord (Rotterdam),3.0,3.0,1.0,1.0,11.0,11.0,11.0,11.0,-8.0,0.0,0,6,2017-05-14 12:30:00+00:00,150.0,3.0,2017-05-14 12:30:00+00:00,107.0,3.0,21,The Hague,Eredivisie,36.0,24.7,16.0,0.444,15.98,0
2016,8th Finals,4,44912,2016-12-14 19:00:00+00:00,AZ Alkmaar,201,ASWH,1254,1.0,1,90.0,AFAS Stadion (Alkmaar),88.0,8.0,3.0,1.0,4.0,4.0,6.0,6.0,84.0,2.0,1,6,2017-05-14 12:30:00+00:00,150.0,0.0,2017-05-14 12:30:00+00:00,108.0,0.0,0,Alkmaar,Eredivisie,34.0,23.6,14.0,1.64,55.63,0
2016,8th Finals,4,44912,2016-12-14 19:00:00+00:00,ASWH,1254,AZ Alkmaar,201,0.0,0,90.0,AFAS Stadion (Alkmaar),4.0,4.0,1.0,3.0,88.0,8.0,88.0,8.0,-84.0,0.0,0,6,,,,,,,86,Hendrik-Ido-Ambacht,,,,,,,0
2016,8th Finals,4,44913,2016-12-14 19:00:00+00:00,Vitesse,200,Jodan Boys,1289,1.0,1,90.0,GelreDome (Arnhem),88.0,8.0,3.0,1.0,9.0,9.0,5.0,5.0,79.0,-4.0,1,6,2017-05-14 12:30:00+00:00,150.0,3.0,2017-05-14 12:30:00+00:00,107.0,3.0,0,Arnhem,Eredivisie,31.0,24.0,18.0,1.36,42.25,0
2016,8th Finals,4,44913,2016-12-14 19:00:00+00:00,Jodan Boys,1289,Vitesse,200,0.0,0,90.0,GelreDome (Arnhem),9.0,9.0,1.0,3.0,88.0,8.0,88.0,8.0,-79.0,0.0,0,6,,,,,,,93,,,,,,,,0
2016,8th Finals,4,44914,2016-12-14 17:30:00+00:00,PEC Zwolle,193,Utrecht,207,0.0,1,90.0,MAC³PARK Stadion (Zwolle),5.0,5.0,1.0,1.0,8.0,8.0,14.0,14.0,-3.0,6.0,0,6,2017-05-14 12:30:00+00:00,150.0,0.0,2017-05-14 12:30:00+00:00,108.0,0.0,0,Zwolle,Eredivisie,34.0,23.6,13.0,0.583,19.83,0
2016,8th Finals,4,44914,2016-12-14 17:30:00+00:00,Utrecht,207,PEC Zwolle,193,1.0,0,90.0,MAC³PARK Stadion (Zwolle),8.0,8.0,1.0,1.0,5.0,5.0,4.0,4.0,3.0,-1.0,1,6,2017-05-14 12:30:00+00:00,150.0,3.0,2017-05-14 12:30:00+00:00,108.0,3.0,83,Utrecht,Eredivisie,36.0,23.1,17.0,1.36,49.13,0
2016,8th Finals,4,44915,2016-12-13 19:45:00+00:00,Ijsselmeervogels,1280,Heerenveen,210,0.0,1,90.0,Sportpark De Westmaat (IJsselmeervogels) (Bunschoten),12.0,12.0,1.0,3.0,88.0,8.0,88.0,8.0,-76.0,0.0,0,6,,,,,,,0,Bunschoten-Spakenburg,,,,,,,0
2016,8th Finals,4,44915,2016-12-13 19:45:00+00:00,Heerenveen,210,Ijsselmeervogels,1280,1.0,0,90.0,Sportpark De Westmaat (IJsselmeervogels) (Bunschoten),88.0,8.0,3.0,1.0,12.0,12.0,9.0,9.0,76.0,-3.0,1,6,2017-05-14 12:30:00+00:00,151.0,0.0,2017-05-14 12:30:00+00:00,108.0,0.0,86,Heerenveen,Eredivisie,38.0,22.6,19.0,1.2,45.6,0
2016,8th Finals,4,44916,2016-12-13 17:30:00+00:00,FC Volendam,416,Vvsb,1251,1.0,1,90.0,Kras Stadion (Volendam),88.0,8.0,3.0,3.0,88.0,8.0,24.0,6.0,0.0,-64.0,1,6,2021-05-15 14:30:00+00:00,1613.0,0.0,2021-05-15 14:30:00+00:00,1571.0,0.0,0,Volendam,Eerste_Divisie,32.0,23.5,1.0,0.143,4.58,0
2016,8th Finals,4,44916,2016-12-13 17:30:00+00:00,Vvsb,1251,FC Volendam,416,0.0,0,90.0,Kras Stadion (Volendam),88.0,8.0,3.0,3.0,88.0,8.0,88.0,8.0,0.0,0.0,0,6,,,,,,,46,Noordwijkerhout,,,,,,,0
