year,fixture_date,league,round,fixture_location,team_name,team_id,opponent_name,opponent_id,team_win,team_goals,opponent_goals,team_points_match
2011,2012-05-17T14:30:00+00:00,Eredivisie,Europa League Play-offs - Finals,,Waalwijk,417,Vitesse,200,0.0,1.0,3.0,0
2011,2012-05-17T14:30:00+00:00,Eredivisie,Europa League Play-offs - Finals,,Vitesse,200,Waalwijk,417,1.0,3.0,1.0,3
2011,2012-05-20T14:30:00+00:00,Eredivisie,Europa League Play-offs - Finals,,Vitesse,200,Waalwijk,417,1.0,2.0,1.0,3
2011,2012-05-20T14:30:00+00:00,Eredivisie,Europa League Play-offs - Finals,,Waalwijk,417,Vitesse,200,0.0,1.0,2.0,0
2011,2012-05-10T17:00:00+00:00,Eredivisie,Europa League Play-offs - Semi-finals,,NEC Nijmegen,413,Vitesse,200,1.0,3.0,2.0,3
2011,2012-05-10T17:00:00+00:00,Eredivisie,Europa League Play-offs - Semi-finals,,Vitesse,200,NEC Nijmegen,413,0.0,2.0,3.0,0
2011,2012-05-13T12:30:00+00:00,Eredivisie,Europa League Play-offs - Semi-finals,,Vitesse,200,NEC Nijmegen,413,1.0,2.0,0.0,3
2011,2012-05-13T12:30:00+00:00,Eredivisie,Europa League Play-offs - Semi-finals,,NEC Nijmegen,413,Vitesse,200,0.0,0.0,2.0,0
2011,2012-05-10T19:00:00+00:00,Eredivisie,Europa League Play-offs - Semi-finals,,Waalwijk,417,Twente,415,,1.0,1.0,1
2011,2012-05-10T19:00:00+00:00,Eredivisie,Europa League Play-offs - Semi-finals,,Twente,415,Waalwijk,417,,1.0,1.0,1
2011,2012-05-13T14:30:00+00:00,Eredivisie,Europa League Play-offs - Semi-finals,,Twente,415,Waalwijk,417,0.0,0.0,1.0,0
2011,2012-05-13T14:30:00+00:00,Eredivisie,Europa League Play-offs - Semi-finals,,Waalwijk,417,Twente,415,1.0,1.0,0.0,3
2011,2011-08-05T18:00:00+00:00,Eredivisie,Regular Season - 1,,Excelsior,196,Feyenoord,209,0.0,0.0,2.0,0
2011,2011-08-05T18:00:00+00:00,Eredivisie,Regular Season - 1,,Feyenoord,209,Excelsior,196,1.0,2.0,0.0,3
2011,2011-08-06T16:45:00+00:00,Eredivisie,Regular Season - 1,,Roda,414,Groningen,202,1.0,2.0,1.0,3
2011,2011-08-06T16:45:00+00:00,Eredivisie,Regular Season - 1,,Groningen,202,Roda,414,0.0,1.0,2.0,0
2011,2011-08-06T17:45:00+00:00,Eredivisie,Regular Season - 1,,Heerenveen,210,NEC Nijmegen,413,,2.0,2.0,1
2011,2011-08-06T17:45:00+00:00,Eredivisie,Regular Season - 1,,NEC Nijmegen,413,Heerenveen,210,,2.0,2.0,1
2011,2011-08-06T17:45:00+00:00,Eredivisie,Regular Season - 1,,Waalwijk,417,Heracles,206,,2.0,2.0,1
2011,2011-08-06T17:45:00+00:00,Eredivisie,Regular Season - 1,,Heracles,206,Waalwijk,417,,2.0,2.0,1
2011,2011-08-06T18:45:00+00:00,Eredivisie,Regular Season - 1,,VVV Venlo,204,Utrecht,207,,0.0,0.0,1
2011,2011-08-06T18:45:00+00:00,Eredivisie,Regular Season - 1,,Utrecht,207,VVV Venlo,204,,0.0,0.0,1
2011,2011-08-07T10:30:00+00:00,Eredivisie,Regular Season - 1,,AZ Alkmaar,201,PSV Eindhoven,197,1.0,3.0,1.0,3
2011,2011-08-07T10:30:00+00:00,Eredivisie,Regular Season - 1,,PSV Eindhoven,197,AZ Alkmaar,201,0.0,1.0,3.0,0
2011,2011-08-07T12:30:00+00:00,Eredivisie,Regular Season - 1,,De Graafschap,199,Ajax,194,0.0,1.0,4.0,0
2011,2011-08-07T12:30:00+00:00,Eredivisie,Regular Season - 1,,Ajax,194,De Graafschap,199,1.0,4.0,1.0,3
2011,2011-08-07T12:30:00+00:00,Eredivisie,Regular Season - 1,,ADO Den Haag,198,Vitesse,200,,0.0,0.0,1
2011,2011-08-07T12:30:00+00:00,Eredivisie,Regular Season - 1,,Vitesse,200,ADO Den Haag,198,,0.0,0.0,1
2011,2011-08-07T14:30:00+00:00,Eredivisie,Regular Season - 1,,NAC Breda,203,Twente,415,0.0,0.0,1.0,0
2011,2011-08-07T14:30:00+00:00,Eredivisie,Regular Season - 1,,Twente,415,NAC Breda,203,1.0,1.0,0.0,3
2011,2011-08-13T16:45:00+00:00,Eredivisie,Regular Season - 2,,Twente,415,AZ Alkmaar,201,1.0,2.0,0.0,3
2011,2011-08-13T16:45:00+00:00,Eredivisie,Regular Season - 2,,AZ Alkmaar,201,Twente,415,0.0,0.0,2.0,0
2011,2011-08-13T17:45:00+00:00,Eredivisie,Regular Season - 2,,Vitesse,200,VVV Venlo,204,1.0,4.0,0.0,3
2011,2011-08-13T17:45:00+00:00,Eredivisie,Regular Season - 2,,VVV Venlo,204,Vitesse,200,0.0,0.0,4.0,0
2011,2011-08-13T17:45:00+00:00,Eredivisie,Regular Season - 2,,PSV Eindhoven,197,Waalwijk,417,1.0,1.0,0.0,3
2011,2011-08-13T17:45:00+00:00,Eredivisie,Regular Season - 2,,Waalwijk,417,PSV Eindhoven,197,0.0,0.0,1.0,0
2011,2011-08-13T18:45:00+00:00,Eredivisie,Regular Season - 2,,Feyenoord,209,Roda,414,1.0,3.0,0.0,3
2011,2011-08-13T18:45:00+00:00,Eredivisie,Regular Season - 2,,Roda,414,Feyenoord,209,0.0,0.0,3.0,0
2011,2011-08-14T10:30:00+00:00,Eredivisie,Regular Season - 2,,Heracles,206,NAC Breda,203,1.0,2.0,1.0,3
2011,2011-08-14T10:30:00+00:00,Eredivisie,Regular Season - 2,,NAC Breda,203,Heracles,206,0.0,1.0,2.0,0
2011,2011-08-14T12:30:00+00:00,Eredivisie,Regular Season - 2,,Utrecht,207,De Graafschap,199,,2.0,2.0,1
2011,2011-08-14T12:30:00+00:00,Eredivisie,Regular Season - 2,,De Graafschap,199,Utrecht,207,,2.0,2.0,1
2011,2011-08-14T12:30:00+00:00,Eredivisie,Regular Season - 2,,Ajax,194,Heerenveen,210,1.0,5.0,1.0,3
2011,2011-08-14T12:30:00+00:00,Eredivisie,Regular Season - 2,,Heerenveen,210,Ajax,194,0.0,1.0,5.0,0
2011,2011-08-14T14:30:00+00:00,Eredivisie,Regular Season - 2,,Groningen,202,ADO Den Haag,198,1.0,4.0,2.0,3
2011,2011-08-14T14:30:00+00:00,Eredivisie,Regular Season - 2,,ADO Den Haag,198,Groningen,202,0.0,2.0,4.0,0
2011,2011-08-15T18:00:00+00:00,Eredivisie,Regular Season - 2,,NEC Nijmegen,413,Excelsior,196,1.0,2.0,0.0,3
2011,2011-08-15T18:00:00+00:00,Eredivisie,Regular Season - 2,,Excelsior,196,NEC Nijmegen,413,0.0,0.0,2.0,0
2011,2011-08-19T18:00:00+00:00,Eredivisie,Regular Season - 3,,Roda,414,Waalwijk,417,0.0,0.0,2.0,0
