league,division,year,position,team_name,team_id,points,played,win,draw,lose,goals_diff,goals_for,goals_against,national_rank
Eredivisie,1,2011,1,Ajax,194,76,34,23,7,4,57,93,36,1
Eredivisie,1,2011,2,Feyenoord,209,70,34,21,7,6,33,70,37,2
Eredivisie,1,2011,3,PSV Eindhoven,197,69,34,21,6,7,40,87,47,3
Eredivisie,1,2011,4,AZ Alkmaar,201,65,34,19,8,7,29,64,35,4
Eredivisie,1,2011,5,Heerenveen,210,64,34,18,10,6,20,79,59,5
Eredivisie,1,2011,6,Twente,415,60,34,17,9,8,36,82,46,6
Eredivisie,1,2011,7,Vitesse,200,53,34,15,8,11,5,48,43,7
Eredivisie,1,2011,8,NEC Nijmegen,413,45,34,13,6,15,-3,42,45,8
Eredivisie,1,2011,9,Waalwijk,417,45,34,13,6,15,-9,40,49,9
Eredivisie,1,2011,10,Roda,414,44,34,14,2,18,-15,55,70,10
Eredivisie,1,2011,11,Utrecht,207,43,34,11,10,13,-3,55,58,11
Eredivisie,1,2011,12,Heracles,206,40,34,11,7,16,-10,52,62,12
Eredivisie,1,2011,13,NAC Breda,203,38,34,10,8,16,-9,45,54,13
Eredivisie,1,2011,14,Groningen,202,37,34,10,7,17,-20,41,61,14
Eredivisie,1,2011,15,ADO Den Haag,198,32,34,8,8,18,-29,38,67,15
Eredivisie,1,2011,16,VVV Venlo,204,31,34,9,4,21,-36,42,78,16
Eredivisie,1,2011,17,De Graafschap,199,24,34,6,6,22,-38,36,74,17
Eredivisie,1,2011,18,Excelsior,196,19,34,4,7,23,-48,28,76,18
Eredivisie,1,2012,1,Ajax,194,76,34,22,10,2,52,83,31,1
Eredivisie,1,2012,2,PSV Eindhoven,197,69,34,22,3,9,60,103,43,2
Eredivisie,1,2012,3,Feyenoord,209,69,34,21,6,7,26,64,38,3
Eredivisie,1,2012,4,Vitesse,200,64,34,19,7,8,26,68,42,4
Eredivisie,1,2012,5,Utrecht,207,63,34,19,6,9,14,55,41,5
Eredivisie,1,2012,6,Twente,415,62,34,17,11,6,27,60,33,6
Eredivisie,1,2012,7,Groningen,202,43,34,12,7,15,-17,36,53,7
Eredivisie,1,2012,8,Heerenveen,210,42,34,11,9,14,-13,50,63,8
Eredivisie,1,2012,9,ADO Den Haag,198,40,34,9,13,12,-14,49,63,9
Eredivisie,1,2012,10,AZ Alkmaar,201,39,34,10,9,15,2,56,54,10
Eredivisie,1,2012,11,PEC Zwolle,193,39,34,10,9,15,-13,42,55,11
Eredivisie,1,2012,12,Heracles,206,38,34,9,11,14,-13,58,71,12
Eredivisie,1,2012,13,NAC Breda,203,38,34,10,8,16,-16,40,56,13
Eredivisie,1,2012,14,Waalwijk,417,37,34,9,10,15,-9,39,48,14
Eredivisie,1,2012,15,NEC Nijmegen,413,37,34,10,7,17,-22,44,66,15
Eredivisie,1,2012,16,Roda,414,33,34,7,12,15,-18,51,69,16
Eredivisie,1,2012,17,VVV Venlo,204,28,34,6,10,18,-29,33,62,17
Eredivisie,1,2012,18,Willem II,195,23,34,5,8,21,-43,33,76,18
Eredivisie,1,2013,1,Ajax,194,71,34,20,11,3,41,69,28,1
Eredivisie,1,2013,2,Feyenoord,209,67,34,20,7,7,36,76,40,2
Eredivisie,1,2013,3,Twente,415,63,34,17,12,5,35,72,37,3
Eredivisie,1,2013,4,PSV Eindhoven,197,59,34,18,5,11,15,60,45,4
