team_name,opponent_name,team_city,opponent_city,distance
1º Dezembro,Benfica,Sintra,Lisbon,16
1º Dezembro,Pacos Ferreira,Sintra,Paços de Ferreira,289
1º Dezembro,Sintrense,Sintra,Sintra,1
1º Dezembro,Sporting de Lourel,Sintra,Sintra,2
1º Dezembro,União de Leiria,Sintra,Leiria,155
1º Maio Funchal,FC Serpa,"Funchal, Madeira",Serpa,1029
AD Fornos Algodres,Oliveira Hospital,Fornos de Algodres,Oliveira do Hospital,36
AD Nogueirense,Gafanha,Nogueira do Cravo,Gafanha da Nazaré,36
AD Portomosense,Alverca,Porto de Mós,Alverca do Ribatejo,81
AD Portomosense,Real,Porto de Mós,Queluz,101
AR São Martinho,Benfica Castelo Branco,São Martinho,Castelo Branco,136
AR São Martinho,Casa Pia,São Martinho,Lisbon,229
AR São Martinho,Machico,São Martinho,Machico,1151
AR São Martinho,Moreirense,São Martinho,Moreira de Cónegos,73
AR São Martinho,Paredes,São Martinho,Paredes,56
AR São Martinho,Pevidem,São Martinho,Guimarães,79
AR São Martinho,Raimonda,São Martinho,Paços de Ferreira,67
AR São Martinho,SC Braga,São Martinho,Braga,93
AR São Martinho,Vila Real,São Martinho,Vila Real,93
Abrantes e Benfica,Caldas,Abrantes,Caldas da Rainha,81
Academica,Belenenses,Coimbra,Lisbon,178
Academica,Nacional,Coimbra,Funchal,1132
Academica,Oliveira Hospital,Coimbra,Oliveira do Hospital,55
Academica,Pacos Ferreira,Coimbra,Paços de Ferreira,119
Academica,Portimonense,Coimbra,Portimão,341
Academica,União de Coimbra,Coimbra,Coimbra,44
Academica,Varzim,Coimbra,Póvoa de Varzim,133
Academico Viseu,Academica,Viseu,Coimbra,67
Academico Viseu,Camacha,Viseu,Camacha,1192
Academico Viseu,Canelas 2010,Viseu,Vila Nova de Gaia,75
Academico Viseu,Feirense,Viseu,Santa Maria da Feira,62
Academico Viseu,Oriental Lisboa,Viseu,Lisbon,241
Academico Viseu,Real,Viseu,Queluz,241
Academico Viseu,União de Leiria,Viseu,Leiria,91
Académico do Fundão,Vitória de Sernache,Fundão,Cernache do Bonjardim,70
Aguiar da Beira,Vila Cortez,Aguiar da Beira,Guarda,33
Alcains,Oleiros,Alcains,Oleiros,190
Alcains,Os Limianos,Alcains,Ponte de Lima,227
Alcains,Sertanense,Alcains,Sertã,58
Alcains,Águias do Moradal,Alcains,Estreito,29
Alcanenense,Feirense,Alcanena,Santa Maria da Feira,163
Alcanenense,Oleiros,Alcanena,Oleiros,224
Alcanenense,Sendim,Alcanena,Sendim,203
Alcochetense,Leixoes,Alcochete,Matosinhos,271
Aliados Lordelo,Vianense,,Viana do Castelo,7829
Aliança de Gandra,Santa Eulália,Paredes,Vizela,21
Aljustrelense,Casa Pia,Aljustrel,Lisbon,132
Aljustrelense,Os Limianos,Aljustrel,Ponte de Lima,434
Aljustrelense,Tondela,Aljustrel,Tondela,292
Almancilense,Amora,Almancil,Amora,196
Almancilense,Merelinense,Almancil,Braga,500
Almancilense,Moura,Almancil,Moura,128
Almodôvar,Quarteirense,Almodôvar,Quarteira,49
Alpendorada,Academica,Marco de Canaveses,Coimbra,99
Alpendorada,Paredes,Marco de Canaveses,Paredes,16
Alqueidão da Serra,AD Marco 09,Porto de Mós,,7640
Alqueidão da Serra,CD Torres Novas,Porto de Mós,Torres Novas,27
Alta Lisboa,Famalicao,Lisbon,Famalicão,298
Alta Lisboa,Flamengos,Lisbon,Horta,1694
Alta Lisboa,Salgueiros,Lisbon,Porto,271
Alverca,Academico Viseu,Alverca do Ribatejo,Viseu,219
Alverca,Anadia,Alverca do Ribatejo,Anadia,180
Alverca,Camacha,Alverca do Ribatejo,Camacha,986
Alverca,Eléctrico,Alverca do Ribatejo,Ponte de Sor,97
Alverca,Famalicao,Alverca do Ribatejo,Famalicão,283
Alverca,Gavionenses,Alverca do Ribatejo,Gavião,115
