year,league,team_name,team_size,mean_age,foreigners,mean_value,total_value
2011,Primeira_Liga,FC Porto,36,24.2,28,7.9,284.4
2011,Primeira_Liga,SL Benfica,32,24.9,22,5.61,179.5
2011,Primeira_Liga,Sporting CP,36,24.4,21,4.07,146.6
2011,Primeira_Liga,SC Braga,37,26.2,23,2.13,78.75
2011,Primeira_Liga,Vitória Guimarães SC,32,26.4,19,0.978,31.3
2011,Primeira_Liga,CD Nacional,37,25.0,26,0.838,31.0
2011,Primeira_Liga,Académica Coimbra,33,25.3,17,0.842,27.8
2011,Primeira_Liga,Rio Ave FC,33,26.8,13,0.795,26.25
2011,Primeira_Liga,Vitória Setúbal FC,35,26.7,13,0.703,24.6
2011,Primeira_Liga,União de Leiria,42,23.5,28,0.582,24.45
2011,Primeira_Liga,SC Beira-Mar,34,24.8,15,0.675,22.95
2011,Primeira_Liga,CS Marítimo,30,25.8,23,0.742,22.25
2011,Primeira_Liga,SC Olhanense,30,26.5,15,0.673,20.2
2011,Primeira_Liga,FC Paços de Ferreira,33,25.0,18,0.598,19.75
2011,Primeira_Liga,CD Feirense,29,24.8,12,0.648,18.8
2011,Primeira_Liga,Gil Vicente FC,32,26.4,17,0.536,17.15
2012,Primeira_Liga,FC Porto,31,24.5,24,8.29,256.95
2012,Primeira_Liga,SL Benfica,36,25.4,25,7.05,253.95
2012,Primeira_Liga,Sporting CP,40,23.4,25,3.8,151.9
2012,Primeira_Liga,SC Braga,40,25.9,23,2.67,106.6
2012,Primeira_Liga,CS Marítimo,39,24.8,26,0.909,35.45
2012,Primeira_Liga,CD Nacional,35,23.6,22,0.856,29.95
2012,Primeira_Liga,Vitória Guimarães SC,43,22.9,21,0.656,28.2
2012,Primeira_Liga,FC Paços de Ferreira,28,25.9,12,0.961,26.9
2012,Primeira_Liga,Académica Coimbra,30,25.6,19,0.885,26.55
2012,Primeira_Liga,Rio Ave FC,31,24.3,16,0.832,25.8
2012,Primeira_Liga,SC Beira-Mar,30,25.4,12,0.803,24.1
2012,Primeira_Liga,GD Estoril Praia,29,25.1,16,0.81,23.5
2012,Primeira_Liga,SC Olhanense,36,26.2,17,0.554,19.95
2012,Primeira_Liga,Gil Vicente FC,35,26.9,20,0.501,17.55
2012,Primeira_Liga,Vitória Setúbal FC,30,26.4,10,0.577,17.3
2012,Primeira_Liga,Moreirense FC,30,26.9,17,0.558,16.73
2013,Primeira_Liga,SL Benfica,38,24.8,29,6.2,235.5
2013,Primeira_Liga,FC Porto,32,24.5,26,6.82,218.2
2013,Primeira_Liga,Sporting CP,30,24.0,20,4.05,121.6
2013,Primeira_Liga,SC Braga,41,24.5,21,2.01,82.3
2013,Primeira_Liga,Rio Ave FC,40,24.2,20,0.839,33.55
2013,Primeira_Liga,Vitória Guimarães SC,35,23.6,17,0.924,32.35
