year,round,stage,fixture_id,fixture_date,team_name,team_id,opponent_name,opponent_id,team_win,team_home,fixture_length,fixture_location,opponent_rank_prev,opponent_league_rank_prev,opponent_division,team_division,team_rank_prev,team_league_rank_prev,team_rank,team_league_rank,rank_diff,team_rank_diff,team_better,team_max_stage,next_fixture_date_round,next_fixture_days_round,next_team_points_round,next_fixture_date_round_plus,next_fixture_days_round_plus,next_team_points_round_plus,distance,city,league,team_size,mean_age,foreigners,mean_value,total_value,extra_time
2016,Final,1,212763,2017-05-28 16:15:00+00:00,Benfica,211,Guimaraes,224,1.0,1,90,"Estádio Nacional (Jamor, Oeiras)",10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,1,6,2018-05-13 17:00:00+00:00,350.0,3.0,2018-05-13 17:00:00+00:00,210.0,3.0,0.0,Lisbon,Primeira_Liga,33.0,25.2,22.0,7.55,249.2,0
2016,Final,1,212763,2017-05-28 16:15:00+00:00,Guimaraes,224,Benfica,211,0.0,0,90,"Estádio Nacional (Jamor, Oeiras)",1.0,1.0,1.0,1.0,10.0,10.0,4.0,4.0,-9.0,-6.0,0,6,2018-05-12 15:00:00+00:00,348.0,0.0,2018-05-12 15:00:00+00:00,209.0,0.0,308.0,Guimarães,Primeira_Liga,42.0,24.5,23.0,1.31,54.95,0
2016,Semi-finals,2,212764,2017-02-28 20:15:00+00:00,Estoril,230,Benfica,211,0.0,1,90,Estádio António Coimbra da Mota (Estoril),1.0,1.0,1.0,1.0,8.0,8.0,10.0,10.0,-7.0,2.0,0,6,2017-05-21 17:00:00+00:00,81.0,3.0,2018-05-13 17:00:00+00:00,350.0,1.0,0.0,Estoril,Primeira_Liga,36.0,24.5,24.0,0.665,23.95,0
2016,Semi-finals,2,212764,2017-02-28 20:15:00+00:00,Benfica,211,Estoril,230,1.0,0,90,Estádio António Coimbra da Mota (Estoril),8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,1,6,2017-05-20 19:30:00+00:00,80.0,1.0,2018-05-13 17:00:00+00:00,350.0,3.0,17.0,Lisbon,Primeira_Liga,33.0,25.2,22.0,7.55,249.2,0
2016,Semi-finals,2,212766,2017-03-01 20:15:00+00:00,Guimaraes,224,Chaves,223,1.0,1,90,Estádio Dom Afonso Henriques (Guimarães),159.0,7.0,3.0,1.0,10.0,10.0,4.0,4.0,149.0,-6.0,1,6,2017-05-20 17:15:00+00:00,79.0,0.0,2017-05-20 17:15:00+00:00,45.0,0.0,0.0,Guimarães,Primeira_Liga,42.0,24.5,23.0,1.31,54.95,0
2016,Semi-finals,2,212766,2017-03-01 20:15:00+00:00,Chaves,223,Guimaraes,224,0.0,0,90,Estádio Dom Afonso Henriques (Guimarães),10.0,10.0,1.0,3.0,159.0,7.0,11.0,11.0,-149.0,-148.0,0,6,2017-05-21 19:15:00+00:00,80.0,0.0,2017-05-21 19:15:00+00:00,47.0,0.0,70.0,Chaves,Primeira_Liga,36.0,26.9,22.0,0.611,22.0,0
2016,Semi-finals,2,212767,2017-04-04 19:15:00+00:00,Chaves,223,Guimaraes,224,1.0,1,90,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves),10.0,10.0,1.0,3.0,159.0,7.0,11.0,11.0,-149.0,-148.0,0,6,2017-05-21 19:15:00+00:00,47.0,0.0,2018-05-11 19:30:00+00:00,208.0,3.0,0.0,Chaves,Primeira_Liga,36.0,26.9,22.0,0.611,22.0,0
2016,Semi-finals,2,212767,2017-04-04 19:15:00+00:00,Guimaraes,224,Chaves,223,0.0,0,90,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves),159.0,7.0,3.0,1.0,10.0,10.0,4.0,4.0,149.0,-6.0,1,6,2017-05-20 17:15:00+00:00,45.0,0.0,2018-05-12 15:00:00+00:00,209.0,0.0,70.0,Guimarães,Primeira_Liga,42.0,24.5,23.0,1.31,54.95,0
2016,Quarter-finals,3,212768,2017-01-17 18:15:00+00:00,Estoril,230,Academica,239,1.0,1,90,Estádio António Coimbra da Mota (Estoril),18.0,18.0,1.0,1.0,8.0,8.0,10.0,10.0,10.0,2.0,1,6,2017-05-21 17:00:00+00:00,123.0,3.0,2017-05-21 17:00:00+00:00,81.0,3.0,0.0,Estoril,Primeira_Liga,36.0,24.5,24.0,0.665,23.95,0
2016,Quarter-finals,3,212768,2017-01-17 18:15:00+00:00,Academica,239,Estoril,230,0.0,0,90,Estádio António Coimbra da Mota (Estoril),8.0,8.0,1.0,1.0,18.0,18.0,24.0,6.0,-10.0,6.0,0,7,2017-05-21 15:00:00+00:00,123.0,3.0,2017-05-21 15:00:00+00:00,81.0,3.0,186.0,Coimbra,Segunda_Liga,35.0,25.1,10.0,0.211,7.38,0
2016,Quarter-finals,3,212769,2017-01-17 20:15:00+00:00,Chaves,223,Sporting CP,228,1.0,1,90,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves),2.0,2.0,1.0,3.0,159.0,7.0,11.0,11.0,-157.0,-148.0,0,6,2017-05-21 19:15:00+00:00,123.0,0.0,2017-05-21 19:15:00+00:00,80.0,0.0,0.0,Chaves,Primeira_Liga,36.0,26.9,22.0,0.611,22.0,0
2016,Quarter-finals,3,212769,2017-01-17 20:15:00+00:00,Sporting CP,228,Chaves,223,0.0,0,90,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves),159.0,7.0,3.0,1.0,2.0,2.0,3.0,3.0,157.0,1.0,1,6,2017-05-21 19:15:00+00:00,123.0,3.0,2017-05-21 19:15:00+00:00,80.0,3.0,360.0,Lisbon,Primeira_Liga,39.0,25.7,25.0,6.63,258.7,0
2016,Quarter-finals,3,212770,2017-01-18 18:30:00+00:00,SC Covilha,236,Guimaraes,224,0.0,1,90,Complexo Desportivo da Covilhã (Covilhã),10.0,10.0,1.0,3.0,159.0,7.0,26.0,8.0,-149.0,-133.0,0,7,2017-05-20 15:00:00+00:00,121.0,3.0,2017-05-20 15:00:00+00:00,79.0,3.0,0.0,Covilhã,Segunda_Liga,31.0,26.2,17.0,0.233,7.23,0
2016,Quarter-finals,3,212770,2017-01-18 18:30:00+00:00,Guimaraes,224,SC Covilha,236,1.0,0,90,Complexo Desportivo da Covilhã (Covilhã),159.0,7.0,3.0,1.0,10.0,10.0,4.0,4.0,149.0,-6.0,1,6,2017-05-20 17:15:00+00:00,121.0,0.0,2017-05-20 17:15:00+00:00,79.0,0.0,145.0,Guimarães,Primeira_Liga,42.0,24.5,23.0,1.31,54.95,0
2016,Quarter-finals,3,212771,2017-01-18 20:30:00+00:00,Benfica,211,Leixoes,244,1.0,1,90,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa),159.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,158.0,0.0,1,6,2017-05-20 19:30:00+00:00,121.0,1.0,2017-05-20 19:30:00+00:00,80.0,1.0,0.0,Lisbon,Primeira_Liga,33.0,25.2,22.0,7.55,249.2,0
2016,Quarter-finals,3,212771,2017-01-18 20:30:00+00:00,Leixoes,244,Benfica,211,0.0,0,90,Estádio do Sport Lisboa e Benfica (da Luz) (Lisboa),1.0,1.0,1.0,3.0,159.0,7.0,36.0,18.0,-158.0,-123.0,0,7,2017-05-21 10:45:00+00:00,122.0,0.0,2017-05-21 10:45:00+00:00,81.0,0.0,274.0,Matosinhos,Segunda_Liga,37.0,24.0,17.0,0.142,5.25,0
2016,4th Round,5,212780,2016-11-13 15:00:00+00:00,Varzim,237,SC Covilha,236,0.0,1,90,Estádio Varzim Sport Club (Póvoa de Varzim),159.0,7.0,3.0,3.0,159.0,7.0,27.0,9.0,0.0,-132.0,1,7,2017-05-21 15:00:00+00:00,189.0,0.0,2017-05-21 15:00:00+00:00,122.0,0.0,0.0,Póvoa de Varzim,Segunda_Liga,32.0,25.3,19.0,0.179,5.73,0
2016,4th Round,5,212780,2016-11-13 15:00:00+00:00,SC Covilha,236,Varzim,237,1.0,0,90,Estádio Varzim Sport Club (Póvoa de Varzim),159.0,7.0,3.0,3.0,159.0,7.0,26.0,8.0,0.0,-133.0,1,7,2017-05-20 15:00:00+00:00,188.0,3.0,2017-05-20 15:00:00+00:00,121.0,3.0,162.0,Covilhã,Segunda_Liga,31.0,26.2,17.0,0.233,7.23,0
2016,4th Round,5,212781,2016-11-17 20:15:00+00:00,Sporting CP,228,Praiense,4786,1.0,1,90,Estádio José Alvalade (Lisboa),159.0,7.0,3.0,1.0,2.0,2.0,3.0,3.0,157.0,1.0,1,6,2017-05-21 19:15:00+00:00,184.0,3.0,2017-05-21 19:15:00+00:00,123.0,3.0,0.0,Lisbon,Primeira_Liga,39.0,25.7,25.0,6.63,258.7,0
2016,4th Round,5,212781,2016-11-17 20:15:00+00:00,Praiense,4786,Sporting CP,228,0.0,0,90,Estádio José Alvalade (Lisboa),2.0,2.0,1.0,3.0,159.0,7.0,159.0,7.0,-157.0,0.0,0,7,,,,,,,1557.0,Praia da Vitória,,,,,,,0
2016,4th Round,5,212782,2016-11-18 20:15:00+00:00,Chaves,223,FC Porto,212,1.0,1,120,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves),3.0,3.0,1.0,3.0,159.0,7.0,11.0,11.0,-156.0,-148.0,0,6,2017-05-21 19:15:00+00:00,183.0,0.0,2017-05-21 19:15:00+00:00,123.0,0.0,0.0,Chaves,Primeira_Liga,36.0,26.9,22.0,0.611,22.0,1
2016,4th Round,5,212782,2016-11-18 20:15:00+00:00,FC Porto,212,Chaves,223,0.0,0,120,Estádio Municipal Eng. Manuel Branco Teixeira (Chaves),159.0,7.0,3.0,1.0,3.0,3.0,2.0,2.0,156.0,-1.0,1,6,2017-05-21 17:00:00+00:00,183.0,0.0,2017-05-21 17:00:00+00:00,123.0,0.0,109.0,Porto,Primeira_Liga,32.0,25.3,19.0,6.41,205.25,1
2016,4th Round,5,212783,2016-11-19 14:00:00+00:00,Sanjoanense,4792,GIL Vicente,762,1.0,1,90,Estádio Conde Dias Garcia (São João da Madeira),159.0,7.0,3.0,3.0,159.0,7.0,159.0,7.0,0.0,0.0,0,7,,,,,,,0.0,São João da Madeira,,,,,,,0
2016,4th Round,5,212783,2016-11-19 14:00:00+00:00,GIL Vicente,762,Sanjoanense,4792,0.0,0,90,Estádio Conde Dias Garcia (São João da Madeira),159.0,7.0,3.0,3.0,159.0,7.0,31.0,13.0,0.0,-128.0,1,7,2019-08-10 18:00:00+00:00,994.0,3.0,2019-08-10 18:00:00+00:00,685.0,3.0,71.0,Barcelos,Segunda_Liga,39.0,23.2,26.0,0.164,6.4,0
2016,4th Round,5,212784,2016-11-19 16:00:00+00:00,Estoril,230,Cova De Piedade,241,1.0,1,90,Estádio António Coimbra da Mota (Estoril),159.0,7.0,3.0,1.0,8.0,8.0,10.0,10.0,151.0,2.0,1,6,2017-05-21 17:00:00+00:00,183.0,3.0,2017-05-21 17:00:00+00:00,123.0,3.0,0.0,Estoril,Primeira_Liga,36.0,24.5,24.0,0.665,23.95,0
2016,4th Round,5,212784,2016-11-19 16:00:00+00:00,Cova De Piedade,241,Estoril,230,0.0,0,90,Estádio António Coimbra da Mota (Estoril),8.0,8.0,1.0,3.0,159.0,7.0,34.0,16.0,-151.0,-125.0,0,7,2017-05-21 15:00:00+00:00,182.0,1.0,2017-05-21 15:00:00+00:00,123.0,1.0,21.0,Cova da Piedade,Segunda_Liga,30.0,28.3,15.0,0.137,4.1,0
2016,4th Round,5,212785,2016-11-19 16:00:00+00:00,Feirense,213,Academica,239,0.0,1,120,Estádio Marcolino de Castro (Santa Maria da Feira),18.0,18.0,1.0,3.0,159.0,7.0,8.0,8.0,-141.0,-151.0,1,6,2017-05-20 17:15:00+00:00,182.0,3.0,2017-05-20 17:15:00+00:00,122.0,3.0,0.0,Santa Maria da Feira,Primeira_Liga,39.0,25.7,18.0,0.409,15.95,1
2016,4th Round,5,212785,2016-11-19 16:00:00+00:00,Academica,239,Feirense,213,1.0,0,120,Estádio Marcolino de Castro (Santa Maria da Feira),159.0,7.0,3.0,1.0,18.0,18.0,24.0,6.0,141.0,6.0,1,7,2017-05-21 15:00:00+00:00,182.0,3.0,2017-05-21 15:00:00+00:00,123.0,3.0,80.0,Coimbra,Segunda_Liga,35.0,25.1,10.0,0.211,7.38,1
