year,fixture_date,league,round,fixture_location,team_name,team_id,opponent_name,opponent_id,team_win,team_goals,opponent_goals,team_points_match
2011,2011-08-12T19:45:00+00:00,Primeira Liga,Regular Season - 1,,GIL Vicente,762,Benfica,211,,2.0,2.0,1
2011,2011-08-12T19:45:00+00:00,Primeira Liga,Regular Season - 1,,Benfica,211,GIL Vicente,762,,2.0,2.0,1
2011,2011-08-13T17:00:00+00:00,Primeira Liga,Regular Season - 1,,Rio Ave,226,SC Braga,217,,0.0,0.0,1
2011,2011-08-13T17:00:00+00:00,Primeira Liga,Regular Season - 1,,SC Braga,217,Rio Ave,226,,0.0,0.0,1
2011,2011-08-13T19:15:00+00:00,Primeira Liga,Regular Season - 1,,Sporting CP,228,Olhanense,807,,1.0,1.0,1
2011,2011-08-13T19:15:00+00:00,Primeira Liga,Regular Season - 1,,Olhanense,807,Sporting CP,228,,1.0,1.0,1
2011,2011-08-14T15:00:00+00:00,Primeira Liga,Regular Season - 1,,Maritimo,214,Beira-Mar,4661,,0.0,0.0,1
2011,2011-08-14T15:00:00+00:00,Primeira Liga,Regular Season - 1,,Beira-Mar,4661,Maritimo,214,,0.0,0.0,1
2011,2011-08-14T16:00:00+00:00,Primeira Liga,Regular Season - 1,,Feirense,213,Nacional,225,,0.0,0.0,1
2011,2011-08-14T16:00:00+00:00,Primeira Liga,Regular Season - 1,,Nacional,225,Feirense,213,,0.0,0.0,1
2011,2011-08-14T17:00:00+00:00,Primeira Liga,Regular Season - 1,,Vitoria Setubal,219,Pacos Ferreira,234,1.0,2.0,1.0,3
2011,2011-08-14T17:00:00+00:00,Primeira Liga,Regular Season - 1,,Pacos Ferreira,234,Vitoria Setubal,219,0.0,1.0,2.0,0
2011,2011-08-14T18:00:00+00:00,Primeira Liga,Regular Season - 1,,Guimaraes,224,FC Porto,212,0.0,0.0,1.0,0
2011,2011-08-14T18:00:00+00:00,Primeira Liga,Regular Season - 1,,FC Porto,212,Guimaraes,224,1.0,1.0,0.0,3
2011,2011-08-19T19:15:00+00:00,Primeira Liga,Regular Season - 2,,FC Porto,212,GIL Vicente,762,1.0,3.0,1.0,3
2011,2011-08-19T19:15:00+00:00,Primeira Liga,Regular Season - 2,,GIL Vicente,762,FC Porto,212,0.0,1.0,3.0,0
2011,2011-08-20T18:45:00+00:00,Primeira Liga,Regular Season - 2,,Benfica,211,Feirense,213,1.0,3.0,1.0,3
2011,2011-08-20T18:45:00+00:00,Primeira Liga,Regular Season - 2,,Feirense,213,Benfica,211,0.0,1.0,3.0,0
2011,2011-08-21T17:00:00+00:00,Primeira Liga,Regular Season - 2,,Academica,239,Rio Ave,226,1.0,1.0,0.0,3
2011,2011-08-21T17:00:00+00:00,Primeira Liga,Regular Season - 2,,Rio Ave,226,Academica,239,0.0,0.0,1.0,0
2011,2011-08-21T17:15:00+00:00,Primeira Liga,Regular Season - 2,,Beira-Mar,4661,Sporting CP,228,,0.0,0.0,1
2011,2011-08-21T17:15:00+00:00,Primeira Liga,Regular Season - 2,,Sporting CP,228,Beira-Mar,4661,,0.0,0.0,1
2011,2011-08-21T19:15:00+00:00,Primeira Liga,Regular Season - 2,,SC Braga,217,Maritimo,214,1.0,2.0,0.0,3
2011,2011-08-21T19:15:00+00:00,Primeira Liga,Regular Season - 2,,Maritimo,214,SC Braga,217,0.0,0.0,2.0,0
2011,2011-08-22T19:15:00+00:00,Primeira Liga,Regular Season - 2,,Olhanense,807,Vitoria Setubal,219,,2.0,2.0,1
2011,2011-08-22T19:15:00+00:00,Primeira Liga,Regular Season - 2,,Vitoria Setubal,219,Olhanense,807,,2.0,2.0,1
2011,2011-09-04T18:00:00+00:00,Primeira Liga,Regular Season - 2,,Nacional,225,Guimaraes,224,0.0,1.0,4.0,0
2011,2011-09-04T18:00:00+00:00,Primeira Liga,Regular Season - 2,,Guimaraes,224,Nacional,225,1.0,4.0,1.0,3
2011,2011-08-27T18:30:00+00:00,Primeira Liga,Regular Season - 3,,GIL Vicente,762,Academica,239,1.0,2.0,0.0,3
2011,2011-08-27T18:30:00+00:00,Primeira Liga,Regular Season - 3,,Academica,239,GIL Vicente,762,0.0,0.0,2.0,0
2011,2011-08-28T15:00:00+00:00,Primeira Liga,Regular Season - 3,,Rio Ave,226,Olhanense,807,0.0,0.0,1.0,0
2011,2011-08-28T15:00:00+00:00,Primeira Liga,Regular Season - 3,,Olhanense,807,Rio Ave,226,1.0,1.0,0.0,3
2011,2011-08-28T17:00:00+00:00,Primeira Liga,Regular Season - 3,,Feirense,213,Pacos Ferreira,234,,0.0,0.0,1
2011,2011-08-28T17:00:00+00:00,Primeira Liga,Regular Season - 3,,Pacos Ferreira,234,Feirense,213,,0.0,0.0,1
2011,2011-08-28T17:00:00+00:00,Primeira Liga,Regular Season - 3,,Guimaraes,224,Beira-Mar,4661,0.0,0.0,3.0,0
2011,2011-08-28T17:00:00+00:00,Primeira Liga,Regular Season - 3,,Beira-Mar,4661,Guimaraes,224,1.0,3.0,0.0,3
2011,2011-08-28T19:30:00+00:00,Primeira Liga,Regular Season - 3,,Sporting CP,228,Maritimo,214,0.0,2.0,3.0,0
2011,2011-08-28T19:30:00+00:00,Primeira Liga,Regular Season - 3,,Maritimo,214,Sporting CP,228,1.0,3.0,2.0,3
2011,2011-08-29T17:45:00+00:00,Primeira Liga,Regular Season - 3,,Vitoria Setubal,219,SC Braga,217,0.0,0.0,1.0,0
2011,2011-08-29T17:45:00+00:00,Primeira Liga,Regular Season - 3,,SC Braga,217,Vitoria Setubal,219,1.0,1.0,0.0,3
2011,2011-08-29T19:45:00+00:00,Primeira Liga,Regular Season - 3,,Nacional,225,Benfica,211,0.0,0.0,2.0,0
