league,division,year,position,team_name,team_id,points,played,win,draw,lose,goals_diff,goals_for,goals_against,national_rank
Primeira_Liga,1,2011,1,FC Porto,212,75,30,23,6,1,50,69,19,1
Primeira_Liga,1,2011,2,Benfica,211,69,30,21,6,3,39,66,27,2
Primeira_Liga,1,2011,3,SC Braga,217,62,30,19,5,6,30,59,29,3
Primeira_Liga,1,2011,4,Sporting CP,228,59,30,18,5,7,21,47,26,4
Primeira_Liga,1,2011,5,Maritimo,214,50,30,14,8,8,3,41,38,5
Primeira_Liga,1,2011,6,Guimaraes,224,45,30,14,3,13,0,40,40,6
Primeira_Liga,1,2011,7,Nacional,225,44,30,13,5,12,-2,48,50,7
Primeira_Liga,1,2011,8,Olhanense,807,39,30,9,12,9,-2,36,38,8
Primeira_Liga,1,2011,9,GIL Vicente,762,34,30,8,10,12,-11,31,42,9
Primeira_Liga,1,2011,10,Pacos Ferreira,234,31,30,8,7,15,-18,35,53,10
Primeira_Liga,1,2011,11,Vitoria Setubal,219,30,30,8,6,16,-25,24,49,11
Primeira_Liga,1,2011,12,Academica,239,29,30,7,8,15,-11,27,38,12
Primeira_Liga,1,2011,13,Beira-Mar,4661,29,30,8,5,17,-12,26,38,13
Primeira_Liga,1,2011,14,Rio Ave,226,28,30,7,7,16,-9,33,42,14
Primeira_Liga,1,2011,15,Feirense,213,24,30,5,9,16,-22,27,49,15
Primeira_Liga,1,2011,16,União de Leiria,4662,19,30,5,4,21,-31,25,56,16
Primeira_Liga,1,2012,1,FC Porto,212,78,30,24,6,0,56,70,14,1
Primeira_Liga,1,2012,2,Benfica,211,77,30,24,5,1,57,77,20,2
Primeira_Liga,1,2012,3,Pacos Ferreira,234,54,30,14,12,4,13,42,29,3
Primeira_Liga,1,2012,4,SC Braga,217,52,30,16,4,10,16,60,44,4
Primeira_Liga,1,2012,5,Estoril,230,45,30,13,6,11,10,47,37,5
Primeira_Liga,1,2012,6,Rio Ave,226,42,30,12,6,12,-7,35,42,6
Primeira_Liga,1,2012,7,Sporting CP,228,42,30,11,9,10,0,36,36,7
Primeira_Liga,1,2012,8,Nacional,225,40,30,11,7,12,-6,45,51,8
Primeira_Liga,1,2012,9,Guimaraes,224,40,30,11,7,12,-11,36,47,9
Primeira_Liga,1,2012,10,Maritimo,214,38,30,9,11,10,-11,34,45,10
Primeira_Liga,1,2012,11,Academica,239,28,30,6,10,14,-12,33,45,11
Primeira_Liga,1,2012,12,Vitoria Setubal,219,26,30,7,5,18,-25,30,55,12
Primeira_Liga,1,2012,13,GIL Vicente,762,25,30,6,7,17,-23,31,54,13
Primeira_Liga,1,2012,14,Olhanense,807,25,30,5,10,15,-16,26,42,14
Primeira_Liga,1,2012,15,Moreirense,215,24,30,5,9,16,-21,30,51,15
Primeira_Liga,1,2012,16,Beira-Mar,4661,23,30,5,8,17,-20,35,55,16
Primeira_Liga,1,2013,1,Benfica,211,74,30,23,5,2,40,58,18,1
Primeira_Liga,1,2013,2,Sporting CP,228,67,30,20,7,3,34,54,20,2
Primeira_Liga,1,2013,3,FC Porto,212,61,30,19,4,7,32,57,25,3
Primeira_Liga,1,2013,4,Estoril,230,54,30,15,9,6,16,42,26,4
Primeira_Liga,1,2013,5,Nacional,225,45,30,11,12,7,10,43,33,5
Primeira_Liga,1,2013,6,Maritimo,214,41,30,11,8,11,-4,40,44,6
Primeira_Liga,1,2013,7,Vitoria Setubal,219,39,30,10,9,11,0,41,41,7
Primeira_Liga,1,2013,8,Academica,239,37,30,9,10,11,-10,25,35,8
Primeira_Liga,1,2013,9,SC Braga,217,37,30,10,7,13,2,39,37,9
Primeira_Liga,1,2013,10,Guimaraes,224,35,30,10,5,15,-5,30,35,10
Primeira_Liga,1,2013,11,Rio Ave,226,32,30,8,8,14,-14,21,35,11
Primeira_Liga,1,2013,12,Arouca,240,31,30,8,7,15,-14,28,42,12
Primeira_Liga,1,2013,13,GIL Vicente,762,31,30,8,7,15,-14,23,37,13
