Country,Round,Stage,Latest Year,Matches (2023),Avg. Matches (All Years),Teams (2023),Avg. Teams (All Years),Year Span,Total Matches (All Years)
England,1,1,2023,1,1.0,2,2.0,2012-2023,12
England,2,2,2023,2,2.0,3,3.9166666666666665,2012-2023,24
England,3,3,2023,4,3.9166666666666665,7,7.75,2012-2023,47
England,4,4,2023,8,8.0,9,15.416666666666666,2012-2023,96
England,5,5,2023,16,16.0,19,30.916666666666668,2012-2023,192
England,6,6,2023,32,32.0,42,62.166666666666664,2012-2023,384
England,7,7,2023,20,20.083333333333332,24,38.666666666666664,2012-2023,241
England,8,8,2023,41,40.0,45,76.83333333333333,2012-2023,480
Germany,1,1,2023,1,1.0,2,2.0,2012-2023,12
Germany,2,2,2023,2,2.0,2,3.8333333333333335,2012-2023,24
Germany,3,3,2023,4,4.0,6,7.833333333333333,2012-2023,48
Germany,4,4,2023,8,8.0,11,15.583333333333334,2012-2023,96
Grand Total,,,,289,12.098958333333334,341,22.76736111111111,,2874
Netherlands,1,1,2023,1,1.0,2,2.0,2016-2023,7
Netherlands,2,2,2023,2,2.0,3,3.75,2016-2023,16
Netherlands,3,3,2023,4,4.0,5,7.25,2016-2023,32
Netherlands,4,4,2023,8,8.0,11,14.5,2016-2023,64
Netherlands,5,5,2023,16,14.875,18,26.5,2016-2023,119
Netherlands,6,6,2023,27,27.0,27,46.75,2016-2023,216
Portugal,1,1,2023,1,1.0,2,2.0,2016-2023,8
Portugal,2,2,2023,3,3.0,4,4.0,2016-2023,24
Portugal,3,3,2023,4,4.0,5,7.625,2016-2023,32
Portugal,5,5,2023,13,15.375,18,29.75,2016-2023,123
Portugal,6,6,2023,29,29.5,30,55.5,2016-2023,236
Portugal,7,7,2023,42,42.625,44,79.875,2016-2023,341
