year,league,team_name,team_size,mean_age,foreigners,mean_value,total_value
2011,Premier_League,Manchester City,36,25.4,24,13.85,498.6
2011,Premier_League,Manchester United,41,24.6,24,9.86,404.1
2011,Premier_League,Chelsea FC,32,26.7,21,11.73,375.5
2011,Premier_League,Arsenal FC,45,24.2,35,8.05,362.43
2011,Premier_League,Tottenham Hotspur,50,25.2,27,6.47,323.5
2011,Premier_League,Liverpool FC,31,25.6,18,7.64,236.9
2011,Premier_League,Everton FC,36,26.3,25,4.72,169.95
2011,Premier_League,Newcastle United,37,24.8,21,4.37,161.7
2011,Premier_League,Sunderland AFC,36,25.5,20,3.51,126.5
2011,Premier_League,Aston Villa,37,25.6,23,3.34,123.5
2011,Premier_League,Fulham FC,36,27.1,28,2.78,100.0
2011,Premier_League,Bolton Wanderers,38,25.9,19,2.37,90.05
2011,Premier_League,Stoke City,32,28.5,16,2.55,81.65
2011,Premier_League,Queens Park Rangers,48,27.6,25,1.7,81.38
2011,Premier_League,Blackburn Rovers,37,25.4,26,2.16,80.0
2011,Premier_League,Wolverhampton Wanderers,37,25.0,24,2.11,78.05
2011,Premier_League,Swansea City,34,25.5,21,2.22,75.6
2011,Premier_League,Wigan Athletic,30,26.2,22,2.48,74.25
2011,Premier_League,West Bromwich Albion,36,26.0,24,1.93,69.55
2011,Premier_League,Norwich City,29,25.5,12,2.03,58.75
2012,Premier_League,Manchester City,41,24.8,29,12.25,502.1
2012,Premier_League,Manchester United,41,24.7,24,11.16,457.5
2012,Premier_League,Chelsea FC,34,25.9,25,13.36,454.25
2012,Premier_League,Arsenal FC,42,24.0,35,7.07,296.9
2012,Premier_League,Tottenham Hotspur,41,25.5,21,7.24,296.8
2012,Premier_League,Liverpool FC,41,23.5,21,6.73,276.1
2012,Premier_League,Newcastle United,39,24.6,26,5.13,200.25
2012,Premier_League,Everton FC,29,25.7,20,4.82,139.75
2012,Premier_League,Sunderland AFC,37,25.3,19,3.62,133.9
2012,Premier_League,Queens Park Rangers,38,28.7,22,3.16,120.05
2012,Premier_League,Aston Villa,33,24.7,21,3.35,110.5
2012,Premier_League,Fulham FC,37,27.4,32,2.97,109.85
2012,Premier_League,Stoke City,30,28.3,18,3.47,104.05
2012,Premier_League,West Ham United,39,25.5,20,2.64,103.0
2012,Premier_League,Swansea City,33,26.2,22,3.1,102.25
2012,Premier_League,West Bromwich Albion,32,26.0,23,2.92,93.5
