Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win,Opponent_rank_prev,Team_rank_prev,Team_rank,Rank_diff,const,Team_max_stage
2016,Final,6,AZ Alkmaar,201,Vitesse,200,0.0,75.0,75.0,,0.0,1,6.0
2016,Final,6,Vitesse,200,AZ Alkmaar,201,1.0,75.0,75.0,,0.0,1,6.0
2016,Semi-finals,5,AZ Alkmaar,201,Cambuur,420,1.0,75.0,75.0,,0.0,1,6.0
2016,Semi-finals,5,Cambuur,420,AZ Alkmaar,201,0.0,75.0,75.0,,0.0,1,5.0
2016,Semi-finals,5,Sparta Rotterdam,426,Vitesse,200,0.0,75.0,75.0,,0.0,1,5.0
2016,Semi-finals,5,Vitesse,200,Sparta Rotterdam,426,1.0,75.0,75.0,,0.0,1,6.0
2016,Quarter-finals,4,Vitesse,200,Feyenoord,209,1.0,75.0,75.0,,0.0,1,6.0
2016,Quarter-finals,4,Feyenoord,209,Vitesse,200,0.0,75.0,75.0,,0.0,1,4.0
2016,Quarter-finals,4,AZ Alkmaar,201,Heerenveen,210,1.0,75.0,75.0,,0.0,1,6.0
2016,Quarter-finals,4,Heerenveen,210,AZ Alkmaar,201,0.0,75.0,75.0,,0.0,1,4.0
2016,Quarter-finals,4,Utrecht,207,Cambuur,420,0.0,75.0,75.0,,0.0,1,4.0
2016,Quarter-finals,4,Cambuur,420,Utrecht,207,1.0,75.0,75.0,,0.0,1,5.0
2016,Quarter-finals,4,FC Volendam,416,Sparta Rotterdam,426,0.0,75.0,75.0,,0.0,1,4.0
2016,Quarter-finals,4,Sparta Rotterdam,426,FC Volendam,416,1.0,75.0,75.0,,0.0,1,5.0
2016,8th Finals,3,Heracles,206,Sparta Rotterdam,426,0.0,75.0,75.0,,0.0,1,3.0
2016,8th Finals,3,Sparta Rotterdam,426,Heracles,206,1.0,75.0,75.0,,0.0,1,5.0
2016,8th Finals,3,Cambuur,420,Ajax,194,1.0,75.0,75.0,,0.0,1,5.0
2016,8th Finals,3,Ajax,194,Cambuur,420,0.0,75.0,75.0,,0.0,1,3.0
2016,8th Finals,3,Feyenoord,209,ADO Den Haag,198,1.0,75.0,75.0,,0.0,1,4.0
2016,8th Finals,3,ADO Den Haag,198,Feyenoord,209,0.0,75.0,75.0,,0.0,1,3.0
2016,8th Finals,3,AZ Alkmaar,201,ASWH,1254,1.0,75.0,75.0,,0.0,1,6.0
2016,8th Finals,3,ASWH,1254,AZ Alkmaar,201,0.0,75.0,75.0,,0.0,1,3.0
2016,8th Finals,3,Vitesse,200,Jodan Boys,1289,1.0,75.0,75.0,,0.0,1,6.0
2016,8th Finals,3,Jodan Boys,1289,Vitesse,200,0.0,75.0,75.0,,0.0,1,3.0
