year,league,team_name,team_size,mean_age,foreigners,mean_value,total_value
2017,Eredivisie,Ajax Amsterdam,39,22.3,17,6.44,251.0
2017,Eredivisie,PSV Eindhoven,32,22.7,14,5.45,174.45
2017,Eredivisie,Feyenoord Rotterdam,32,24.1,12,3.26,104.2
2017,Eredivisie,AZ Alkmaar,34,23.2,10,2.08,70.68
2017,Eredivisie,FC Utrecht,36,24.6,17,1.3,46.63
2017,Eredivisie,Vitesse Arnhem,34,24.1,13,1.17,39.78
2017,Eredivisie,SC Heerenveen,26,24.2,12,1.5,39.13
2017,Eredivisie,FC Groningen,31,23.0,13,0.977,30.3
2017,Eredivisie,PEC Zwolle,32,24.0,10,0.823,26.33
2017,Eredivisie,ADO Den Haag,34,24.5,9,0.695,23.63
2017,Eredivisie,Heracles Almelo,31,24.9,11,0.718,22.25
2017,Eredivisie,Twente Enschede FC,36,23.6,23,0.615,22.15
2017,Eredivisie,Willem II Tilburg,37,23.6,23,0.504,18.65
2017,Eredivisie,NAC Breda,36,23.0,20,0.476,17.15
2017,Eredivisie,Sparta Rotterdam,41,23.9,23,0.377,15.45
2017,Eredivisie,Excelsior Rotterdam,29,25.0,11,0.51,14.8
2017,Eredivisie,VVV-Venlo,35,23.5,10,0.388,13.58
2017,Eredivisie,Roda JC Kerkrade,33,24.1,18,0.402,13.28
2018,Eredivisie,Ajax Amsterdam,39,23.0,21,12.9,503.15
2018,Eredivisie,PSV Eindhoven,41,22.9,20,5.8,237.85
2018,Eredivisie,Feyenoord Rotterdam,35,23.9,16,3.04,106.55
2018,Eredivisie,AZ Alkmaar,39,23.2,13,1.73,67.5
2018,Eredivisie,Vitesse Arnhem,36,24.3,15,1.37,49.18
2018,Eredivisie,SC Heerenveen,32,23.3,16,1.52,48.63
2018,Eredivisie,FC Utrecht,35,24.5,18,1.3,45.33
2018,Eredivisie,FC Groningen,33,23.1,14,1.24,41.0
2018,Eredivisie,Willem II Tilburg,33,23.1,26,1.09,36.0
2018,Eredivisie,Heracles Almelo,31,24.5,11,0.877,27.2
2018,Eredivisie,PEC Zwolle,38,24.2,14,0.647,24.6
2018,Eredivisie,Fortuna Sittard,44,22.5,27,0.484,21.3
2018,Eredivisie,ADO Den Haag,33,24.9,10,0.639,21.1
2018,Eredivisie,NAC Breda,40,23.8,21,0.431,17.25
2018,Eredivisie,VVV-Venlo,28,24.5,9,0.585,16.38
2018,Eredivisie,Excelsior Rotterdam,29,24.5,16,0.483,14.0
2018,Eredivisie,FC Emmen,38,25.2,9,0.359,13.63
2018,Eredivisie,De Graafschap Doetinchem,38,24.8,7,0.316,12.03
2019,Eredivisie,Ajax Amsterdam,39,23.8,20,10.27,400.4
2019,Eredivisie,PSV Eindhoven,41,24.0,19,5.36,219.58
2019,Eredivisie,AZ Alkmaar,30,23.6,11,4.34,130.05
2019,Eredivisie,Feyenoord Rotterdam,38,24.2,19,2.7,102.73
2019,Eredivisie,FC Utrecht,42,24.0,20,1.16,48.58
2019,Eredivisie,Vitesse Arnhem,34,24.7,20,0.898,30.53
2019,Eredivisie,FC Groningen,37,22.2,15,0.822,30.4
2019,Eredivisie,SC Heerenveen,29,22.9,16,0.922,26.75
2019,Eredivisie,Heracles Almelo,32,23.8,17,0.702,22.48
2019,Eredivisie,Willem II Tilburg,29,23.6,22,0.752,21.8
2019,Eredivisie,Twente Enschede FC,32,23.8,20,0.665,21.28
2019,Eredivisie,ADO Den Haag,41,25.5,17,0.473,19.4
2019,Eredivisie,PEC Zwolle,37,23.9,15,0.446,16.5
2019,Eredivisie,Sparta Rotterdam,30,24.3,13,0.517,15.5
2019,Eredivisie,FC Emmen,36,24.8,17,0.367,13.23
2019,Eredivisie,Fortuna Sittard,33,22.4,24,0.396,13.08
2019,Eredivisie,VVV-Venlo,32,24.7,16,0.376,12.03
2019,Eredivisie,RKC Waalwijk,36,24.9,13,0.299,10.78
2020,Eredivisie,Ajax Amsterdam,40,23.1,17,10.7,428.1
2020,Eredivisie,PSV Eindhoven,41,23.0,26,4.99,204.58
2020,Eredivisie,AZ Alkmaar,42,23.3,12,3.23,135.53
2020,Eredivisie,Feyenoord Rotterdam,36,24.3,15,3.01,108.38
2020,Eredivisie,FC Utrecht,38,24.5,16,1.23,46.63
2020,Eredivisie,FC Groningen,36,22.8,16,0.946,34.05
2020,Eredivisie,Vitesse Arnhem,31,22.7,16,1.02,31.5
2020,Eredivisie,SC Heerenveen,34,23.0,16,0.91,30.95
2020,Eredivisie,Twente Enschede FC,30,23.0,14,0.945,28.35
2020,Eredivisie,Willem II Tilburg,35,23.9,18,0.61,21.35
2020,Eredivisie,Fortuna Sittard,37,24.2,23,0.501,18.55
2020,Eredivisie,PEC Zwolle,34,23.6,16,0.519,17.65
2020,Eredivisie,Heracles Almelo,32,23.3,20,0.549,17.58
2020,Eredivisie,Sparta Rotterdam,32,24.9,13,0.513,16.43
2020,Eredivisie,ADO Den Haag,43,24.5,17,0.372,15.98
2020,Eredivisie,FC Emmen,37,25.1,19,0.395,14.63
2020,Eredivisie,VVV-Venlo,33,25.2,18,0.416,13.73
