Team_name,Opponent_name,Distance
1.FC Köln,VfL Osnabruck,173
1860 Rosenheim,VfR Aalen,188
1899 Hoffenheim,1.FC Köln,229
1899 Hoffenheim,Energie Cottbus,477
1899 Hoffenheim,FC Augsburg,181
1899 Hoffenheim,FSV Frankfurt,96
1899 Hoffenheim,Holstein Kiel,570
1899 Hoffenheim,SC Freiburg,159
1899 Hoffenheim,SpVgg Greuther Furth,159
1899 Hoffenheim,VfL Wolfsburg,378
Alemannia Aachen,Bayer Leverkusen,71
Alemannia Aachen,Borussia Monchengladbach,52
Alemannia Waldalgesheim,Bayer Leverkusen,133
Altglienicke,1.FC Köln,489
Anker Wismar,Hannover 96,203
Arminia Bielefeld,Bayer Leverkusen,157
Arminia Bielefeld,Borussia Monchengladbach,175
Arminia Bielefeld,Eintracht Braunschweig,136
Arminia Bielefeld,FC Nurnberg,339
Arminia Bielefeld,FC Schalke 04,117
Arminia Bielefeld,Fortuna Dusseldorf,150
Arminia Bielefeld,Hamburger SV,489
Arminia Bielefeld,Hertha Berlin,323
Arminia Bielefeld,MSV Duisburg,147
Arminia Bielefeld,SC Paderborn 07,34
Arminia Bielefeld,SV Sandhausen,299
Arminia Bielefeld,VfL Wolfsburg,159
Arminia Bielefeld,Vfl Bochum,109
Arminia Bielefeld,Werder Bremen,118
Atlas Delmenhorst,FC St. Pauli,103
Atlas Delmenhorst,Werder Bremen,13
Aumund-Vegesack,1899 Hoffenheim,434
BAK '07,1899 Hoffenheim,512
BAK '07,TSV 1860 Munich,627
BFC Dynamo,1.FC Köln,489
BFC Dynamo,FC Kaiserslautern,528
BFC Dynamo,FC Schalke 04,453
BFC Dynamo,FSV Frankfurt,426
BFC Dynamo,VfB Stuttgart,513
BFC Preussen,1.FC Köln,477
BSC Hastedt,Borussia Monchengladbach,268
BSG Chemie Leipzig,Jahn Regensburg,261
BSG Chemie Leipzig,SC Paderborn 07,257
BW Lohne,FC Augsburg,454
Bahlinger SC,SV Sandhausen,150
Bahlinger SC,Vfl Bochum,378
Balingen,VfB Stuttgart,65
Barmbek-Uhlenhorst,SC Freiburg,639
Baunatal,Vfl Bochum,154
Bayer Leverkusen,Bayern Munich,456
Bayer Leverkusen,Eintracht Frankfurt,158
Bayer Leverkusen,FC Kaiserslautern,184
Bayer Leverkusen,Fortuna Dusseldorf,25
Bayer Leverkusen,SC Paderborn 07,144
Bayer Leverkusen,Union Berlin,481
Bayer Leverkusen,VfB Stuttgart,294
Bayer Leverkusen,Werder Bremen,261
Bayern Munich,1899 Hoffenheim,232
Bayern Munich,Eintracht Frankfurt,298
Bayern Munich,FC Heidenheim,117
Bayern Munich,FC Ingolstadt 04,66
Bayern Munich,FC Kaiserslautern,310
Bayern Munich,FC Schalke 04,494
Bayern Munich,Hannover 96,484
Bayern Munich,SC Freiburg,272
Bayern Munich,SV Darmstadt 98,282
Bayern Munich,VfL Wolfsburg,476
Bayern Munich,Werder Bremen,576
Bayreuth,Arminia Bielefeld,312
Bayreuth,Hamburger SV,196
Bersenbrück,Borussia Monchengladbach,185
Bonner SC,Hannover 96,257
Borussia Dortmund,1899 Hoffenheim,224
Borussia Dortmund,Bayern Munich,395
Borussia Dortmund,Borussia Monchengladbach,169
Borussia Dortmund,Dynamo Dresden,348
Borussia Dortmund,FC Ingolstadt 04,335
Borussia Dortmund,Hannover 96,136
Borussia Dortmund,SC Paderborn 07,50
Borussia Dortmund,Union Berlin,350
Borussia Dortmund,VfL Wolfsburg,186
