team_name,opponent_name,Distance,distance
1.FC Köln,VfL Osnabruck,,173.0
1860 Rosenheim,VfR Aalen,,188.0
1899 Hoffenheim,1.FC Köln,,229.0
1899 Hoffenheim,Energie Cottbus,,477.0
1899 Hoffenheim,FC Augsburg,,181.0
1899 Hoffenheim,FSV Frankfurt,,96.0
1899 Hoffenheim,Holstein Kiel,,570.0
1899 Hoffenheim,SC Freiburg,,159.0
1899 Hoffenheim,SpVgg Greuther Furth,,159.0
1899 Hoffenheim,VfL Wolfsburg,,378.0
Alemannia Aachen,Bayer Leverkusen,,71.0
Alemannia Aachen,Borussia Monchengladbach,,52.0
Alemannia Waldalgesheim,Bayer Leverkusen,,133.0
Altglienicke,1.FC Köln,,489.0
Anker Wismar,Hannover 96,,203.0
Arminia Bielefeld,Bayer Leverkusen,,157.0
Arminia Bielefeld,Borussia Monchengladbach,,175.0
Arminia Bielefeld,Eintracht Braunschweig,,136.0
Arminia Bielefeld,FC Nurnberg,,339.0
Arminia Bielefeld,FC Schalke 04,,117.0
Arminia Bielefeld,Fortuna Dusseldorf,,150.0
Arminia Bielefeld,Hamburger SV,,489.0
Arminia Bielefeld,Hertha Berlin,,323.0
Arminia Bielefeld,MSV Duisburg,,147.0
Arminia Bielefeld,SC Paderborn 07,,34.0
Arminia Bielefeld,SV Sandhausen,,299.0
Arminia Bielefeld,VfL Wolfsburg,,159.0
Arminia Bielefeld,Vfl Bochum,,109.0
Arminia Bielefeld,Werder Bremen,,118.0
Atlas Delmenhorst,FC St. Pauli,,103.0
Atlas Delmenhorst,Werder Bremen,,13.0
Aumund-Vegesack,1899 Hoffenheim,,434.0
BAK '07,1899 Hoffenheim,,512.0
BAK '07,TSV 1860 Munich,,627.0
BFC Dynamo,1.FC Köln,,489.0
BFC Dynamo,FC Kaiserslautern,,528.0
BFC Dynamo,FC Schalke 04,,453.0
BFC Dynamo,FSV Frankfurt,,426.0
BFC Dynamo,VfB Stuttgart,,513.0
BFC Preussen,1.FC Köln,,477.0
BSC Hastedt,Borussia Monchengladbach,,268.0
BSG Chemie Leipzig,Jahn Regensburg,,261.0
BSG Chemie Leipzig,SC Paderborn 07,,257.0
BW Lohne,FC Augsburg,,454.0
Bahlinger SC,SV Sandhausen,,150.0
Bahlinger SC,Vfl Bochum,,378.0
Balingen,VfB Stuttgart,,65.0
Barmbek-Uhlenhorst,SC Freiburg,,639.0
Baunatal,Vfl Bochum,,154.0
Bayer Leverkusen,Bayern Munich,,456.0
Bayer Leverkusen,Eintracht Frankfurt,,158.0
Bayer Leverkusen,FC Kaiserslautern,,184.0
Bayer Leverkusen,Fortuna Dusseldorf,,25.0
Bayer Leverkusen,SC Paderborn 07,,144.0
Bayer Leverkusen,Union Berlin,,481.0
Bayer Leverkusen,VfB Stuttgart,,294.0
Bayer Leverkusen,Werder Bremen,,261.0
Bayern Munich,1899 Hoffenheim,,232.0
Bayern Munich,Eintracht Frankfurt,,298.0
Bayern Munich,FC Heidenheim,,117.0
Bayern Munich,FC Ingolstadt 04,,66.0
Bayern Munich,FC Kaiserslautern,,310.0
Bayern Munich,FC Schalke 04,,494.0
Bayern Munich,Hannover 96,,484.0
Bayern Munich,SC Freiburg,,272.0
Bayern Munich,SV Darmstadt 98,,282.0
Bayern Munich,VfL Wolfsburg,,476.0
Bayern Munich,Werder Bremen,,576.0
Bayreuth,Arminia Bielefeld,,312.0
Bayreuth,Hamburger SV,,196.0
Bersenbrück,Borussia Monchengladbach,,185.0
Bonner SC,Hannover 96,,257.0
Borussia Dortmund,1899 Hoffenheim,,224.0
Borussia Dortmund,Bayern Munich,,395.0
Borussia Dortmund,Borussia Monchengladbach,,169.0
