Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win,Opponent_rank_prev,Team_rank_prev,Team_rank,Rank_diff,const,Team_max_stage
2012,Semi-finals,6,Millwall,58,Wigan,61,0.0,75.0,75.0,40.0,0.0,1,6.0
2012,Semi-finals,6,Wigan,61,Millwall,58,1.0,75.0,75.0,18.0,0.0,1,7.0
2012,Semi-finals,6,Chelsea,49,Manchester City,50,0.0,75.0,75.0,3.0,0.0,1,6.0
2012,Semi-finals,6,Manchester City,50,Chelsea,49,1.0,75.0,75.0,2.0,0.0,1,7.0
2012,Final,7,Manchester City,50,Wigan,61,0.0,75.0,75.0,2.0,0.0,1,7.0
2012,Final,7,Wigan,61,Manchester City,50,1.0,75.0,75.0,18.0,0.0,1,7.0
2012,3rd Round,3,Brighton,51,Newcastle,34,1.0,75.0,75.0,24.0,0.0,1,3.0
2012,3rd Round,3,Newcastle,34,Brighton,51,0.0,75.0,75.0,16.0,0.0,1,3.0
2012,3rd Round,3,Crystal Palace,52,Stoke City,75,,75.0,75.0,25.0,0.0,1,3.0
2012,3rd Round,3,Stoke City,75,Crystal Palace,52,,75.0,75.0,13.0,0.0,1,3.0
2012,3rd Round,3,Tottenham,47,Coventry,1346,1.0,75.0,75.0,5.0,0.0,1,3.0
2012,3rd Round,3,Coventry,1346,Tottenham,47,0.0,75.0,75.0,59.0,0.0,1,3.0
2012,3rd Round,3,Wigan,61,Bournemouth,35,,75.0,75.0,18.0,0.0,1,7.0
2012,3rd Round,3,Bournemouth,35,Wigan,61,,75.0,75.0,46.0,0.0,1,3.0
2012,3rd Round,3,Fulham,36,Blackpool,1356,,75.0,75.0,12.0,0.0,1,3.0
2012,3rd Round,3,Blackpool,1356,Fulham,36,,75.0,75.0,35.0,0.0,1,3.0
2012,3rd Round,3,Aston Villa,66,Ipswich,57,1.0,75.0,75.0,15.0,0.0,1,3.0
2012,3rd Round,3,Ipswich,57,Aston Villa,66,0.0,75.0,75.0,34.0,0.0,1,3.0
2012,3rd Round,3,Charlton,1335,Huddersfield,37,0.0,75.0,75.0,29.0,0.0,1,3.0
2012,3rd Round,3,Huddersfield,37,Charlton,1335,1.0,75.0,75.0,39.0,0.0,1,3.0
2012,3rd Round,3,Macclesfield,1380,Cardiff,43,1.0,75.0,75.0,,0.0,1,3.0
