year,league,team_name,team_size,mean_age,foreigners,mean_value,total_value
2010,Bundesliga,Bayern Munich,31,25.7,17,9.97,308.98
2010,Bundesliga,Borussia Dortmund,31,24.8,15,5.48,169.95
2010,Bundesliga,FC Schalke 04,36,25.2,23,4.37,157.18
2010,Bundesliga,SV Werder Bremen,38,25.0,18,3.98,151.13
2010,Bundesliga,Bayer 04 Leverkusen,30,25.1,12,4.92,147.68
2010,Bundesliga,VfL Wolfsburg,34,25.7,25,4.27,145.1
2010,Bundesliga,TSG 1899 Hoffenheim,34,23.8,19,3.71,126.13
2010,Bundesliga,Hamburger SV,30,25.9,20,3.74,112.13
2010,Bundesliga,VfB Stuttgart,33,25.3,17,3.19,105.25
2010,Bundesliga,1.FC Köln,38,25.2,19,1.82,69.28
2010,Bundesliga,Borussia Mönchengladbach,34,25.8,19,1.96,66.55
2010,Bundesliga,Hannover 96,28,26.0,14,2.33,65.35
2010,Bundesliga,1.FSV Mainz 05,28,26.9,15,2.16,60.6
2010,Bundesliga,1.FC Nuremberg,32,24.5,14,1.88,60.2
2010,Bundesliga,SC Freiburg,32,25.3,19,1.87,59.95
2010,Bundesliga,1.FC Kaiserslautern,30,24.9,18,1.68,50.5
2010,Bundesliga,Eintracht Frankfurt,31,25.2,15,1.53,47.58
2010,Bundesliga,FC St. Pauli,30,26.8,2,1.02,30.5
2011,Bundesliga,Bayern Munich,25,25.8,11,14.24,356.0
2011,Bundesliga,Borussia Dortmund,30,24.6,13,7.2,215.95
2011,Bundesliga,FC Schalke 04,39,24.7,21,3.98,155.23
2011,Bundesliga,Bayer 04 Leverkusen,30,24.1,9,4.5,134.85
2011,Bundesliga,VfL Wolfsburg,45,25.9,29,2.8,125.8
2011,Bundesliga,VfB Stuttgart,32,25.3,18,3.69,118.0
2011,Bundesliga,SV Werder Bremen,38,24.3,17,2.95,111.95
2011,Bundesliga,TSG 1899 Hoffenheim,35,23.9,20,2.53,88.65
2011,Bundesliga,Borussia Mönchengladbach,28,24.4,15,3.15,88.3
