Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win
2016,Final,6.0,AZ Alkmaar,201,Vitesse,200,0.0
2016,Final,6.0,Vitesse,200,AZ Alkmaar,201,1.0
2016,Semi-finals,5.0,AZ Alkmaar,201,Cambuur,420,1.0
2016,Semi-finals,5.0,Cambuur,420,AZ Alkmaar,201,0.0
2016,Semi-finals,5.0,Sparta Rotterdam,426,Vitesse,200,0.0
2016,Semi-finals,5.0,Vitesse,200,Sparta Rotterdam,426,1.0
2016,Quarter-finals,4.0,Vitesse,200,Feyenoord,209,1.0
2016,Quarter-finals,4.0,Feyenoord,209,Vitesse,200,0.0
2016,Quarter-finals,4.0,AZ Alkmaar,201,Heerenveen,210,1.0
2016,Quarter-finals,4.0,Heerenveen,210,AZ Alkmaar,201,0.0
2016,Quarter-finals,4.0,Utrecht,207,Cambuur,420,0.0
2016,Quarter-finals,4.0,Cambuur,420,Utrecht,207,1.0
2016,Quarter-finals,4.0,FC Volendam,416,Sparta Rotterdam,426,0.0
2016,Quarter-finals,4.0,Sparta Rotterdam,426,FC Volendam,416,1.0
2016,8th Finals,3.0,Heracles,206,Sparta Rotterdam,426,0.0
2016,8th Finals,3.0,Sparta Rotterdam,426,Heracles,206,1.0
2016,8th Finals,3.0,Cambuur,420,Ajax,194,1.0
2016,8th Finals,3.0,Ajax,194,Cambuur,420,0.0
2016,8th Finals,3.0,Feyenoord,209,ADO Den Haag,198,1.0
2016,8th Finals,3.0,ADO Den Haag,198,Feyenoord,209,0.0
2016,8th Finals,3.0,AZ Alkmaar,201,ASWH,1254,1.0
2016,8th Finals,3.0,ASWH,1254,AZ Alkmaar,201,0.0
2016,8th Finals,3.0,Vitesse,200,Jodan Boys,1289,1.0
2016,8th Finals,3.0,Jodan Boys,1289,Vitesse,200,0.0
2016,8th Finals,3.0,PEC Zwolle,193,Utrecht,207,0.0
2016,8th Finals,3.0,Utrecht,207,PEC Zwolle,193,1.0
2016,8th Finals,3.0,Ijsselmeervogels,1280,Heerenveen,210,0.0
2016,8th Finals,3.0,Heerenveen,210,Ijsselmeervogels,1280,1.0
2016,8th Finals,3.0,FC Volendam,416,Vvsb,1251,1.0
2016,8th Finals,3.0,Vvsb,1251,FC Volendam,416,0.0
2016,2nd Round,2.0,FC Eindhoven,422,Heerenveen,210,0.0
2016,2nd Round,2.0,Heerenveen,210,FC Eindhoven,422,1.0
2016,2nd Round,2.0,PEC Zwolle,193,VVV Venlo,204,1.0
2016,2nd Round,2.0,VVV Venlo,204,PEC Zwolle,193,0.0
2016,2nd Round,2.0,Feyenoord,209,Excelsior,196,1.0
2016,2nd Round,2.0,Excelsior,196,Feyenoord,209,0.0
2016,2nd Round,2.0,AZ Alkmaar,201,Emmen,208,1.0
2016,2nd Round,2.0,Emmen,208,AZ Alkmaar,201,0.0
2016,2nd Round,2.0,Heracles,206,UNA,1284,1.0
2016,2nd Round,2.0,UNA,1284,Heracles,206,0.0
2016,2nd Round,2.0,Ijsselmeervogels,1280,Koninklijke HFC,1246,1.0
2016,2nd Round,2.0,Koninklijke HFC,1246,Ijsselmeervogels,1280,0.0
2016,2nd Round,2.0,Utrecht,207,Groningen,202,1.0
2016,2nd Round,2.0,Groningen,202,Utrecht,207,0.0
2016,2nd Round,2.0,Vitesse,200,Waalwijk,417,1.0
2016,2nd Round,2.0,Waalwijk,417,Vitesse,200,0.0
2016,2nd Round,2.0,Kozakken Boys,1242,Ajax,194,0.0
2016,2nd Round,2.0,Ajax,194,Kozakken Boys,1242,1.0
2016,2nd Round,2.0,Sparta Rotterdam,426,PSV Eindhoven,197,1.0
2016,2nd Round,2.0,PSV Eindhoven,197,Sparta Rotterdam,426,0.0
2016,2nd Round,2.0,ADO Den Haag,198,Telstar,427,1.0
2016,2nd Round,2.0,Telstar,427,ADO Den Haag,198,0.0
2016,2nd Round,2.0,FC Volendam,416,Almere City FC,419,1.0
2016,2nd Round,2.0,Almere City FC,419,FC Volendam,416,0.0
2016,2nd Round,2.0,GO Ahead Eagles,410,Jodan Boys,1289,0.0
2016,2nd Round,2.0,Jodan Boys,1289,GO Ahead Eagles,410,1.0
2016,2nd Round,2.0,Spakenburg,1249,ASWH,1254,0.0
2016,2nd Round,2.0,ASWH,1254,Spakenburg,1249,1.0
2016,2nd Round,2.0,TEC,1255,Cambuur,420,0.0
2016,2nd Round,2.0,Cambuur,420,TEC,1255,1.0
2016,2nd Round,2.0,Vvsb,1251,Katwijk,1237,1.0
2016,2nd Round,2.0,Katwijk,1237,Vvsb,1251,0.0
2016,1st Round,1.0,Feyenoord,209,FC OSS,423,1.0
2016,1st Round,1.0,FC OSS,423,Feyenoord,209,0.0
2016,1st Round,1.0,ASV De Dijk,1260,Vitesse,200,0.0
2016,1st Round,1.0,Vitesse,200,ASV De Dijk,1260,1.0
2016,1st Round,1.0,Hsc 21,1281,TEC,1255,0.0
2016,1st Round,1.0,TEC,1255,Hsc 21,1281,1.0
2016,1st Round,1.0,Twente,415,Utrecht,207,0.0
2016,1st Round,1.0,Utrecht,207,Twente,415,1.0
2016,1st Round,1.0,Ajax,194,Willem II,195,1.0
2016,1st Round,1.0,Willem II,195,Ajax,194,0.0
2016,1st Round,1.0,Achilles Veen,1282,Vvsb,1251,0.0
2016,1st Round,1.0,Vvsb,1251,Achilles Veen,1282,1.0
2016,1st Round,1.0,De Treffers,1277,ASWH,1254,0.0
2016,1st Round,1.0,ASWH,1254,De Treffers,1277,1.0
2016,1st Round,1.0,DVS 33 Ermelo,1244,PEC Zwolle,193,0.0
2016,1st Round,1.0,PEC Zwolle,193,DVS 33 Ermelo,1244,1.0
2016,1st Round,1.0,Excelsior,196,Heracles,206,0.0
2016,1st Round,1.0,Heracles,206,Excelsior,196,1.0
2016,1st Round,1.0,FC Lienden,1283,AZ Alkmaar,201,0.0
