League,Division,Year,Position,Team,Team_id,Points,Played,Win,Draw,Lose,GoalsDiff,GoalsFor,GoalsAgainst,NationalRank
Eredivisie,1,2017,1,PSV Eindhoven,197,61,23,20,1,2,37,60,23,1
Eredivisie,1,2017,2,Ajax,194,54,23,17,3,3,44,65,21,2
Eredivisie,1,2017,3,AZ Alkmaar,201,47,23,14,5,4,21,43,22,3
Eredivisie,1,2017,4,Feyenoord,209,39,23,11,6,6,21,45,24,4
Eredivisie,1,2017,5,PEC Zwolle,193,39,23,11,6,6,1,32,31,5
Eredivisie,1,2017,6,Utrecht,207,38,23,10,8,5,1,34,33,6
Eredivisie,1,2017,7,Vitesse,200,37,23,10,7,6,13,39,26,7
Eredivisie,1,2017,8,ADO Den Haag,198,32,23,9,5,9,-4,29,33,8
Eredivisie,1,2017,9,Heerenveen,210,31,23,8,7,8,-4,32,36,9
Eredivisie,1,2017,10,VVV Venlo,204,30,23,7,9,7,-5,25,30,10
Eredivisie,1,2017,11,Heracles,206,27,23,7,6,10,-16,33,49,11
Eredivisie,1,2017,12,Excelsior,196,26,23,7,5,11,-7,27,34,12
Eredivisie,1,2017,13,Groningen,202,23,23,5,8,10,-5,34,39,13
Eredivisie,1,2017,14,Willem II,195,20,23,5,5,13,-14,31,45,14
Eredivisie,1,2017,15,NAC Breda,203,20,23,5,5,13,-14,27,41,15
Eredivisie,1,2017,16,Roda,414,17,23,4,5,14,-24,25,49,16
Eredivisie,1,2017,17,Twente,415,16,23,4,4,15,-17,26,43,17
Eredivisie,1,2017,18,Sparta Rotterdam,426,14,23,3,5,15,-28,18,46,18
Eerste_Divisie,2,2017,1,NEC Nijmegen,413,49,24,15,4,5,27,57,30,19
Eerste_Divisie,2,2017,2,Jong Ajax,425,49,24,15,4,5,25,60,35,20
Eerste_Divisie,2,2017,3,Fortuna Sittard,205,44,24,14,2,8,22,54,32,21
Eerste_Divisie,2,2017,4,Emmen,208,41,24,10,11,3,9,36,27,22
Eerste_Divisie,2,2017,5,Telstar,427,41,24,11,8,5,2,47,45,23
Eerste_Divisie,2,2017,6,Jong PSV,411,40,24,12,4,8,6,44,38,24
Eerste_Divisie,2,2017,7,De Graafschap,199,38,24,10,8,6,22,49,27,25
Eerste_Divisie,2,2017,8,Almere City FC,419,36,24,10,6,8,-1,46,47,26
Eerste_Divisie,2,2017,9,FC OSS,423,36,24,10,6,8,-1,38,39,27
Eerste_Divisie,2,2017,10,Den Bosch,421,35,24,9,8,7,11,43,32,28
Eerste_Divisie,2,2017,11,Dordrecht,409,34,24,10,4,10,-12,38,50,29
Eerste_Divisie,2,2017,12,Cambuur,420,32,24,9,5,10,-4,32,36,30
Eerste_Divisie,2,2017,13,FC Eindhoven,422,31,24,9,4,11,-15,35,50,31
Eerste_Divisie,2,2017,14,MVV,412,29,24,8,5,11,-3,34,37,32
Eerste_Divisie,2,2017,15,FC Volendam,416,29,24,8,5,11,-5,35,40,33
Eerste_Divisie,2,2017,16,GO Ahead Eagles,410,23,24,5,8,11,-8,35,43,34
Eerste_Divisie,2,2017,17,Jong AZ,418,23,24,7,2,15,-15,33,48,35
Eerste_Divisie,2,2017,18,Waalwijk,417,22,24,5,7,12,-17,26,43,36
Eerste_Divisie,2,2017,19,Helmond Sport,424,19,24,4,7,13,-14,28,42,37
Eerste_Divisie,2,2017,20,Jong Utrecht,428,13,24,3,4,17,-29,23,52,38
Tweede_Divisie,3,2017,1,Katwijk,1237,48,20,16,0,4,26,44,18,39
Tweede_Divisie,3,2017,2,Kozakken Boys,1242,42,20,13,3,4,27,48,21,40
Tweede_Divisie,3,2017,3,HHC,1278,33,19,10,3,6,13,45,32,41
Tweede_Divisie,3,2017,4,GVVV Veenendaal,1261,32,20,9,5,6,10,33,23,42
Tweede_Divisie,3,2017,5,Barendrecht,1271,32,20,10,2,8,-2,37,39,43
Tweede_Divisie,3,2017,6,Vvsb,1251,32,20,9,5,6,-3,29,32,44
Tweede_Divisie,3,2017,7,Rijnsburgse Boys,1248,32,20,10,2,8,-6,33,39,45
Tweede_Divisie,3,2017,8,FC Lienden,1283,30,19,9,3,7,-2,32,34,46
Tweede_Divisie,3,2017,9,Koninklijke HFC,1246,29,19,8,5,6,13,34,21,47
Tweede_Divisie,3,2017,10,Excelsior Maassluis,17129,28,20,7,7,6,6,27,21,48
Tweede_Divisie,3,2017,11,FC Lisse,1257,28,20,8,4,8,1,33,32,49
Tweede_Divisie,3,2017,12,Ijsselmeervogels,1280,26,20,7,5,8,4,30,26,50
Tweede_Divisie,3,2017,13,De Treffers,1277,21,19,6,3,10,-7,29,36,51
Tweede_Divisie,3,2017,14,Sparta Rotterdam II,10320,19,20,5,4,11,-10,34,44,52
Tweede_Divisie,3,2017,15,ASV De Dijk,1260,18,19,6,0,13,-18,29,47,53
Tweede_Divisie,3,2017,16,AFC Amsterdam,1252,18,20,5,3,12,-16,18,34,54
Tweede_Divisie,3,2017,17,TEC,1255,17,20,5,2,13,-17,30,47,55
Tweede_Divisie,3,2017,18,Achilles 29,806,16,19,5,2,12,-19,28,47,56
Eredivisie,1,2018,1,Ajax,194,86,34,28,2,4,87,119,32,1
Eredivisie,1,2018,2,PSV Eindhoven,197,83,34,26,5,3,72,98,26,2
Eredivisie,1,2018,3,Feyenoord,209,65,34,20,5,9,34,75,41,3
Eredivisie,1,2018,4,AZ Alkmaar,201,58,34,17,7,10,21,64,43,4
Eredivisie,1,2018,5,Vitesse,200,53,34,14,11,9,19,70,51,5
Eredivisie,1,2018,6,Utrecht,207,53,34,15,8,11,9,60,51,6
Eredivisie,1,2018,7,Heracles,206,48,34,15,3,16,-7,61,68,7
Eredivisie,1,2018,8,Groningen,202,45,34,13,6,15,-2,39,41,8
Eredivisie,1,2018,9,ADO Den Haag,198,45,34,12,9,13,-5,58,63,9
Eredivisie,1,2018,10,Willem II,195,44,34,13,5,16,-14,58,72,10
