cup_name,financial_name
AZ Alkmaar,AZ Alkmaar
Feyenoord,Feyenoord Rotterdam
Willem II,Willem II Tilburg
Twente,Twente Enschede FC
Roda,Roda JC Kerkrade
PSV Eindhoven,PSV Eindhoven
PEC Zwolle,PEC Zwolle
Cambuur,SC Cambuur Leeuwarden
Heracles,Heracles Almelo
Vvsb,
Ajax,Ajax Amsterdam
Fortuna Sittard,Fortuna Sittard
VVV Venlo,VVV-Venlo
Waalwijk,RKC Waalwijk
GVVV Veenendaal,
NEC Nijmegen,NEC Nijmegen
Almere City FC,Almere City FC
FC Volendam,FC Volendam
Avv Swift,
Groningen,FC Groningen
Heerenveen,SC Heerenveen
ASV De Dijk,
Hoek,
Utrecht,FC Utrecht
FC Eindhoven,FC Eindhoven
Den Bosch,FC Den Bosch
GO Ahead Eagles,Go Ahead Eagles
Koninklijke HFC,
Katwijk,
Kozakken Boys,
De Treffers,
Achilles 29,
FC Lisse,
SDC Putten,
Blauw Geel,
Hercules,
Vv De Meern,ADO Den Haag
ADO Den Haag,NAC Breda
NAC Breda,
Ajax Amateurs,
HHC,
Csv Apeldoorn,Excelsior Rotterdam
Excelsior,
Ter Leede,
ONS Sneek,
Staphorst,SC Telstar
Telstar,
SVV Scheveningen,Vitesse Arnhem
Vitesse,
Capelle,MVV Maastricht
MVV,
Barendrecht,FC Emmen
Emmen,FC Oss
FC OSS,FC Dordrecht
Dordrecht,Helmond Sport
Helmond Sport,De Graafschap Doetinchem
De Graafschap,
Noordwijk,
Quick Boys,
Rijnsburgse Boys,
SC Genemuiden,
Sparta Nijkerk,Sparta Rotterdam
Sparta Rotterdam,
Zwaluwen,
Gemert,
Alcides,
OFC Oostzaan,
HVV Te Werve,
Dovo,
URK,
Eemdijk,
ASWH,
Groene Ster,
TEC,
RKAV Volendam,
OJC Rosmalen,
Westlandia,
DVS 33 Ermelo,
HSV ODIN 59,
Harkemase Boys,
Spakenburg,
DFS,
AFC Amsterdam,
FC 's-Gravenzande,
SteDoCo,
Ijsselmeervogels,
GOES,
Flevo Boys,
Achilles Veen,
OSS '20,
HV & CV Quick,
Fortuna Wormerveer,
Excelsior '31,
Excelsior Maassluis,
ACV,
ADO '20,
GVV Unitas,
Sportlust '46,
Dongen,
Rijnvogels,
DEM,
