cup_name,financial_name,city
Benfica,SL Benfica,Lisbon
Guimaraes,Vitória Guimarães SC,Guimarães
Estoril,GD Estoril Praia,Estoril
Chaves,GD Chaves,Chaves
Academica,Académica Coimbra,Coimbra
Sporting CP,Sporting CP,Lisbon
SC Covilha,SC Covilhã,Covilhã
Leixoes,Leixões SC,Matosinhos
Varzim,Varzim SC,Póvoa de Varzim
Praiense,None,Praia da Vitória
FC Porto,FC Porto,Porto
Sanjoanense,None,São João da Madeira
GIL Vicente,Gil Vicente FC,Barcelos
Cova De Piedade,CD Cova Piedade,Cova da Piedade
Feirense,CD Feirense,Santa Maria da Feira
Maritimo,CS Marítimo,Funchal
Real,Real SC,Queluz
Olhanense,SC Olhanense,Olhão
Vizela,FC Vizela,Vizela
Penafiel,FC Penafiel,Penafiel
Benfica Castelo Branco,None,Castelo Branco
Vitoria Setubal,Vitória Setúbal FC,Setúbal
Oriental Lisboa,Clube Oriental Lissabon,Lisbon
Vilafranquense,UD Vilafranquense,Vila Franca de Xira
Pacos Ferreira,FC Paços de Ferreira,Paços de Ferreira
Aljustrelense,None,Aljustrel
Tondela,CD Tondela,Tondela
Torreense,SC União Torreense,Torres Vedras
Nacional,CD Nacional,Funchal
SC Braga,SC Braga,Braga
Santa Clara,CD Santa Clara,Ponta Delgada
Boavista,Boavista FC,Porto
Famalicao,FC Famalicão,Famalicão
Freamunde,SC Freamunde,Freamunde
1º Dezembro,None,Sintra
União de Leiria,União de Leiria,Leiria
Aves,Desportivo Aves (- 2020),Vila das Aves
Amarante,None,Amarante
Fátima,None,Fátima
Oliveirense,UD Oliveirense,Oliveira de Azeméis
Gafanha,None,Gafanha da Nazaré
Rio Ave,Rio Ave FC,Vila do Conde
Estarreja,None,Estarreja
Sertanense,None,Sertã
Arouca,FC Arouca,Arouca
Alcanenense,None,Alcanena
Santa Iria,None,Santa Iria de Azóia
Naval 1º de Maio,Naval 1º de Maio,Figueira da Foz
Caldas,None,Caldas da Rainha
Moreirense,Moreirense FC,Moreira de Cónegos
U. Madeira,CF União Madeira (-2021),Funchal
Mortágua,None,Mortágua
Casa Pia,Casa Pia AC,Lisbon
Os Limianos,None,Ponte de Lima
Cinfães,None,Cinfães
Academico Viseu,Académico Viseu FC,Viseu
FC Barreirense,None,Barreiro
Águeda,None,Águeda
Merelinense,None,Braga
Lusitano VRSA,None,Vila Real de Santo António
Vitória de Sernache,None,Cernache do Bonjardim
Trofense,CD Trofense,Trofa
Farense,SC Farense,Faro
Belenenses,CF Os Belenenses,Lisbon
Moimenta da Beira,None,Moimenta da Beira
Viana Alentejo,None,Viana do Alentejo
Lusitano GC Évora,None,Évora
São Roque (Açores),None,"São Roque, Azores"
Pedras Salgadas,None,Pedras Salgadas
Ponte da Barca,None,Ponte da Barca
Maria da Fonte,None,Póvoa de Lanhoso
Penalva Castelo,None,Penalva do Castelo
Valadares Gaia,None,Vila Nova de Gaia
Loures,None,Loures
Atlético Arcos,None,Arcos de Valdevez
Alcains,None,Alcains
Torre de Moncorvo,None,Torre de Moncorvo
Coimbrões,None,Vila Nova de Gaia
Santa Eulália,None,Vizela
Sousense,None,Gondomar
Sporting de Lourel,None,Sintra
Camacha,None,Camacha
Armacenenses,None,Armação de Pêra
Beneditense,None,Benedita
Sendim,None,Sendim
Beira-Mar,SC Beira-Mar,Aveiro
Barrosas,None,Felgueiras
Fabril Barreiro,None,Barreiro
Gafetense,None,Gáfete
Joane,None,Famalicão
Gouveia,None,Gouveia
Cerva,None,Ribeira de Pena
Mosteirense,None,Mosteirô
Pedras Rubras,None,Maia
Anadia,None,Anadia
Almancilense,None,Almancil
Pampilhosa,None,Pampilhosa
Pinhalnovense,None,Pinhal Novo
Lusitano FCV,None,Vildemoinhos
Ginásio de Alcobaça,None,Alcobaça
Fafe,AD Fafe,Fafe
Moura,None,Moura
Portimonense,Portimonense SC,Portimão
AR São Martinho,None,São Martinho
Vilaverdense,Länk FC Vilaverdense,Vila Verde
Angrense,None,Angra do Heroísmo
Gavionenses,None,Gavião
Sacavenense,None,Sacavém
Rabo Peixe,None,Rabo de Peixe
Cruzado Canicense,None,Caniço
Felgueiras 1932,None,Felgueiras
Flamengos,None,Horta
Ideal,None,Ponta Delgada
Bragança,None,Bragança
Cerveira,None,Vila Nova de Cerveira
Vilar de Perdizes,None,Montalegre
Montalegre,None,Montalegre
Mirandela,None,Mirandela
Torcatense,None,Guimarães
Águia FC Vimioso,None,Vimioso
Caniçal,None,Machico
Aliança de Gandra,None,Paredes
Raimonda,None,Paços de Ferreira
Espinho,None,Espinho
Salgueiros,None,Porto
Cesarense,None,Oliveira de Azeméis
Gondomar,None,Gondomar
Aguiar da Beira,None,Aguiar da Beira
Trancoso,None,Trancoso
AD Satao,None,Sátão
AD Nogueirense,None,Nogueira do Cravo
Acad. Coimbra/S.Futebol,Académica Coimbra,Coimbra
Tourizense,None,Tábua
Carapinheirense,None,Carapinheira
Académico do Fundão,None,Fundão
Vinha da Rainha,None,Soure
Marinhense,None,Marinha Grande
Oleiros,None,Oleiros
Sourense,None,Soure
Cartaxo,None,Cartaxo
Sintrense,None,Sintra
Mafra,CD Mafra,Mafra
Atlético Malveira,None,Malveira
Fazendense,None,Fazendas de Almeirim
Louletano,None,Loulé
Redondense,None,Redondo
Lagoa,None,Lagoa
Amora,None,Amora
Quarteirense,None,Quarteira
Beira-Mar Almada,None,Almada
Praia Milfontes,None,Vila Nova de Milfontes
Atlético CP,Atlético CP,Lisbon
Lusitânia,None,Angra do Heroísmo
Operário,None,"Lagoa, Azores"
Vasco da Gama,None,Sines
Vila Real,None,Vila Real
Canelas 2010,None,Vila Nova de Gaia
Alta Lisboa,None,Lisbon
Coruchense,None,Coruche
Almodôvar,None,Almodôvar
Minas de Argozelo,None,Vimioso
Condeixa,None,Condeixa-a-Nova
